縣市別代碼,統計期,基本分類,原始值[統計數值],年增率[%]
63000,93年 3月,總指數,65.13,12.85
63000,93年 3月,材料類,60.14,19.95
63000,93年 3月,水泥及其製品類,65.37,11.35
63000,93年 3月,砂石及級配類,76.16,13.91
63000,93年 3月,磚瓦瓷類,102.77,10.14
63000,93年 3月,金屬製品類,70.94,41.04
63000,93年 3月,木材及其製品類,62.55,9.06
63000,93年 3月,塑膠製品類,45.54,6.59
63000,93年 3月,油漆塗料類,69.54,-0.38
63000,93年 3月,機電設備類,87.96,1.39
63000,93年 3月,瀝青及其製品類,44.14,6.45
63000,93年 3月,雜項材料類,72.4,1.78
63000,93年 3月,勞務類,77.28,0.33
63000,93年 3月,工資類,71.2,0.78
63000,93年 3月,機具設備租金類,84.65,-0.12
63000,93年 4月,總指數,64.88,12.87
63000,93年 4月,材料類,59.82,20.07
63000,93年 4月,水泥及其製品類,65.37,10.62
63000,93年 4月,砂石及級配類,76.16,13.91
63000,93年 4月,磚瓦瓷類,102.77,8.91
63000,93年 4月,金屬製品類,69.78,42.38
63000,93年 4月,木材及其製品類,64.83,13.04
63000,93年 4月,塑膠製品類,45.61,6.67
63000,93年 4月,油漆塗料類,69.54,-0.38
63000,93年 4月,機電設備類,87.96,1.39
63000,93年 4月,瀝青及其製品類,44.14,6.45
63000,93年 4月,雜項材料類,72.71,2.22
63000,93年 4月,勞務類,77.25,0.29
63000,93年 4月,工資類,71.15,0.71
63000,93年 4月,機具設備租金類,84.6,-0.18
63000,93年 5月,總指數,64.25,13.3
63000,93年 5月,材料類,58.93,20.77
63000,93年 5月,水泥及其製品類,65.37,10.62
63000,93年 5月,砂石及級配類,76.16,13.91
63000,93年 5月,磚瓦瓷類,102.77,8.18
63000,93年 5月,金屬製品類,66.87,45.34
63000,93年 5月,木材及其製品類,68.06,18.68
63000,93年 5月,塑膠製品類,45.72,10.79
63000,93年 5月,油漆塗料類,69.54,-0.38
63000,93年 5月,機電設備類,87.96,1.39
63000,93年 5月,瀝青及其製品類,44.14,6.45
63000,93年 5月,雜項材料類,72.8,2.35
63000,93年 5月,勞務類,77.31,0.45
63000,93年 5月,工資類,71.12,0.8
63000,93年 5月,機具設備租金類,84.81,0.07
63000,93年 6月,總指數,63.92,12.63
63000,93年 6月,材料類,58.45,19.42
63000,93年 6月,水泥及其製品類,66.66,12.37
63000,93年 6月,砂石及級配類,76.7,14.72
63000,93年 6月,磚瓦瓷類,102.8,8.05
63000,93年 6月,金屬製品類,64.13,38.6
63000,93年 6月,木材及其製品類,68.96,20.24
63000,93年 6月,塑膠製品類,45.72,12.78
63000,93年 6月,油漆塗料類,69.54,-0.57
63000,93年 6月,機電設備類,87.96,1.39
63000,93年 6月,瀝青及其製品類,44.14,6.45
63000,93年 6月,雜項材料類,73.2,2.67
63000,93年 6月,勞務類,77.42,0.89
63000,93年 6月,工資類,71.19,0.91
63000,93年 6月,機具設備租金類,84.96,0.87
63000,93年 7月,總指數,65.4,14.03
63000,93年 7月,材料類,60.47,21.61
63000,93年 7月,水泥及其製品類,67.87,14.4
63000,93年 7月,砂石及級配類,77.37,15.72
63000,93年 7月,磚瓦瓷類,104.26,8.15
63000,93年 7月,金屬製品類,68.81,41.66
63000,93年 7月,木材及其製品類,68.96,20.24
63000,93年 7月,塑膠製品類,45.72,12.78
63000,93年 7月,油漆塗料類,69.54,-0.57
63000,93年 7月,機電設備類,87.96,1.39
63000,93年 7月,瀝青及其製品類,44.51,7.32
63000,93年 7月,雜項材料類,73.2,2.24
