工程編號,工程名稱,公告徵收文號（序號）,行政區,段小段,地號,縣市,縣市代碼
901006,士林天母游泳池東側前段道路拓寬工程,9005003200,士林,蘭雅段一小段,0442-0002,臺北市,63000
901006,士林天母游泳池東側前段道路拓寬工程,9005003200,士林,蘭雅段一小段,0446-0000,臺北市,63000
901006,士林天母游泳池東側前段道路拓寬工程,9005003200,士林,蘭雅段一小段,0449-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段二小段,0579-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0472-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0473-0001,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0476-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0477-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0478-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0479-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0487-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0488-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0489-0000,臺北市,63000
901007,士林延平北路5段83巷28弄道路第一期拓寬工程,9004964800,士林,海光段三小段,0490-0000,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0383-0002,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0384-0001,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0393-0000,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0394-0000,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0397-0000,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0400-0000,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0432-0001,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0433-0001,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0482-0001,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0512-0000,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0515-0000,臺北市,63000
901008,士林社正路17巷旁道路拓寬工程,9005582600,士林,永新段四小段,0517-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0312-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0313-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0314-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0315-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0316-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0317-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0318-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0319-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0325-0001,臺北市,63000
