行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價（新臺幣元每平方公尺）,申報地價（新臺幣元每平方公尺）,核定申報地價情形
中山區,北安段四小段,01470001,21258.0,0063,,1800,54,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470000,31069.0,0080,,144,3,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0092,,144,3,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00160000,239.0,0006,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00190000,2191.0,0006,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00220004,1872.4,0007,A,1,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00210004,3941.6,0007,A,1,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00160000,239.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00190000,2191.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00220001,1872.4,0007,A,1,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0075,,18000,102,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470000,31069.0,0036,,700,23,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0031,,700,23,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0087,,50400,633,2100,2520,按公告地價120%申報者
中山區,正義段四小段,01540000,124.0,0101,,144,3,119000,142800,按公告地價120%申報者
中山區,正義段四小段,01700000,12.0,0101,,144,3,119000,142800,按公告地價120%申報者
中山區,正義段四小段,01650000,5.0,0089,,144,3,119000,142800,按公告地價120%申報者
中山區,正義段四小段,01730000,209.0,0088,,144,3,119000,142800,按公告地價120%申報者
