編號,工程編號,徵收案件名稱,核准徵收文號,公告徵收文號,原始保管金額
231,961022,內湖區內溝溪生態展示館前廣場及出入口通道工程,961108台內地字第0960174362號,961114府地四字第09606815700號,1621200
232,961028,大同迪化街二段189-1號至11號前道路拓寬工程,960919台內地字第0960149221號,960929府地四字第09606225600號,340949
233,961030,臺北都會區大眾捷運系統松山線(中山站)工程(地上權),960919台內地字第0960149079號,961001府地四字第09606225700號,538000
234,961031,中央研究院興建院區研究設施工程,961008台內地字第0960155236號,961018府地四字第09606431200號,73956
235,961033,既設汐止～蘆洲161仟伏輸電線路第19、19-1號等2座鐵塔用地工程,961008台內地字第0960152276號,961016府地四字第09606431100號,766080
236,961034,南港南深路道路拓寬工程,961030台內地字第0960168449號,961107府地四字第09606687100號,176640
237,971010,大安瑞安街208巷47弄道路拓寬工程,970609台內地字第0970095404號,970617府地四字第09703552300號,42038
238,971012,臺北都會區大眾捷運系統松山線(市立體育場站)工程穿越用地(地上權),970107台內地字第0960204496號,970114府地四字第09700076400號,17610701
239,971016,中正汀洲路二段133巷道路新築工程,970625台內地字第0970105444號,970703府地四字第09703766600號,1108495
240,971017,內湖成功路4段167巷末段道路拓寬工程 ,970915台內地字第0970150495號,970923府地四字第09705787200號,25027837
241,971019,大安復興南路一段295巷8號旁道路新築工程,970704台內地字第0970110867號,970715府地四字第09703911600號,99216
242,971020,臺北都會區大眾捷運系統松山線中山站(二)工程(地上權),970418台內地字第0970065795號,970424府地四字第09702388400號,19041000
243,971022,內湖康樂街道路改善工程,970826台內地字第0970139379號,970904府地四字第09705506700號,5884644
244,971023,信義吳興街220巷北側(原陸軍保養廠區)道路新築工程,970609台內地字第0970094292號,970617府地四字第09703551700號,344539
245,971026,生醫管理中心-衛生大樓工程,971008台內地字第0970162783號,971017府地四字第09706050200號,13638573
246,971029,三總汀州院區工程,971031台內地字第0970178341號,971112府地四字第09732508300號,19619483
247,971003,中正八德路1段82巷道路拓寬工程,971016台內地字第0970170057號,971027府地四字第09707165200號,184321
248,971025,臺北都會區大眾捷運系統松山線(松山站)工程穿越,970922台內地字第0970156298號,971002府地四字第09705862100號,402300
249,971028,「松山機場北側都市計畫劃定為機場用地取得計畫案」97年度用地取得工程,971031台內地字第0970178337號,971111府地四字第09707347800號,6609892
250,971031,學人宿舍第一期工程暨院區研究及其他相關設施工程,971209台內地字第0970202018號,971216府地四字第09707846600號,168000
251,981003,中正晉江街4巷道路新築工程,980623台內地字第0980119745號,980701府地四字第09803199700號,533486
252,981005,南港R13街廓東西向道路新築工程,980928台內地字第0980182274號,981007府地四字第09804377800號,2139415
253,981007,中正同安街28巷7弄道路拓寬工程,980623台內地字第0980119742號,980629府地四字第09803199800號,126900
254,981013,中山國防部示範樂隊東側後段道路(步道)新築工程,981102台內地字第0980204780號,981105府地四字第09804787500號,79843
255,981015,臺北都會區大眾捷運系統新莊線大橋國小站聯合開發區(捷二)工程,980819台內地字第0980156204號,980907府地四字第09832437700號,42529118
256,981016,既設汐止~蘆洲161仟伏輸電線路第13、22號等2座鐵塔工程,980819台內地字第0980155622號,980828府地四字第09803910200號,390126
257,981019,臺北市鐵觀音包種茶研發推廣中心土地取得,980930台內地字第0980182861號,981006府地四字第09804417800號,2384197
258,981021,臺北市鐵觀音包種茶研發推廣中心土地取得(補辦),981102台內地字第0980204753號,981105府地四字第09804787900號,5760
259,931060,配合台北市松山撫遠街機場東側道路新築工程暨改善飛安需求工程(一),931022台內地字第0930068171號,931029府地四字第09322472000號,34998720
260,981001,北投大屯路21巷道路拓寬工程,981102台內地字第0980204782號,981105府地四字第09804787400號,3288930
261,981010,社子大橋新建工程第1期,981102台內地字第0980204779號,981113府地四字第09804787700號,409549692
262,981018,臺北都會區大眾捷運系統松山線(南京東路站)工程(地上權),980916台內地字第0980175343號,980925府地四字第09804247000號,15571802
263,981020,國立臺北教育大學附設實驗國民小學生態教育體驗設施工程暨學校用地取得,981015台內地字第0980193815號,981102府地四字第09833025800號,7288952
264,981022,配合捷運內湖線港墘站辦理鄰旁內湖路1段667巷道路工程,981102台內地字第0980204781號,981110府地四字第09804787600號,1966892
265,981023,「松山機場北側都市計畫劃定為機場用地取得計畫案」98年度用地取得,981103台內地字第0980206319號,981111府地四字第09804813800號,130161755
266,991002,國立臺灣戲劇藝術中心興建工程,981125台內地字第0980220247號,990108府地用字第09930057100號,426054
267,991003,核一~汐止串接松湖345仟伏輸電線路第20號等2座鐵塔,981125台內地字第0980220227號,990108府地用字第09930063800號,1411200
268,991004, 臺北市區鐵路地下化南港專案工程(向陽路至南港車站段),990331台內地字第0990065370號,990331府地用字第09901083200號,1132795
269,991007,北投241號公園西側道路新築工程,990519台內地字第0990103008號,990527府地用字第09901695100號,1014409
270,991008, 大同民權西路225巷道路拓寬工程,990806台內地字第0990159287號,990813府地用字第09902685900號,5875309
271,991009,大同民權西路245巷29號至51號道路新築工程,990907台內地字第0990183551號,990916府地用字第09903075400號,2246992
272,991011,內湖124號公園擴建工程,990806台內地字第0990159696號,990812府地用字第09902685800號,2752932
273,991012,文山19號公園東南側道路新築工程,990629台內地字第0990133520號,990707府地用字第09902198400號,45067
274,991014,臺北市區鐵路地下化南港專案工程(中南街至研究院路段),990618台內地字第0990125877號,990624府地用字第09902063200號,108480
275,991015,大同重慶北路3段312巷西側第2期道路新築工程,990806台內地字第0990159293號,990813府地用字第09902685700號,4254120
276,991016,臺北市區鐵路地下化南港專案工程(基隆路至松山路段),990823台內地字第0990171003號,990901府地用字第09902888200號,34676200
277,991020,臺北市區鐵路地下化南港專案工程(松山路至東新街段),991028台內地字第0990217041號,991115府地用字第09933038700號,17608263
278,991021,臺北市區鐵路地下化南港專案工程(南港車站至中南街段),990923台內地字第0990193252號,991004府地用字第09903280600號,22198663
279,991025,興建核一-汐止串接松湖345仟伏輸電線路第32號連接站暨地下電纜管路,990629台內地字第0990133359號,990716府地用字第09932005400號,281916
280,991026,台灣電力股份有限公司為使興雅變電所基地完整,990721台內地字第0990149435號,990728府地用字第09902478400號,1502357
281,991027,既設汐止~蘆洲161仟伏輸電線路第14、15號鐵塔,990915台內地字第0990189410號,991011府地用字第09932674900號,1348800
282,991030,既設汐止-蘆洲161仟伏輸電線路第27、28號鐵塔需要,991105台內地字第0990220645號,991112府地用字第09903809300號,368640
283,991010,大同民權西路245巷1號至29號道路新築工程,990921台內地字第0990193248號,991012府地用字第09932751000號,2637078
284,991022,萬華廣州街223巷南側道路新築工程,991014台內地字第0990207431號,991025府地用字第09903545900號,7221045
285,1001001,文山(景美)42號綠地擴建工程,1000506台內地字第1000091801號,1000513府地用字第10001503100號,43733
286,1001003,萬華廣州街223巷北側道路新築工程,1001102台內地字第1000216867號,1001108府地用字第10003618900號,842800
287,1001006,大同迪化街2段146巷道路新築工程,1001111台內地字第1000223857號,1001115府地用字第10003734800號,8539989
288,1001011,南港2號(玉成)公園工程,1000705台內地字第1000136323號,1000713府地用字第10002202600號,2067360
289,1001015,文山區指南里高地供水配水池暨加壓站工程,1000617台內地字第1000122736號,1000627府地用字第10001979400號,677754
290,1001016,大同重慶北路3段312巷西側第2期道路新築工程(一併徵收),1000725台內地字第1000149748號,1000801府地用字第10002420700號,1021757
291,1001021,北投桃源段二小段251地號等16筆土地都市更新事業計畫案週邊道路新築工程,1001110台內地字第1000223743號,1001114府地用字第10003723500號,2910396
292,1001022,公有永吉市場用地完整性,1001111台內地字第1000224002號,1001115府地用字第10003731400號,4838400
293,1001023,交通部公路總局辦公大樓新建工程,1001111台內地字第1000223778號,1001115府地用字第10003731500號,3590400
294,1002001,台北都會區大眾捷運系統松山線市立體育場站A、D出入口(交六、交七)工程,1001110台內地字第1000223743號,1001114府地用字第10003723500號,25985165
295,1001012,信義信義路5段150巷400弄道路拓寬工程,1001111台內地字第1000223859號,1001115府地用字第10003734600號,813098
296,1001013,士林社中街250巷底西側道路新築工程,1001220台內地字第1000249000號,1001221府地用字第10004168900號,5834262
297,1001020,臺北市文山區永建國民小學遷建校舍新建工程,1001111台內地字第1000223822號,1001115府地用字第10003737000號,62027800
298,1001024,台灣電力股份有限公司為既設汐止-蘆洲161仟伏輸電線路第10號鐵塔,1001114台內地字第1000223311號,1001115府地用字第10003742500號,192162
299,1001025,行政院國軍退除役官兵輔導委員會臺北榮民總醫院新門診大樓興建工程,1001220台內地字第1000248998號,1001222府地用字第10004168800號,8665752
300,1003001,臺北市文山區永建國民小學遷建校舍新建工程(農作改良物),1001111台內地字第1000223822號,1001115府地用字第10003737000號,118798
301,1011001,大安古莊公園東側道路新築工程,1011106台內地字第1010355348號,1011113府地用字第10103638800號,60786000
302,1011004,交通部臺灣區國道新建工程局辦理國道5號(原北宜高速公路)臺北市路段工程(更正徵收),1001111台內地字第1000223822號,1001115府地用字第10003737000號,50421
303,1011009,內湖內湖路1段667巷中段道路拓寬工程,1011112台內地字第1010361148號,1011113府地用字第10103695100號,9933586
304,1011011,文山(木柵)89號公園新建工程,1011105台內地字第1010354203號,1011108府地用字第10103629200號,30453184
305,1011012,大同民權西路225巷北側道路拓寬工程,1011106台內地字第1010355335號,1011112府地用字第10103638400號,26284600
306,1011014,文山（景美）21號興泰公園擴建工程,1011105台內地字第1010354282號,1011108府地用字第10103628700號,8870500
307,1011002,松山民生東路3段140巷北段道路新築工程,1011112台內地字第1010361164號,1011113府地用字第10103694700號,3218666
308,1011003,大同延平北路1段66巷道路新築工程,1011112台內地字第1010361151號,1011114府地用字第10103695000號,6998743
309,1011006,南港昆陽街171巷1弄東段道路新築工程,1020107台內地字第1020068351號,1020110府地用字第10200090800號,10405397
310,1011007,中正善導寺西北側道路新築工程,1011112台內地字第1010361150號,1011113府地用字第10103694800號,13868042
311,1011013,萬華昆明街257巷5號旁道路新築工程,1011106台內地字第1010354439號,1011112府地用字第10103638600號,21076714
312,1011015,松山健康公園西側道路新築工程,1011112台內地字第1010361152號,1011113府地用字第10103694900號,2235000
313,1021001,內湖陽港3調洪沉砂池新建工程,1020514台內地字第1020200325號,1020514府地用字第10201478300號,1206666
314,1021004,中央研究院生態研究區(國家生技研究園區開發計畫)工程,1021007台內地字第1020323404號,1021016府地用字第10203072600號,206892469
315,1021005,南港大坑溪左、右抽水站用地工程,1021009台內地字第1020323414號,1021015府地用字第10203101600號,149295
316,1021006,青潭堰原水導水3號隧道進出口工程,1021101台內地字第1020341408號,1021106府地用字第10203355900號,4858231
317,1023001,中央研究院生態研究區(國家生技研究園區開發計畫)工程(農作改良物),1021007台內地字第1020323404號,1021016府地用字第10203072600號,237078
318,1031002,臺北市區鐵路地下化南港專案工程(南港車站至中南街段)(一併徵收),1030820台內地字第1031300134號,1030829府地用字第10332658700號,112572
319,1031003,大安古莊公園東側道路新築工程(一併徵收),1031112台內地字第1031302809號,1031113府地用字第10302847700號,2884000
320,1041001,萬華車站前廣場用地地下停車場工程,1040506台內地字第1041303896號,1040511府地用字第10400771600號,13081981
321,1041004,變更臺北市中山區吉林段四小段705地號等47筆土地都市更新事業計畫案周邊道路新築工程,1041113台內地字第1040442133號,1041116府地用字第10401677900號,10253584
322,1051002,萬華西園路1段92號旁道路新築工程,1051110台內地字第1051309634號,1051114府地用字第10501352200號,1081724
323,1051003,大安延平高中東側及南側道路新築工程,1051116台內地字第1051309596號,1051116府地用字第10501373600號,2316000
324,1051004,北投自來水處大度配水池暨加壓站旁貴子坑溪左岸道路新築工程,1051116台內地字第1051309598號,1051116府地用字第10501373800號,4116510
325,1051005,信義福德街137巷道路新築工程,1051116台內地字第1050081943號,1051116府地用字第10501374200號,2110981
326,1051006,北投洲美堤防外灘地整建工程,1051116台內地字第1051309599號,1051116府地用字第10501373900號,219086925
327,1051007,臺北都會區大眾捷運系統萬大-中和-樹林線(第一期工程)LG01站站體工程徵收地上權,1051116台內地字第1051309600號,1051116府地用字第10501374000號,914798
328,1051009,大安和平東路3段(原臥龍街)路型改善調整工程,1051116台內地字第1051309597號,1051116府地用字第10501373700號,53893
329,1051010,臺北都會區大眾捷運系統信義線東延段R03車站站體穿越工程(地上權),1051116台內地字第1051309603號,1051116府地用字第10501374100號,2097061
330,1061004,大同388號公園新建工程,1061109台內地字第1061307349號,1061114府地用字第10603390700號,87370024
331,1061005,文山福興公園南側道路新築工程,1061027台內地字第1061307098號,1061106府地用字第10603373000號,286197
332,1061006,北投行義路17巷北側路口新築工程,1061027台內地字第1061307085號,1061106府地用字第10603374700號,2160030
333,1061007,臺北都會區大眾捷運系統萬大--中和--樹林線(第一期工程)LG01站(交一、交三)工程,1060522台內地字第1061304280號,1060606府地用字第10631364600號,16198386
334,1061010,台灣電力股份有限公司興建深美~七張161仟伏輸電線路第26號鐵塔連接站地下管路工程,1060502台內地字第1061303951號,1060515府地用字第10631291700號,81600
335,1062001,大同388號公園新建工程(建築改良物),1061109台內地字第1061307349號,1061114府地用字第10603390700號,3932490
336,1063001,台灣電力股份有限公司興建深美~七張161仟伏輸電線路第26號鐵塔連接站地下管路工程(農作改良物),1060502台內地字第1061303951號,1060515府地用字第10631291700號,4902
337,1063002,臺北都會區大眾捷運系統萬大--中和--樹林線(第一期工程)LG01站(交一、交三)工程(農作改良物),1060522台內地字第1061304280號,1060606府地用字第10631364600號,1871
338,1061001,內湖民權東路6段210巷南段道路新築工程,1061109台內地字第1061307232號,1061114府地用字第10603390600號,10711622
339,1061013,交通部民用航空局為辦理松山機場10跑道端北側跑道地帶、安全區及燈光用地取得,1061109台內地字第1061307317號,1061115府地用字第10603390500號,97286614
340,1071010,變更本市信義區福德段四小段135地號等保護區為宗教特定專用區(松山慈惠堂)主要計畫道路開闢案,1071227台內地字第1071307749號,1071227府地用字第10720260861號,23200
341,1082001,交通部民用航空局為辦理松山機場10跑道端北側跑道地帶、安全區及燈光用地取得(建築改良物),1080325台內地字第10802617411號,1080509府地用字第10860087271號,2988636
342,1083001,交通部民用航空局為辦理松山機場10跑道端北側跑道地帶、安全區及燈光用地取得(農作改良物),1080325台內地字第10802617411號,1080509府地用字第10860087271號,145552
343,1084001,交通部民用航空局為辦理松山機場10跑道端北側跑道地帶、安全區及燈光用地取得(營業損失),1080325台內地字第10802617411號,1080509府地用字第10860087271號,525462
344,1081005,興德路66巷道路拓寬工程,1081025台內地字第1080265896號,1081104府地用字第10800935491號,811222
345,1081020,交通部高速公路局辦理國道3號(原北部區域第二高速公路)汐止木柵段(木柵1號隧道23k+50-23k+250)工程(地上權),1081111台內地字第1080266196號,1081114府地用字第10800937101號,3941406
346,1081004,斯文里二期整宅公辦都更基地東側8公尺計畫道路新築工程,1081101台內地字第1080265829號,1081111府地用字第10800936251號,276321
347,1081016,環河北路2段185巷道路拓寬工程,1081224台內地字第1080152127號,1081226府地用字第10800942011號,1621485
348,1081017,信安街15巷東側(六張犁營區B街廓北側及東側)道路新築工程,1091021台內地字第1090265681號,1091029府地用字第10900934271號,13992181
349,1091010,臺北都會區大眾捷運系統萬大-中和-樹林線(第一期工程)LG01站捷運開發區四工程,1091110台內地字第1090266154號,1091112府地用字第10960278511號,174790980
350,1092001,臺北都會區大眾捷運系統萬大-中和-樹林線(第一期工程)LG01站捷運開發區四工程(建築改良物),1091110台內地字第1090266154號,1091112府地用字第10960278511號,5797455
351,1091006,臺北市第二殯儀館聯外道路新築工程,1091109台內地字第1090142218號,1091116府地用字第10960278211號,5440801
352,1101014,臺北都會區大眾捷運系統環狀線第二階段 Y3站捷運開發區工程,1101110台內地字第1100266461號,1101115府地用字第11000044411號,811887
353,1102001,臺北都會區大眾捷運系統環狀線第二階段 Y3站捷運開發區工程(建築改良物),1101110台內地字第1100266461號,1101115府地用字第11000044411號,117047
354,1111009,國家生技研究園區聯外道路工程,1110328台內地字第1110261814號,1110407府地用字第11100925131號,17293983
355,1111010,國家生技研究園區聯外道路工程(地上權補償費),1110328台內地字第1110261815號,1110407府地用字第11100925091號,8871699
356,1113001,國家生技研究園區聯外道路工程(農作改良物補償費),1110328台內地字第1110261814號,1110407府地用字第11100925131號,20300
357,1101006,南昌路1段31巷道路興建工程,1110429台內地字第1110262704號,1110509府地用字第11100935421號,7311671
358,1111011,南昌路1段9巷道路新築工程,1110621台內地字第1110263767號,1110712府地用字第11160168781號,15303697
359,1101014,臺北都會區大眾捷運系統環狀線第二階段 Y3站捷運開發區工程(差額地價補償費),1101110台內地字第1100266461號,1101115府地用字第11000044411號,125139
360,1111014,和興路中段道路拓寬工程,1110929台內地字第1110047942號,1111007府地用字第11100978781號,57238828
361,1111013,林森北路399巷道路新築工程,1110826台內地字第1110265519號,1110905府地用字第11100978781號,1370638
362,112A02A0008,天母西路22巷6弄西側道路興建工程,1120606台內地字第1120120152號,1120713府地用字第11260170321號,1672386
363,112A10A0013,景興公園（文景49號）新建工程,1120703台內地字第1120264246號,1120720府地用字第11260177331號,4290905
364,112A02A0020,國道1號（原台灣區南北高速公路）第一期工程（臺北市中山區路段）,1120707台內地字第1120264769號,1120725府地用字第11260180461號,7131750
365,111A02A0014,延平北路5段257巷4弄道路新築工程,1120531台內地字第1120263712號,1120726府地用字第11260186931號,47656898
366,111C00A0006,廣州變電所新建工程（更正徵收）,1111109院授內地字第1110266902號,1120904府地用字第11260216201號,2940000
367,112A02A0033,成福路121巷43弄至47弄道路興建工程,1121006台內地字第1120266551號,1121018府地用字第11200075691號,5172190
368,111A03A0081,濱江水資源再生中心新建工程,1121027台內地字第1120050633號,1121106府地用字第11260271631號,619176239
369,112A09A0111,345千伏核一～汐止串接松湖輸電線路第29A號連接站鐵塔及地下電纜管路用地,1121113台內地字第1120267430號,1121115府地用字第11200919231號,1244012
370,112A04A0062,米粉坑溪周邊排水改善工程（大湖山莊街調洪沉砂池B池）,1121027台內地字第1120050633號,1130527府地用字第11360121641號,568988
371,111A03A0081,濱江水資源再生中心新建工程(建築改良物、人口遷移費、營業損失),1121027台內地字第1120050633號,1130527府地用字第11360121641號,30757123
372,111A03A0081,濱江水資源再生中心新建工程(差額地價補償費),1121027台內地字第1120050633號,1121106府地用字第11260271631號,48099709
373,114A02A0012,西園路2段39巷周邊道路興建工程,1140630台內地字第1140263843號,1140725府地用字第11460172991號,718219
374,114A02A0077,臺北都會區大眾捷運系統環狀線東環段工程Y39站捷運系統用地,1141021台內地字第1140266343號,1141030府地用字第11400077941號,5003008
