編號,工程編號,徵收案件名稱,核准徵收文號,公告徵收文號,原始保管金額
57,90305,中山高速公路台北市路段既成道路暨漏辦徵收土地工程,900817台內地字第9061532號,900924府地四字第9010694500號,23415201
58,90309,交通部民用航空局台北松山機場民航區工程,901025台內地字第9070125號,901113府地四字第9016842500號,43831949
59,90504,台北都會區大眾捷運系統木柵(內湖)延伸線工程 (地上權),900828台內地字第9069718號,900921府地四字第9010694800號,69542
60,90505,台北都會區大眾捷運系統木柵(內湖)延伸線工程 (建築改良物),900828台內地字第9069718號,900921府地四字第9010694800號,4449436
61,90506,興建核二～仙渡三四五仟伏輸電線路第八十五號及九十號等二座鐵塔用地工程 (農作改良物),900628台內地字第9069261號,901126府地四字第9017876500號,2889
62,90610,內湖成功路二段(內湖交流道附近)東北側六米道路新築工程 (一併),901116台內地字第9074135號,901122府地四字第9017918000號,22768
63,90701,台北都會區大眾捷運系統木柵(內湖)延伸線工程 (營業補助),900828台內地字第9069718號,900921府地四字第9010694800號,59981
64,911001,內湖區 內溝溪下游整治工程,910712台內地字第0910071318號,910725府地四字第09117414800號,12646921
65,911002,北投區 洲美堤防新建工程(共構段),910509台內地字第0910068370號,910514府地四字第09114391400號,17285328
66,911005,大同區 哈密街59巷53弄道路拓寬工程,910424台內地字第0910060686號,910509府地四字第09114122800號,103262
67,911006,大同區 民權西路160巷26弄第二期道路拓寬工程,910424台內地字第0910065784號,910501府地四字第09114122300號,10252
68,911007,大同延平北路3段18巷道路第二期新築工程,910424台內地字第0910068222號,910507府地四字第09114109000號,3314707
69,911009,北投義方國小東側道路新築工程,910408台內地字第0910070604號,910422府地四字第09112274200號,270104
70,911012,信義 莊敬路197巷道路拓寬工程,910430台內地字第0910060734號,910513府地四字第09114228500號,2026148
71,911013,內湖 124 號公園新建工程,911017台內地字第0910061924號,911024府地四字第09125508500號,7563601
72,911018,警察局萬華分局武昌街派出所新建工程,910424台內地字第0910068221號,910503府地四字第09114109200號,276988734
73,911021,南港中央研究院研究所溫室、人文社會科學館進出道路及相關設施工程,901228台內地字第9078165號,910412府地四字第09112202700號,525276
74,911027,博愛案營區工程,910124台內地字第0910070200號,910129府地四字第09104629700號,276183634
75,911031,士林天母游泳池東側前段道路拓寬工程 (一併),910509台內地字第0910063293號,910514府地四字第09114391900號,1028160
76,911032,北投一六二號綠地新建工程,910430台內地字第0910068279號,910508府地四字第09114213800號,5456
77,911034,台北市區鐵路地下化東延南港工程(南港專案)台北市段工程,910513台內地字第0910068411號,910514府地四字第09114441000號,41995172
78,911038,台灣警察專科學校為校區完整需要工程,910619台內地字第0910071157號,910628府地四字第09116572900號,1392000
79,911041,國防部空軍總司令部為松山機場需要工程,910819台內地字第0910066679號,910903府地四字第09119245700號,138000
80,90051,台北聯絡線信義支線工程,900511台內地字第9076668號,900514府地四字第9005774700號,9971155
81,911004,萬華和平陸橋拆除暨道路改善工程,910930台內地字第0910064235號,911011府地四字第09121552500號,407880
82,911014,內湖 125 號公園新建工程,911017台內地字第0910064328號,911023府地四字第09125508600號,95760
83,911040,臺北都會區大眾捷運系統新莊線(民權西路站出入口、松江南京站出入口)工程,910905台內地字第0910069271號,910913府地四字第09120819900號,6841663
84,911049,臺北都會區大眾捷運系統木柵延伸(內湖)線港墘站工程,911018台內地字第0910067150號,911029府地四字第09125539300號,71694977
85,911058,臺北都會區大眾捷運系統新莊線東門站出入口工程,911022台內地字第0910069597號,911028府地四字第09125583600號,9861221
86,911050,臺北都會區大眾捷運系統木柵延伸(內湖)線(交十五)工程,911001台內地字第0910067042號,911011府地四字第09123154500號,468243
87,911054,臺北都會區大眾捷運系統新莊線忠孝新生站聯合開發區(捷十四)工程,911017台內地字第0910069562號,911031府地四字第09125508700號,5207280
88,911063,臺北都會區大眾捷運系統新莊線民權西路站、中山國小站、松江南京站、忠孝新生站徵收地上權工程,911107台內地字第0910062063號,911115府地四字第09125944700號,112493388
89,911064,內湖六十四號公園新建工程 (更正),911108台內地字第0910014354號,911114府地四字第09125986800號,1111510
90,911068,國立政治大學因興建國際關係研究中心研究大樓工程(一併),911203台內地字第0910072352號,911211府地四字第09128805100號,118440
91,912009,臺北都會區大眾捷運系統新莊線忠孝新生站(捷十四)工程(建築改良物),911017台內地字第0910069562號,911031府地四字第09125508700號,1124440
92,912012,臺北市臺北都會區大眾捷運系統木柵線(麟光站交九用地聯合開發計畫)工程(建築改良物),911113台內地字第0910072209號,911115府地四字第09126112900號,2533705
93,913010,臺北市臺北都會區大眾捷運系統木柵線(麟光站交九用地聯合開發計畫)工程(農作改良物),911113台內地字第0910072209號,911115府地四字第09126112900號,115924
94,921003,中山松江路402巷7弄道路工程(下設排水),920502台內地字第0920069980號,920512府地四字第09214144000號,252520
95,921006,內湖康寧路1段164巷東側道路新築工程,920320台內地字第0920069644號,920331府地四字第09209092200號,7955783
96,921007,中山龍江路114巷南側道路新築工程,920407台內地字第0920073156號,920411府地四字第09210498800號,105658
97,921008,士林中正路635巷道路新築工程,920618台內地字第0920064355號,920627府地四字第09215831400號,1079779
98,921009,士林前街107號旁道路第1期新築工程,920407台內地字第0920066777號,920418府地四字第09202062500號,1202114
99,921010,萬華雙園國小西北側道路新築工程,920407台內地字第0920073155號,920422府地四字第09210498100號,8355780
100,921012,文山和興路26巷道路第1期拓寬工程,920407台內地字第0920069761號,920416府地四字第09210498500號,444000
101,921015,北投區洲美防潮堤2200公尺滲水及舌閥等修復工程(第1標),920523台內地字第0920061116號,920530府地四字第09214913800號,761987
102,921025,內溝區民活動中心工程,920407台內地字第0920072283號,920414府地四字第09210509600號,237300
103,921027,臺北都會區大眾捷運系統內湖線出土段工程,920505台內地字第0920066887號,920512府地四字第09214171200號,4199040
104,921029,臺北都會區大眾捷運系統新店線萬隆站(交六、七)工程,920502台內地字第0920060925號,920603府地四字第09202091000號,14788584
105,921030,臺北都會區大眾捷運系統木柵延伸(內湖)線(交十五)(二)工程,920502台內地字第0920066884號,920519府地四字第09214162000號,897600
106,921031,台北都會區大眾捷運系統木柵線延伸(內湖)線大直站工程徵收地上權,920704台內地字第0920072558號,920711府地四字第09216674900號,2117271
107,921035,臺北都會區大眾捷運系統內湖線(機場用地變更為交通用地)工程,920624台內地字第0920064398號,920702府地四字第09215907100號,7586280
108,921036,臺北都會區大眾捷運系統內湖線(機場用地變更為交通用地二) 工程,920624台內地字第0920067285號,920702府地四字第09215906900號,16606111
109,921039,大同延平北路3段18巷道路第二期新築工程(一併),920703台內地字第0920067356號,920711府地四字第09216623400號,1359166
110,921044,國醫中心營區,920924台內地字第0920068078號,921002府地四字第09224452300號,1187304
111,921046,台北都會區大眾捷運系統南港線東延段工程(地上權),920908台內地字第0920074442號,920916府地四字第09222065800號,997900
112,921047,中央研究院辦理都市計畫變更後院區整體發展工程,920908台內地字第0920067959號,920918府地四字第09222068600號,4770
113,921050,臺北都會區大眾捷運系統內湖線(機場用地變更為交通用地)工程(一併）,920918台內地字第0920068029號,920924府地四字第09224347200號,2188350
114,922005,士林區1號公園擴建工程 (建築改良物),920825台內地字第0920064912號,920910府地四字第09215714000號,4653664
115,923003,士林區1號公園擴建工程 (農作改良物),920825台內地字第0920064912號,920910府地四字第09215714000號,232106
116,911009,北投義方國小東側道路新築工程,910408台內地字第0910070604號,910422府地四字第09112274200號,100
117,921004,磺港溪壓力箱涵分洪工程,920918台內地字第0920065089號,921103府地四字第09215741600號,31762411
118,921041,景美溪（恒光橋上游至指南溪出口段）河道整治工程,921111台內地字第0920071244號,921114府地四字第09225846400號,48348939
119,921054,台北都會區大眾捷運系統新莊線東門站工程(地上權）,921020台內地字第0920071066號,921103府地四字第09225352500號,14598280
120,921059,文山區木柵國民小學擴建工程,921219台內地字第0920071561號,921225府地四字第09228557000號,283680
121,921060,台北市區鐵路地下化東延南港工程(南港專案）台北市段工程(補辦徵收）,921231台內地字第0920062887號,930129府地四字第09304898200號,379600
122,922006,北投磺港溪壓力箱涵分洪工程(建築改良物),920918台內地字第0920065089號,921103府地四字第09215741600號,1572000
123,924001,北投磺港溪壓力箱涵分洪工程(營業損失),920918台內地字第0920065089號,921103府地四字第09215741600號,480000
124,931001,磺港溪壓力箱涵分洪工程(三合街至大興街),930102台內地字第0930071618號,930127府地四字第09304895200號,16437232
125,931002,景美溪(恒光橋上游至指南溪出口段)河道整治工程,930617台內地字第0930067052號,930628府地四字第09314490900號,34852230
126,931009,北投光明路前段道路及人行步道工程,930119台內地字第0930068761號,930202府地四字第09302416600號,14654
127,931011,北投秀山國小東側道路新築工程,930219台內地字第0930065967號,930223府地四字第09302944300號,49946
128,931012,內湖區內湖路1段629巷27弄道路新築工程,930219台內地字第0930062987號,930226府地四字第09302944700號,21803376
129,931013,大同重慶北路3段312巷西側第一期道路新築工程,930219台內地字第0930071938號,930303府地四字第09304929900號,2558905
130,931017,大安大安路一段231號旁道路拓寬工程,930127台內地字第0930062801號,930202府地四字第09302497000號,2081782
131,931018,北投公館路228巷25弄道路新築工程,930308台內地字第0930066108號,930311府地四字第09309003100號,275340
132,931019,信義忠孝東路五段372巷28弄道路新築工程,930127台內地字第0930060179號,930202府地四字第09302496900號,139403
133,931020,台灣電力股份有限公司興建陽明~興仁~北投六九仟伏輸電線路連接站工程,921111台內地字第0920068482號,921113府地四字第09225846200號,155521
134,931021,士林社中街156巷40弄旁道路新築工程,930218台內地字第0930060355號,930311府地四字第09304939900號,2245882
135,931023,萬華雙園國小西側南段道路新築工程,930219台內地字第0930074279號,930220府地四字第09302944400號,5059200
136,931025,南港成福路107巷、121巷第1期道路新築工程,930316台內地字第0930069222號,930323府地四字第09309317200號,18367623
137,931027,文山萬壽路中段道路拓寬工程,930316台內地字第0930063187號,930317府地四字第09309317100號,21056434
138,931030,士林延平北路五段83巷28弄道路第1期拓寬工程,930726台內地字第0930061703號,930804府地四字第09318178500號,482098
139,931031,松山撫遠街機場東側道路新築工程,930520台內地字第0930063764號,930524府地四字第09313960500號,31255779
140,931034,國立陽明大學為求校地完整、擴校發展及水土保持需要工程,930602台內地字第0930072798號,930609府地四字第09314198000號,2294051
141,931037,北投復興高中東側道路新築工程,930607台內地字第0930074646號,930616府地四字第09314291700號,21575
142,931039,臺北都會區大眾捷運系統內湖線高架段工程穿越(內湖路一段及文德路)(地上權),930810台內地字第0930061815號,930812府地四字第09318473200號,2778790
143,931040,臺北都會區大眾捷運系統內湖線高架段工程穿越(內湖路一段及文德路),930721台內地字第0930070139號,930723府地四字第09318078200號,1702220
144,931041,臺北都會區大眾捷運系統內湖線高架段工程穿越(內湖站至南湖大橋間),930806台內地字第0930067547號,930816府地四字第09318431300號,12168000
145,931042,臺北都會區大眾捷運系統內湖線高架段工程穿越(內湖站至南湖大橋間)(地上權),930812台內地字第0930067606號,930819府地四字第09318524300號,10554602
146,931044,臺北都會區大眾捷運系統內湖線高架段工程穿越（北安路）,930806台內地字第0930067543號,930812府地四字第09318416300號,5692897
147,931046,台北市區鐵路地下化東延南港工程(簡稱南港專案)南港車站地下化工程(徵收地上權),930721台內地字第0930061633號,930810府地四字第09319147700號,696846
148,931049,臺北都會區大眾捷運系統信義線工程,930920台內地字第0930073770號,930924府地四字第09321813200號,2849280
149,931051,臺北都會區大眾捷運系統內湖線高架段工程穿越(北安路)(地上權),930812台內地字第0930064585號,930818府地四字第09318524200號,899515
150,931052,東湖地區聯外山區線道路新築工程,931022台內地字第0930065187號,931022府地四字第09322471200號,16253933
151,931053,國際關係研究中心研究大樓工程,930916台內地字第0930064861號,930923府地四字第09321772900號,11823801
152,931054,臺北都會區大眾捷運系統信義線安和路站（出入口）工程,930917台內地字第0930067867號,930929府地四字第09321801100號,1544334
153,931056,東湖地區聯外山區線道路新築工程(穿越保護區)徵收地上權,931020台內地字第0930074056號,931022府地四字第09322434700號,348342
154,921046,台北都會區大眾捷運系統南港線東延段工程(地上權),920908台內地字第0920074442號,920916府地四字第09222065800號,47757
155,931050,人文社會科學館院內進出道路及溫室相關設施工程（含扣交佃農補償費）,930811台內地字第0930073447號,930906府地四字第09319166500號,15901667
156,931057,北二高台北聯絡線信義支線穿越（保護區）用地徵收地上權,931007台內地字第0930065037號,931110府地四字第09323029900號,12497584
157,931060,配合台北市松山撫遠街機場東側道路新築工程暨改善飛安需求工程(一),931022台內地字第0930068171號,931029府地四字第09322472000號,165985766
158,931061,配合台北市松山撫遠街機場東側道路新築工程暨改善飛安需求工程(二),931022台內地字第0930074082號,931029府地四字第09322471900號,4996511
159,931062,臺北都會區大眾捷運系統信義線聯合開發區(捷)工程,931022台內地字第0930065181號,931101府地四字第09322473200號,1532034
160,931065,臺北都會區大眾捷運系統內湖線高架段工程穿越(內湖路一段)(地上權),931104台內地字第0930065302號,931115府地四字第09322726100號,1322170
161,931066,臺北都會區大眾捷運系統內湖線高架段工程穿越(內湖路一段),931221台內地字第0930110122號,940119府地四字第09404559000號,996312
162,931067,內溝溪中游段河道整治工程(第1標、第2標)（台北市轄）,931126台內地字第0930016426號,931129府地四字第09326042100號,194844187
163,933003,內溝溪中游段河道整治工程(第1標、第2標) (台北市轄) (農作改良物),931126台內地字第0930016426號,931129府地四字第09326042100號,674700
164,941001,磺港溪壓力箱涵分洪工程(大興街至大業路五一六巷),940317台內地字第0940068609號,940322府地四字第09412206100號,21092573
165,941003,景美溪(恆光橋上游至指南溪出口段)河道整治工程,940318台內地字第0940076671號,940328府地四字第09412249000號,8425547
166,941004,內湖六十四號清白公園擴建工程,940318台內地字第0940060678號,940328府地四字第09412248900號,23284080
167,941006,士林國中綜合教學大樓工程及配合校園整體規劃需要,941005台內地字第0940062549號,941012府地四字第09422877800號,15246921
168,941008,內湖區中山高速公路北側康寧路3段245巷以東部分道路工程,940103台內地字第0940072002號,940214府地四字第09404588200號,158608
169,941009,內湖康樂抽水站旁跨內溝溪橋樑新建及周邊道路改善工程,940330台內地字第0940064690號,940411府地四字第09412834800號,191243
170,941011,內湖大湖山莊街底調洪沈砂池新建工程,940203台內地字第0940072250號,940510府地四字第09413364300號,228707641
171,941014,萬華三水街西段道路拓寬工程,940509台內地字第0940069102號,940516府地四字第09414334700號,30447349
172,941016,南港中南街134巷道路拓寬工程,940722台內地字第0940065801號,940725府地四字第09419882900號,2397604
173,941020,菁山慢濾場出入口工程,940304台內地字第0940072477號,940314府地四字第09411957800號,4548
174,941021,貓空纜車興建工程,940905台內地字第0940078130號,940905府地四字第09419779800號,19099464
175,941022,貓空纜車興建工程(徵收地上權),940905台內地字第0940062331號,940905府地四字第09419779900號,19392020
176,941031,臺北都會區大眾捷運系統信義線(大安站)工程(地上權),940921台內地字第0940062454號,940928府地四字第09422576000號,60706
177,941032,臺北都會區大眾捷運系統木柵延伸(內湖)線文德站第二出入口高架工程(地上權),940725台內地字第0940065806號,940802府地四字第09419904700號,67593
178,941033,臺北都會區大眾捷運系統新莊線東門站出入口工程,940808台內地字第0940070065號,940816府地四字第09420168200號,1865270
179,941034,松山機場內私有土地徵收案,940822台內地字第0940062211號,940829府地四字第09421202900號,13900065
180,941039,內湖大湖山莊街底調洪沉砂池新建工程(一併),940921台內地字第0940066267號,940928府地四字第09414296600號,2256
181,941041,飛鵰營區工程,941012台內地字第0940078521號,941019府地四字第09423007300號,12849226
182,943001,大湖山莊街底調洪沉砂池新建工程(農作改良物),940203台內地字第0940072250號,940510府地四字第09413364300號,2359177
183,943004,貓空纜車興建工程(農作改良物),940905台內地字第0940078130號,940905府地四字第09419779800號,613563
184,931033,北投線空中纜車新建工程,941110台內地字第0940063073號,941111府地四字第09426868700號,44593121
185,941046,中央研究院為取得院區研究工程,941020台內地字第0940062701號,941031府地四字第09426459900號,89446256
186,911058,臺北都會區大眾捷運系統新莊線東門站出入口工程,911022台內地字第0910069597號,911028府地四字第09125583600號,793696
187,941027,南港舊莊里配水池工程,941108台內地字第0940066724號,941114府地四字第09426826700號,204019
188,941036,臺北都會區大眾捷運系統信義線(安和路站)工程(地上權),940920台內地字第0940078269號,940928府地四字第09412704000號,553140
189,941042,臺北都會區大眾捷運系統松山線中山站聯合開發區(捷一)工程,941109台內地字第0940071002號,941114府地四字第09426821300號,14929200
190,941043,臺北都會區大眾捷運系統松山線中山站聯合開發區(捷二)工程,941108台內地字第0940070987號,941114府地四字第09426808000號,59062403
191,941044,貓空纜車興建工程(徵收地上權補辦),941020台內地字第0940078579號,941027府地四字第09423168900號,74592
192,941045,臺北都會區大眾捷運系統內湖線高架段(大直站至劍南站)工程,941020台內地字第0940070830號,941027府地四字第09423169000號,925277
193,941048,臺北都會區大眾捷運系統新莊線東門站連通金山南路地下道工程徵收地上權,941109台內地字第0940066736號,941114府地四字第09426821400號,1145654
194,942003,臺北都會區大眾捷運系統松山線中山站聯合開發區(捷一)工程建築改良物補償清冊,941109台內地字第0940071002號,941114府地四字第09426821300號,6907517
195,942004,臺北都會區大眾捷運系統松山線中山站聯合開發區(捷二)工程(建築改良物),941108台內地字第0940070987號,941114府地四字第09426808000號,15292713
196,943001,大湖山莊街底調洪沉砂池新建工程(農作改良物),940203台內地字第0940072250號,941031府地四字第09422548900號,58740
197,943006,臺北都會區大眾捷運系統松山線中山站聯合開發區(捷一)工程(農作改良物),941109台內地字第0940071002號,941114府地四字第09426821300號,360
198,943007,臺北都會區大眾捷運系統松山線中山站聯合開發區(捷二)工程(農作改良物),941108台內地字第0940070987號,941114府地四字第09426808000號,18336
199,944003,臺北都會區大眾捷運系統松山線中山站聯合開發區(捷二)工程(建築改良物徵收營業損失),941108台內地字第0940070987號,941114府地四字第09426808000號,132790
200,951003,北投秀山國小聯外道路開闢改善工程,950331台內地字第0950058068號,950410府地四字第09501211300號,27980040
201,951006,松山車站北側東段道路新築工程,951020台內地字第0950167013號,951030府地四字第09505459500號,2600569
202,951009,信義西大排水溝整治工程(信義路5段150巷至祥雲街),950510台內地字第0950081791號,950526府地四字第09531407500號,1024455
203,951010,文山(景美)19號公園新建工程,950605台內地字第0950095852號,950612府地四字第09502396700號,14231040
204,951011,松山虎林街5巷道路拓寬工程,950519台內地字第0950088190號,950526府地四字第09502302600號,5718583
205,951012,北投線空中纜車新建工程(補辦),941223台內地字第0940067235號,950103府地四字第09460434600號,6093
206,951022,臺北都會區大眾捷運系統木柵延伸(內湖)線港墘站墩柱工程,950524台內地字第0950088275號,950608府地四字第09502349800號,44843
207,951024,松山機場範圍內私有土地徵收案,950711台內地字第0950115426號,950719府地四字第09503094900號,5109098
208,951025,北投線空中纜車新建工程(一併),950809台內地字第0950131730號,950816府地四字第09503763400號,5729
209,951027,中山高速公路臺北市路段既成道路工程,950928台內地字第0950156479號,951003府地四字第09504781200號,29218
210,951034,內湖大湖山莊街底調洪沉砂池新建工程(補辦),951110台內地字第0950178975號,951115府地四字第09505696500號,6330186
211,953003,內湖大湖山莊街底調洪沉砂池新建工程(農作改良物),951110台內地字第0950178975號,951123府地四字第09533009600號,158400
212,951002,中崙市場拆除重建工程,951110台內地字第0950178595號,951113府地四字第09505696600號,3360000
213,951013,中正397號公園新建工程,951222台內地字第0950201418號,960103府地四字第09506642800號,326400
214,951029,國立國父紀念館用地工程,951020台內地字第0950163168號,951031府地四字第09505443700號,246494
