年度,年期,繳納期間起日,繳納期間迄日,一般土地地價稅計算公式,自用住宅用地地價稅計算公式,工業用地地價稅計算公式,公共設施保留地地價稅計算公式
76,全年,19880102,19880131,"【(1月至6月地價×稅率–累進差額)÷2】+【(7月至12月地價×稅率–累進差額)÷2×60/100】=應納稅額
(1)【(3301000以下×10/1000)÷2】+【(13781000以下×10/1000)÷2×60/100】=應納稅額
(2)【(3301001~19806000×15/1000-16505)÷2】+【(13781001~82686000×15/1000-68905)÷2×60/100】=應納稅額
(3)【(19806001~36311000×25/1000-214565)÷2】+【(82686001~151591000×25/1000-895765)÷2×60/100】=應納稅額
(4)【(36311001~52816000×35/1000-577675)÷2】+【(151591001~220496000×35/1000-2411675)÷2×60/100】=應納稅額
(5)【(52816001~69321000×45/1000-1105835)÷2】+【(202496001~289401000×45/1000-4616635)÷2×60/100】=應納稅額
(6)【(69321001以上×55/1000-1799045)÷2】+【(289401001以上×55/1000-7510645)÷2×60/100】=應納稅額",(1月至6月地價×3/1000)÷2+(7月至12月地價×3/1000)÷2×60/100=應納稅額,(1月至6月地價×10/1000)÷2+(7月至12月地價×10/1000)÷2×60/100=應納稅額,(1月至6月地價×6/1000)÷2+(7月至12月地價×6/1000)÷2×60/100=應納稅額
77,全年,19881116,19881215,"(課稅地價×稅率–累進差額)×60/100＝應納總額
(1)(13781000以下×10/1000)×60/100＝應納總額
(2)(13781001~82686000×15/1000–68905)×60/100＝應納總額
(3)(82686001~151591000×25/1000–895765)×60/100＝應納總額
(4)(151591001~220496000×35/1000–2411675)×60/100＝應納總額
(5)(220496001~289401000×45/1000–4616635)×60/100＝應納總額
(6)(289401001以上×55/1000–7510645)×60/100＝應納總額",課稅地價×3/1000×60/100＝應納稅額,課稅地價×10/1000×60/100＝應納稅額,課稅地價×6/1000×60/100＝應納稅額
78,全年,19891116,19891215,"(課稅地價×稅率–累進差額)×80/100=應納總額
累進起點地價及稅率、累進差額同上。",課稅地價×3/1000×80/100=應納稅額,課稅地價×10/1000×80/100=應納稅額,課稅地價×6/1000×80/100=應納稅額
79,全年,19901116,19901215,"課稅地價×稅率–累進差額=應納總額
累進起點地價及稅率、累進差額同上。",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
80,全年,19911116,19911215,"【(1月至6月地價×稅率－累進差額)÷2】+【(7月至12月地價×稅率－累進差額)÷2】=應納稅額
(1)【(13781000以下×10/1000)÷2】+【(19254000以下×10/1000)÷2】=應納稅額
(2)【(13781001~82686000×15/1000–68905)÷2】+【(19254001~115524000×15/1000－96270)÷2】=應納稅額
(3)【(82686001~151591000×25/1000–895765)÷2】+【(115524001~211794000×25/1000－1251510)÷2】=應納稅額
(4)【(151591001~220496000×35/1000–2411675)÷2】+【(211794001~308064000×35/1000－3369450)÷2】=應納稅額
(5)【(220496001~289401000×45/1000–4616635)÷2】+【(308064001~404334000×45/1000－6450090)÷2】=應納稅額
(6)【(289401001以上×55/1000–7510645)÷2】+【(404334001以上×55/1000－10493430)÷2】=應納稅額",(1月至6月地價×2/1000)÷2+(7月至12月地價×2/1000)÷2=應納稅額,(1月至6月地價×10/1000)÷2+(7月至12月地價10/1000)÷2=應納稅額,(1月至6月地價×6/1000)÷2+(7月至12月地價×6/1000)÷2=應納稅額
81,全年,19921116,19921215,"課稅地價×稅率–累進差額=應納總額
(1)19254000以下×10/1000=應納稅額
(2)19254001~115524000×15/1000–96270=應納稅額
(3)115524001~211794000×25/1000–1251510=應納稅額
(4)211794001~308064000×35/1000–3369450=應納稅額
(5)308064001~404334000×45/1000–6450090=應納稅額
(6)404334001以上×55/1000–10493430=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
82,全年,19931116,19931215,"課稅地價×稅率–累進差額=應納總額
(1)19254000以下×10/1000=應納稅額
(2)19254001~115524000×15/1000–96270=應納稅額
(3)115524001~211794000×25/1000–1251510=應納稅額
(4)211794001~308064000×35/1000–3369450=應納稅額
(5)308064001~404334000×45/1000–6450090=應納稅額
(6)404334001以上×55/1000–10493430=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
83,全年,19941116,19941215,"【(1月至6月地價×稅率–累進差額)÷2】+【(7月至12月地價×稅率–累進差額)÷2】=應納稅額
(1)【(19254000以下×10/1000)÷2】+【(22584000以下×10/1000)÷2】=應納稅額
(2)【(19254001~115524000×15/1000–96270)÷2】+【(22584001~135504000×15/1000－112920)÷2】=應納稅額
(3)【(115524001~211794000×25/1000–1251510)÷2】+【(135504001~248424000×25/1000－1467960)÷2】=應納稅額
(4)【(211794001~308064000×35/1000–3369450)÷2】+【(248424001~361344000×35/1000－3952200)÷2】=應納稅額
(5)【(308064001~404334000×45/1000–6450090)÷2】+【(361344001~474264000×45/1000－7565640)÷2】=應納稅額
(6)【(404334001以上×55/1000–10493430)÷2】+【(474264001以上×55/1000－12308280)÷2】=應納稅額",(1月至6月地價×2/1000)÷2+(7月至12月地價×2/1000)÷2=應納稅額,(1月至6月地價×10/1000)÷2+(7月至12月地價×10/1000)÷2=應納稅額,(1月至6月地價×6/1000)÷2+(7月至12月地價×6/1000)÷2=應納稅額
84,全年,19951116,19951215,"課稅地價×稅率–累進差額=應納稅額
(1)22584000以下×10/1000=應納稅額
(2)22584001~135504000×15/1000–112920=應納稅額
(3)135504001~248424000×25/1000–1467960=應納稅額
(4)248424001~361344000×35/1000–3952200=應納稅額
(5)361344001~474264000×45/1000–7565640=應納稅額
(6)474264001以上×55/1000–12308280=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
85,全年,19961116,19961215,"課稅地價×稅率–累進差額=應納稅額
(1)22584000以下×10/1000=應納稅額
(2)22584001~135504000×15/1000–112920=應納稅額
(3)135504001~248424000×25/1000–1467960=應納稅額
(4)248424001~361344000×35/1000–3952200=應納稅額
(5)361344001~474264000×45/1000–7565640=應納稅額
(6)474264001以上×55/1000–12308280=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
