住宅價格月指數類別,期別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價（新台幣萬元）,標準住宅單價（新台幣萬元每坪）
全市,106/12,98.82,98.90,99.00,-1.12%,-0.35%,-0.15%,1565,49.86
全市,107/01,99.83,99.53,98.98,1.03%,0.64%,-0.03%,1582,50.37
全市,107/02,98.86,99.17,99.21,-0.98%,-0.36%,0.24%,1566,49.87
全市,107/03,98.31,99.00,98.95,-0.55%,-0.17%,-0.26%,1557,49.60
全市,107/04,98.92,98.70,99.11,0.62%,-0.31%,0.17%,1567,49.91
全市,107/05,100.40,99.21,99.19,1.49%,0.52%,0.08%,1590,50.65
全市,107/06,100.33,99.88,99.44,-0.07%,0.68%,0.25%,1589,50.62
全市,107/07,100.88,100.54,99.62,0.55%,0.65%,0.18%,1598,50.90
全市,107/08,100.75,100.65,99.93,-0.13%,0.12%,0.32%,1596,50.83
全市,107/09,100.12,100.58,100.23,-0.62%,-0.07%,0.30%,1586,50.51
全市,107/10,100.63,100.50,100.52,0.5%,-0.08%,0.28%,1594,50.77
全市,107/11,101.01,100.59,100.62,0.38%,0.09%,0.10%,1600,50.96
全市,107/12,99.96,100.53,100.56,-1.04%,-0.05%,-0.06%,1584,50.43
全市,108/01,100.07,100.35,100.42,0.11%,-0.18%,-0.13%,1585,50.49
全市,108/02,100.97,100.33,100.46,0.9%,-0.01%,0.04%,1600,50.94
全市,108/03,102.59,101.21,100.87,1.6%,0.87%,0.41%,1625,51.76
全市,108/04,103.30,102.29,101.32,0.69%,1.06%,0.44%,1636,52.12
全市,108/05,103.06,102.98,101.66,-0.23%,0.68%,0.34%,1633,52.00
全市,108/06,102.70,103.02,102.12,-0.35%,0.04%,0.45%,1627,51.82
全市,108/07,101.39,102.38,102.34,-1.28%,-0.62%,0.21%,1606,51.15
全市,108/08,101.76,101.95,102.47,0.36%,-0.42%,0.13%,1612,51.34
全市,108/09,102.14,101.76,102.39,0.37%,-0.18%,-0.07%,1618,51.53
全市,108/10,103.16,102.35,102.37,1%,0.58%,-0.02%,1634,52.04
全市,108/11,103.37,102.89,102.42,0.2%,0.52%,0.05%,1637,52.15
全市,108/12,104.14,103.56,102.66,0.74%,0.65%,0.23%,1650,52.54
全市,109/01,104.47,103.99,103.17,0.32%,0.42%,0.50%,1655,52.71
全市,109/02,103.65,104.09,103.49,-0.78%,0.09%,0.31%,1642,52.29
全市,109/03,103.88,104.00,103.78,0.22%,-0.08%,0.28%,1646,52.41
全市,109/04,103.28,103.60,103.80,-0.58%,-0.38%,0.02%,1636,52.11
全市,109/05,103.95,103.70,103.90,0.65%,0.10%,0.09%,1647,52.45
全市,109/06,104.03,103.75,103.88,0.08%,0.05%,-0.02%,1648,52.49
全市,109/07,104.26,104.08,103.84,0.22%,0.31%,-0.03%,1652,52.60
全市,109/08,104.89,104.39,104.05,0.6%,0.30%,0.20%,1662,52.92
全市,109/09,105.46,104.87,104.31,0.54%,0.46%,0.25%,1671,53.21
全市,109/10,105.98,105.44,104.76,0.49%,0.55%,0.43%,1679,53.47
全市,109/11,105.86,105.77,105.08,-0.11%,0.31%,0.30%,1677,53.41
全市,109/12,105.90,105.91,105.39,0.04%,0.14%,0.30%,1678,53.43
全市,110/01,106.31,106.02,105.73,0.39%,0.10%,0.32%,1684,53.64
全市,110/02,107.03,106.41,106.09,0.68%,0.37%,0.34%,1695,54.00
全市,110/03,107.47,106.94,106.43,0.41%,0.49%,0.32%,1703,54.22
全市,110/04,107.20,107.23,106.63,-0.25%,0.28%,0.19%,1698,54.08
全市,110/05,107.67,107.45,106.93,0.44%,0.20%,0.28%,1706,54.32
全市,110/06,107.05,107.31,107.12,-0.58%,-0.13%,0.18%,1696,54.01
全市,110/07,107.42,107.38,107.31,0.35%,0.07%,0.17%,1702,54.20
全市,110/08,107.95,107.47,107.46,0.49%,0.09%,0.14%,1710,54.46
全市,110/09,109.12,108.16,107.74,1.08%,0.64%,0.26%,1729,55.05
全市,110/10,110.42,109.16,108.27,1.19%,0.92%,0.50%,1749,55.71
全市,110/11,111.01,110.18,108.83,0.53%,0.93%,0.51%,1759,56.00
全市,110/12,112.02,111.15,109.66,0.91%,0.88%,0.76%,1775,56.52
全市,111/01,112.73,111.92,110.54,0.63%,0.69%,0.81%,1786,56.87
全市,111/02,113.43,112.73,111.46,0.62%,0.72%,0.83%,1797,57.23
全市,111/03,113.75,113.30,112.23,0.28%,0.51%,0.69%,1802,57.39
全市,111/04,114.11,113.76,112.84,0.32%,0.41%,0.55%,1808,57.57
全市,111/05,113.86,113.91,113.32,-0.22%,0.13%,0.42%,1804,57.44
全市,111/06,114.36,114.11,113.71,0.44%,0.18%,0.34%,1812,57.69
全市,111/07,115.08,114.43,114.10,0.63%,0.28%,0.34%,1823,58.06
全市,111/08,115.46,114.97,114.44,0.33%,0.47%,0.30%,1829,58.25
全市,111/09,115.64,115.39,114.75,0.16%,0.37%,0.28%,1832,58.34
全市,111/10,115.83,115.64,115.04,0.16%,0.59%,0.53%,1835,58.44
全市,111/11,116.04,115.84,115.40,0.18%,0.17%,0.32%,1838,58.54
全市,111/12,115.68,115.85,115.62,-0.31%,0.01%,0.19%,1833,58.36
全市,112/01,115.47,115.73,115.69,-0.18%,-0.10%,0.06%,1829,58.25
全市,112/02,115.21,115.45,115.65,-0.23%,-0.24%,-0.04%,1825,58.12
全市,112/03,114.93,115.20,115.53,-0.24%,-0.22%,-0.10%,1821,57.98
全市,112/04,115.05,115.06,115.40,0.1%,-0.12%,-0.11%,1823,58.05
全市,112/05,115.36,115.11,115.28,0.27%,0.04%,-0.10%,1828,58.20
全市,112/06,115.39,115.27,115.24,0.03%,0.13%,-0.04%,1828,58.22
全市,112/07,115.81,115.52,115.29,0.36%,0.22%,0.05%,1835,58.43
全市,112/08,116.85,116.02,115.57,0.9%,0.43%,0.24%,1851,58.95
全市,112/09,117.53,116.73,116.00,0.58%,0.61%,0.37%,1862,59.29
全市,112/10,118.19,117.52,116.52,0.56%,0.68%,0.45%,1872,59.63
全市,112/11,119.09,118.27,117.14,0.76%,0.64%,0.53%,1887,60.08
全市,112/12,119.72,119.00,117.87,0.53%,0.62%,0.62%,1896,60.40
全市,113/01,120.53,119.78,118.65,0.68%,0.66%,0.67%,1909,60.81
全市,113/02,122.25,120.83,119.55,1.43%,0.88%,0.76%,1937,61.68
全市,113/03,124.56,122.45,120.72,1.89%,1.34%,0.98%,1973,62.84
全市,113/04,126.60,124.47,122.13,1.64%,1.65%,1.17%,2006,63.87
全市,113/05,127.79,126.32,123.58,0.94%,1.49%,1.19%,2024,64.47
全市,113/06,128.28,127.56,125.00,0.38%,0.98%,1.15%,2032,64.72
全市,113/07,129.23,128.43,126.45,0.74%,0.69%,1.16%,2047,65.20
全市,113/08,130.16,129.22,127.77,0.72%,0.62%,1.04%,2062,65.67
全市,113/09,130.53,129.97,128.77,0.28%,0.58%,0.78%,2068,65.85
全市,113/10,130.72,130.47,129.45,0.15%,0.38%,0.53%,2071,65.95
全市,113/11,130.75,130.67,129.95,0.02%,0.15%,0.39%,2071,65.95
全市,113/12,130.65,130.71,130.34,-0.08%,0.03%,0.30%,2070,65.92
全市,114/01,130.21,130.54,130.50,-0.34%,-0.13%,0.12%,2063,65.70
全市,114/02,130.34,130.40,130.53,0.1%,-0.11%,0.02%,2065,65.76
全市,114/03,128.39,129.65,130.18,-1.5%,-0.58%,-0.27%,2034,64.78
全市,114/04,128.62,129.12,129.83,0.18%,-0.41%,-0.27%,2038,64.90
全市,114/05,128.06,128.36,129.38,-0.44%,-0.59%,-0.35%,2029,64.62
全市,114/06,127.57,128.08,128.87,-0.38%,-0.22%,-0.39%,2021,64.36
全市,114/07,127.04,127.56,128.34,-0.42%,-0.41%,-0.41%,2013,64.11
全市,114/08,126.43,127.01,127.69,-0.48%,-0.43%,-0.51%,2003,63.79
全市,114/09,127.25,126.91,127.50,0.65%,-0.08%,-0.15%,2016,64.20
全市,114/10,127.69,127.12,127.34,0.35%,0.17%,-0.13%,2023,64.43
全市,114/11,127.11,127.35,127.18,-0.45%,0.18%,-0.13%,2014,64.14
全市,114/12,125.85,126.88,126.90,-0.99%,-0.37%,-0.22%,1994,63.50
全市,115/01,125.97,126.31,126.72,0.1%,-0.45%,-0.14%,1996,63.57
全市,115/02,126.81,126.21,126.78,0.67%,-0.08%,0.05%,2009,63.98
全市公寓,101/08,98.93,-,-,0%,-,-,1281,42.68
全市公寓,101/09,98.93,-,-,0.01%,-,-,1281,42.69
全市公寓,101/10,98.47,98.78,-,-0.47%,-,-,1275,42.49
全市公寓,101/11,98.01,98.47,-,-0.47%,-0.31%,-,1269,42.29
全市公寓,101/12,99.13,98.54,-,1.14%,0.07%,-,1283,42.77
全市公寓,102/01,97.39,98.18,98.48,-1.75%,-0.37%,-,1261,42.02
全市公寓,102/02,96.50,97.67,98.07,-0.91%,-0.51%,-0.41%,1249,41.64
全市公寓,102/03,101.90,98.60,98.57,5.59%,0.95%,0.50%,1319,43.97
全市公寓,102/04,105.20,101.20,99.69,3.24%,2.64%,1.14%,1362,45.39
全市公寓,102/05,104.59,103.90,100.79,-0.58%,2.66%,1.10%,1354,45.13
全市公寓,102/06,104.64,104.81,101.70,0.05%,0.88%,0.91%,1354,45.15
全市公寓,102/07,107.24,105.49,103.34,2.48%,0.65%,1.61%,1388,46.27
全市公寓,102/08,108.02,106.63,105.26,0.73%,1.08%,1.86%,1398,46.61
全市公寓,102/09,108.70,107.99,106.40,0.62%,1.27%,1.08%,1407,46.90
全市公寓,102/10,109.88,108.87,107.18,1.08%,0.81%,0.73%,1422,47.41
全市公寓,102/11,109.05,109.21,107.92,-0.75%,0.31%,0.69%,1412,47.05
全市公寓,102/12,108.56,109.16,108.57,-0.44%,-0.04%,0.61%,1405,46.84
全市公寓,103/01,111.93,109.85,109.36,3.1%,0.63%,0.72%,1449,48.29
全市公寓,103/02,111.39,110.63,109.92,-0.47%,0.71%,0.51%,1442,48.06
全市公寓,103/03,111.19,111.50,110.33,-0.19%,0.79%,0.38%,1439,47.97
全市公寓,103/04,112.43,111.67,110.76,1.11%,0.15%,0.39%,1455,48.51
全市公寓,103/05,114.64,112.75,111.69,1.97%,0.97%,0.84%,1484,49.46
全市公寓,103/06,109.76,112.27,111.89,-4.26%,-0.42%,0.18%,1421,47.36
全市公寓,103/07,109.65,111.35,111.51,-0.1%,-0.83%,-0.34%,1419,47.31
