住宅價格月指數類別,期別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價（新台幣萬元）,標準住宅單價（新台幣萬元每坪）
全市公寓,114/01,116.07,117.38,118.47,-1.59%,-0.79%,-0.45%,1502,50.07
全市公寓,114/02,116.02,116.68,117.82,-0.04%,-0.60%,-0.55%,1502,50.07
全市公寓,114/03,114.16,115.42,116.86,-1.6%,-1.08%,-0.81%,1478,49.27
全市公寓,114/04,113.17,114.45,115.92,-0.87%,-0.84%,-0.80%,1465,48.83
全市公寓,114/05,112.36,113.23,114.96,-0.72%,-1.07%,-0.83%,1454,48.47
全市公寓,114/06,112.41,112.65,114.03,0.04%,-0.51%,-0.81%,1455,48.50
全市公寓,114/07,111.90,112.22,113.34,-0.45%,-0.38%,-0.61%,1448,48.27
全市公寓,114/08,111.14,111.82,112.52,-0.68%,-0.36%,-0.72%,1439,47.97
全市公寓,114/09,111.46,111.50,112.07,0.29%,-0.29%,-0.40%,1443,48.10
全市公寓,114/10,112.04,111.55,111.89,0.52%,0.04%,-0.16%,1450,48.33
全市公寓,114/11,111.31,111.60,111.71,-0.65%,0.04%,-0.16%,1441,48.03
全市公寓,114/12,110.33,111.23,111.36,-0.88%,-0.33%,-0.31%,1428,47.60
全市公寓,115/01,110.21,110.62,111.08,-0.11%,-0.55%,-0.25%,1427,47.57
全市公寓,115/02,110.01,110.18,110.89,-0.18%,-0.40%,-0.17%,1424,47.47
全市大樓,101/08,83.61,-,-,0%,-,-,1747,48.95
全市大樓,101/09,83.92,-,-,0.38%,-,-,1754,49.13
全市大樓,101/10,84.44,83.99,-,0.62%,-,-,1765,49.43
全市大樓,101/11,84.10,84.15,-,-0.4%,0.20%,-,1758,49.23
全市大樓,101/12,88.15,85.56,-,4.82%,1.68%,-,1842,51.61
全市大樓,102/01,87.34,86.53,85.26,-0.92%,1.13%,-,1825,51.13
全市大樓,102/02,86.52,87.34,85.75,-0.94%,0.93%,0.57%,1808,50.65
全市大樓,102/03,89.55,87.80,86.68,3.5%,0.53%,1.09%,1871,52.42
全市大樓,102/04,91.46,89.18,87.85,2.14%,1.56%,1.35%,1911,53.54
全市大樓,102/05,92.51,91.17,89.25,1.14%,2.24%,1.59%,1933,54.16
全市大樓,102/06,93.17,92.38,90.09,0.72%,1.32%,0.94%,1947,54.54
全市大樓,102/07,93.67,93.11,91.14,0.53%,0.80%,1.17%,1958,54.83
全市大樓,102/08,95.31,94.05,92.61,1.75%,1.00%,1.61%,1992,55.79
全市大樓,102/09,94.72,94.56,93.47,-0.62%,0.55%,0.93%,1980,55.45
全市大樓,102/10,94.48,94.83,93.97,-0.26%,0.29%,0.54%,1975,55.31
全市大樓,102/11,95.81,95.00,94.52,1.41%,0.18%,0.59%,2002,56.09
全市大樓,102/12,98.53,96.27,95.42,2.84%,1.34%,0.95%,2059,57.68
全市大樓,103/01,99.58,97.97,96.40,1.06%,1.77%,1.03%,2081,58.29
全市大樓,103/02,99.69,99.26,97.13,0.11%,1.32%,0.76%,2083,58.36
全市大樓,103/03,98.38,99.21,97.74,-1.32%,-0.05%,0.63%,2056,57.59
全市大樓,103/04,97.61,98.56,98.26,-0.78%,-0.66%,0.53%,2040,57.14
全市大樓,103/05,101.05,99.01,99.14,3.52%,0.46%,0.89%,2112,59.16
全市大樓,103/06,101.20,99.95,99.58,0.15%,0.95%,0.45%,2115,59.24
全市大樓,103/07,102.06,101.43,99.99,0.85%,1.48%,0.42%,2133,59.75
全市大樓,103/08,101.90,101.72,100.36,-0.15%,0.28%,0.37%,2130,59.66
全市大樓,103/09,99.75,101.24,100.59,-2.11%,-0.47%,0.23%,2085,58.40
全市大樓,103/10,99.45,100.37,100.90,-0.31%,-0.86%,0.31%,2078,58.22
全市大樓,103/11,102.11,100.44,101.08,2.67%,0.07%,0.18%,2134,59.78
全市大樓,103/12,101.45,101.00,101.12,-0.64%,0.56%,0.04%,2120,59.39
全市大樓,104/01,101.21,101.59,100.98,-0.24%,0.58%,-0.14%,2115,59.25
全市大樓,104/02,98.71,100.45,100.44,-2.47%,-1.12%,-0.53%,2063,57.79
全市大樓,104/03,99.21,99.71,100.35,0.51%,-0.74%,-0.09%,2073,58.08
全市大樓,104/04,102.59,100.17,100.88,3.41%,0.46%,0.52%,2144,60.06
全市大樓,104/05,104.34,102.05,101.25,1.7%,1.87%,0.37%,2181,61.08
全市大樓,104/06,103.31,103.41,101.56,-0.98%,1.34%,0.31%,2159,60.48
全市大樓,104/07,102.87,103.51,101.84,-0.42%,0.09%,0.27%,2150,60.23
全市大樓,104/08,101.50,102.56,102.30,-1.34%,-0.91%,0.46%,2121,59.42
全市大樓,104/09,101.88,102.08,102.75,0.37%,-0.47%,0.43%,2129,59.64
全市大樓,104/10,100.09,101.15,102.33,-1.76%,-0.91%,-0.41%,2092,58.59
全市大樓,104/11,98.66,100.21,101.38,-1.43%,-0.94%,-0.92%,2062,57.76
全市大樓,104/12,96.71,98.49,100.28,-1.97%,-1.72%,-1.09%,2021,56.62
全市大樓,105/01,96.17,97.18,99.17,-0.56%,-1.33%,-1.11%,2010,56.30
全市大樓,105/02,95.69,96.19,98.20,-0.5%,-1.02%,-0.98%,2000,56.02
全市大樓,105/03,97.30,96.39,97.44,1.68%,0.20%,-0.78%,2034,56.96
全市大樓,105/04,98.18,97.06,97.12,0.91%,0.70%,-0.33%,2052,57.48
全市大樓,105/05,95.72,97.07,96.63,-2.51%,0.01%,-0.50%,2001,56.04
全市大樓,105/06,94.93,96.28,96.33,-0.83%,-0.81%,-0.31%,1984,55.57
全市大樓,105/07,97.43,96.03,96.54,2.63%,-0.26%,0.22%,2036,57.04
全市大樓,105/08,100.43,97.60,97.33,3.08%,1.64%,0.82%,2099,58.80
全市大樓,105/09,97.78,98.55,97.41,-2.64%,0.97%,0.08%,2044,57.25
全市大樓,105/10,99.10,99.11,97.57,1.35%,0.57%,0.16%,2071,58.02
全市大樓,105/11,100.05,98.98,98.29,0.96%,-0.13%,0.74%,2091,58.57
全市大樓,105/12,101.57,100.24,99.40,1.52%,1.28%,1.13%,2123,59.46
全市大樓,106/01,99.83,100.48,99.80,-1.72%,0.24%,0.40%,2086,58.44
全市大樓,106/02,98.81,100.07,99.53,-1.01%,-0.41%,-0.27%,2065,57.85
全市大樓,106/03,97.59,98.75,99.49,-1.24%,-1.32%,-0.03%,2040,57.13
全市大樓,106/04,95.80,97.40,98.94,-1.84%,-1.36%,-0.55%,2002,56.08
全市大樓,106/05,96.97,96.79,98.43,1.22%,-0.63%,-0.52%,2027,56.77
全市大樓,106/06,97.06,96.61,97.68,0.1%,-0.18%,-0.76%,2029,56.82
全市大樓,106/07,96.60,96.87,97.14,-0.47%,0.28%,-0.55%,2019,56.55
全市大樓,106/08,99.28,97.64,97.22,2.77%,0.80%,0.08%,2075,58.12
全市大樓,106/09,101.33,99.07,97.84,2.07%,1.46%,0.64%,2118,59.32
全市大樓,106/10,100.45,100.35,98.61,-0.87%,1.30%,0.79%,2099,58.81
全市大樓,106/11,101.83,101.20,99.42,1.37%,0.85%,0.82%,2128,59.61
全市大樓,106/12,101.39,101.23,100.15,-0.42%,0.02%,0.73%,2119,59.36
全市大樓,107/01,102.78,102.00,101.18,1.36%,0.76%,1.03%,2148,60.17
全市大樓,107/02,103.12,102.43,101.82,0.34%,0.42%,0.63%,2155,60.37
全市大樓,107/03,100.29,102.06,101.64,-2.74%,-0.36%,-0.17%,2096,58.71
全市大樓,107/04,99.26,100.89,101.45,-1.02%,-1.15%,-0.20%,2075,58.11
全市大樓,107/05,101.21,100.25,101.34,1.96%,-0.63%,-0.10%,2115,59.25
全市大樓,107/06,101.84,100.77,101.42,0.62%,0.51%,0.07%,2128,59.62
全市大樓,107/07,102.81,101.95,101.42,0.95%,1.17%,-,2149,60.19
全市大樓,107/08,99.78,101.47,100.86,-2.94%,-0.47%,-0.55%,2085,58.41
全市大樓,107/09,99.09,100.56,100.66,-0.69%,-0.90%,-0.20%,2071,58.01
全市大樓,107/10,97.00,98.62,100.29,-2.1%,-1.92%,-0.37%,2027,56.79
全市大樓,107/11,96.32,97.47,99.47,-0.7%,-1.17%,-0.81%,2013,56.39
全市大樓,107/12,96.51,96.61,98.58,0.19%,-0.88%,-0.89%,2017,56.50
全市大樓,108/01,98.07,96.97,97.79,1.62%,0.37%,-0.80%,2050,57.41
全市大樓,108/02,97.40,97.33,97.40,-0.68%,0.37%,-0.41%,2036,57.02
全市大樓,108/03,99.10,98.19,97.40,1.74%,0.89%,-,2071,58.01
全市大樓,108/04,97.29,97.93,97.45,-1.82%,-0.26%,0.05%,2033,56.96
全市大樓,108/05,98.20,98.20,97.76,0.94%,0.27%,0.32%,2052,57.49
全市大樓,108/06,99.43,98.31,98.25,1.25%,0.11%,0.50%,2078,58.21
全市大樓,108/07,98.57,98.73,98.33,-0.86%,0.43%,0.08%,2060,57.71
全市大樓,108/08,98.90,98.97,98.58,0.33%,0.24%,0.25%,2067,57.90
全市大樓,108/09,99.71,99.06,98.68,0.82%,0.09%,0.10%,2084,58.37
全市大樓,108/10,98.36,98.99,98.86,-1.35%,-0.07%,0.18%,2056,57.58
全市大樓,108/11,100.98,99.68,99.33,2.66%,0.70%,0.47%,2110,59.12
全市大樓,108/12,102.32,100.55,99.81,1.33%,0.87%,0.48%,2139,59.90
全市大樓,109/01,103.32,102.21,100.60,0.98%,1.64%,0.79%,2159,60.49
全市大樓,109/02,103.44,103.03,101.36,0.12%,0.80%,0.75%,2162,60.56
全市大樓,109/03,104.16,103.64,102.10,0.7%,0.60%,0.73%,2177,60.98
全市大樓,109/04,104.13,103.91,103.06,-0.03%,0.26%,0.94%,2176,60.96
全市大樓,109/05,104.38,104.22,103.63,0.24%,0.30%,0.55%,2182,61.11
全市大樓,109/06,104.25,104.25,103.95,-0.12%,0.03%,0.31%,2179,61.03
全市大樓,109/07,104.30,104.31,104.11,0.05%,0.05%,0.16%,2180,61.06
全市大樓,109/08,104.36,104.30,104.26,0.06%,-0.01%,0.15%,2181,61.09
全市大樓,109/09,105.48,104.71,104.48,1.07%,0.39%,0.21%,2204,61.75
全市大樓,109/10,106.14,105.33,104.82,0.63%,0.59%,0.32%,2218,62.14
全市大樓,109/11,105.23,105.62,104.96,-0.86%,0.28%,0.14%,2199,61.61
全市大樓,109/12,106.17,105.85,105.28,0.89%,0.22%,0.30%,2219,62.16
全市大樓,110/01,106.84,106.08,105.70,0.63%,0.22%,0.40%,2233,62.55
全市大樓,110/02,107.84,106.95,106.28,0.94%,0.82%,0.55%,2254,63.14
全市大樓,110/03,108.69,107.79,106.82,0.79%,0.79%,0.50%,2272,63.63
全市大樓,110/04,108.95,108.49,107.29,0.24%,0.65%,0.44%,2277,63.78
全市大樓,110/05,109.11,108.92,107.93,0.15%,0.39%,0.60%,2280,63.88
全市大樓,110/06,108.89,108.98,108.39,-0.2%,0.06%,0.42%,2276,63.75
全市大樓,110/07,108.90,108.97,108.73,0.01%,-0.02%,0.32%,2276,63.75
全市大樓,110/08,109.84,109.21,109.06,0.86%,0.22%,0.31%,2296,64.30
全市大樓,110/09,111.17,109.97,109.48,1.21%,0.70%,0.38%,2323,65.08
全市大樓,110/10,112.78,111.26,110.12,1.45%,1.18%,0.58%,2357,66.02
全市大樓,110/11,113.32,112.42,110.82,0.48%,1.04%,0.64%,2368,66.34
全市大樓,110/12,114.66,113.59,111.78,1.18%,1.03%,0.87%,2396,67.13
全市大樓,111/01,115.15,114.38,112.82,0.43%,0.70%,0.93%,2407,67.41
全市大樓,111/02,115.75,115.19,113.81,0.52%,0.71%,0.87%,2419,67.76
全市大樓,111/03,116.22,115.71,114.65,0.41%,0.45%,0.74%,2429,68.04
全市大樓,111/04,117.37,116.45,115.41,0.99%,0.64%,0.67%,2453,68.71
全市大樓,111/05,117.57,117.05,116.12,0.17%,0.52%,0.61%,2457,68.83
全市大樓,111/06,118.22,117.72,116.71,0.55%,0.57%,0.51%,2471,69.21
全市大樓,111/07,118.73,118.17,117.31,0.43%,0.39%,0.51%,2481,69.51
全市大樓,111/08,118.87,118.61,117.83,0.12%,0.37%,0.44%,2484,69.59
全市大樓,111/09,119.02,118.87,118.30,0.13%,0.22%,0.40%,2488,69.68
全市大樓,111/10,119.69,119.19,118.68,0.56%,0.49%,0.72%,2501,70.07
全市大樓,111/11,120.17,119.63,119.12,0.4%,0.36%,0.37%,2511,70.35
全市大樓,111/12,120.06,119.97,119.42,-0.09%,0.29%,0.26%,2509,70.29
全市大樓,112/01,119.88,120.04,119.62,-0.15%,0.05%,0.16%,2505,70.18
全市大樓,112/02,119.69,119.88,119.75,-0.16%,-0.13%,0.11%,2502,70.07
全市大樓,112/03,119.56,119.71,119.84,-0.11%,-0.14%,0.08%,2499,69.99
全市大樓,112/04,119.52,119.59,119.81,-0.03%,-0.10%,-0.02%,2498,69.97
全市大樓,112/05,120.01,119.70,119.79,0.41%,0.09%,-0.02%,2508,70.25
全市大樓,112/06,120.30,119.94,119.83,0.24%,0.21%,0.03%,2514,70.42
全市大樓,112/07,121.13,120.48,120.04,0.69%,0.45%,0.17%,2532,70.91
全市大樓,112/08,121.47,120.97,120.33,0.28%,0.40%,0.25%,2539,71.11
全市大樓,112/09,122.41,121.67,120.81,0.77%,0.58%,0.39%,2558,71.66
全市大樓,112/10,123.35,122.41,121.45,0.77%,0.61%,0.53%,2578,72.21
全市大樓,112/11,124.25,123.34,122.15,0.73%,0.76%,0.58%,2597,72.74
全市大樓,112/12,125.73,124.44,123.06,1.19%,0.89%,0.74%,2628,73.61
全市大樓,113/01,126.83,125.60,124.01,0.87%,0.93%,0.77%,2651,74.25
全市大樓,113/02,128.96,127.17,125.26,1.68%,1.25%,1.01%,2695,75.50
全市大樓,113/03,131.72,129.17,126.81,2.14%,1.57%,1.24%,2753,77.11
全市大樓,113/04,134.15,131.61,128.61,1.84%,1.89%,1.42%,2804,78.53
全市大樓,113/05,135.58,133.82,130.50,1.07%,1.68%,1.47%,2834,79.37
全市大樓,113/06,136.20,135.31,132.24,0.46%,1.11%,1.33%,2847,79.74
全市大樓,113/07,137.33,136.37,133.99,0.83%,0.78%,1.32%,2870,80.40
全市大樓,113/08,138.72,137.42,135.62,1.01%,0.77%,1.21%,2899,81.21
全市大樓,113/09,139.36,138.47,136.89,0.46%,0.77%,0.94%,2913,81.59
全市大樓,113/10,140.12,139.40,137.89,0.55%,0.67%,0.73%,2929,82.03
全市大樓,113/11,140.32,139.93,138.68,0.14%,0.38%,0.57%,2933,82.15
全市大樓,113/12,140.28,140.24,139.36,-0.03%,0.22%,0.49%,2932,82.12
全市大樓,114/01,140.29,140.30,139.85,0.01%,0.04%,0.35%,2932,82.12
全市大樓,114/02,140.85,140.47,140.20,0.4%,0.12%,0.25%,2944,82.46
全市大樓,114/03,139.10,140.08,140.16,-1.24%,-0.28%,-0.03%,2907,81.43
全市大樓,114/04,139.50,139.82,140.06,0.29%,-0.19%,-0.07%,2915,81.65
全市大樓,114/05,139.12,139.24,139.86,-0.27%,-0.41%,-0.14%,2908,81.46
全市大樓,114/06,138.52,139.05,139.56,-0.43%,-0.14%,-0.21%,2895,81.09
全市大樓,114/07,138.09,138.58,139.20,-0.31%,-0.34%,-0.26%,2886,80.84
全市大樓,114/08,137.88,138.16,138.70,-0.15%,-0.30%,-0.36%,2882,80.73
全市大樓,114/09,139.53,138.50,138.77,1.2%,0.25%,0.05%,2916,81.68
全市大樓,114/10,139.66,139.02,138.80,0.09%,0.38%,0.02%,2919,81.76
全市大樓,114/11,139.08,139.42,138.79,-0.42%,0.29%,-0.01%,2907,81.43
全市大樓,114/12,137.15,138.63,138.57,-1.39%,-0.57%,-0.16%,2866,80.28
全市大樓,115/01,137.39,137.87,138.45,0.17%,-0.55%,-0.09%,2871,80.42
全市大樓,115/02,138.59,137.71,138.57,0.87%,-0.12%,0.09%,2896,81.12
全市小宅,101/08,82.81,-,-,0%,-,-,715,51.11
全市小宅,101/09,82.90,-,-,0.11%,-,-,716,51.16
全市小宅,101/10,84.57,83.43,-,2.01%,-,-,731,52.19
全市小宅,101/11,83.43,83.63,-,-1.35%,0.25%,-,721,51.49
全市小宅,101/12,84.83,84.28,-,1.68%,0.77%,-,733,52.35
全市小宅,102/01,84.93,84.40,83.91,0.12%,0.14%,-,734,52.42
全市小宅,102/02,86.42,85.39,84.51,1.75%,1.18%,0.72%,747,53.34
全市小宅,102/03,87.61,86.32,85.30,1.38%,1.09%,0.93%,757,54.07
全市小宅,102/04,89.34,87.79,86.09,1.97%,1.70%,0.93%,772,55.13
全市小宅,102/05,91.91,89.62,87.51,2.88%,2.08%,1.64%,794,56.72
全市小宅,102/06,94.31,91.85,89.09,2.61%,2.49%,1.81%,815,58.20
全市小宅,102/07,93.93,93.38,90.59,-0.4%,1.67%,1.68%,812,57.97
全市小宅,102/08,94.91,94.38,92.00,1.04%,1.07%,1.56%,820,58.57
全市小宅,102/09,97.23,95.36,93.61,2.44%,1.03%,1.74%,840,60.01
全市小宅,102/10,97.29,96.48,94.93,0.06%,1.17%,1.42%,841,60.04
全市小宅,102/11,97.12,97.21,95.80,-0.17%,0.76%,0.91%,839,59.94
全市小宅,102/12,97.48,97.30,96.33,0.37%,0.09%,0.55%,842,60.16
全市小宅,103/01,101.56,98.72,97.60,4.19%,1.46%,1.32%,878,62.68
全市小宅,103/02,104.09,101.04,99.13,2.49%,2.35%,1.57%,899,64.24
全市小宅,103/03,101.75,102.47,99.88,-2.25%,1.41%,0.76%,879,62.80
全市小宅,103/04,102.21,102.68,100.70,0.45%,0.21%,0.82%,883,63.08
全市小宅,103/05,104.30,102.75,101.90,2.04%,0.07%,1.19%,901,64.37
全市小宅,103/06,103.44,103.32,102.89,-0.82%,0.55%,0.97%,894,63.84
全市小宅,103/07,105.30,104.35,103.52,1.8%,1.00%,0.61%,910,64.98
全市小宅,103/08,103.60,104.11,103.43,-1.61%,-0.22%,-0.08%,895,63.94
全市小宅,103/09,101.90,103.60,103.46,-1.64%,-0.49%,0.02%,880,62.89
全市小宅,103/10,102.01,102.50,103.43,0.11%,-1.06%,-0.03%,881,62.96
全市小宅,103/11,106.68,103.53,103.82,4.58%,1.00%,0.38%,922,65.84
全市小宅,103/12,103.85,104.18,103.89,-2.65%,0.63%,0.07%,897,64.09
全市小宅,104/01,102.79,104.44,103.47,-1.02%,0.25%,-0.40%,888,63.44
全市小宅,104/02,102.08,102.91,103.22,-0.69%,-1.47%,-0.24%,882,63.00
全市小宅,104/03,103.77,102.88,103.53,1.66%,-0.03%,0.30%,897,64.04
全市小宅,104/04,102.72,102.86,103.65,-1.01%,-0.02%,0.11%,888,63.40
全市小宅,104/05,104.95,103.81,103.36,2.17%,0.93%,-0.28%,907,64.77
全市小宅,104/06,105.27,104.31,103.60,0.3%,0.48%,0.23%,910,64.97
全市小宅,104/07,102.87,104.36,103.61,-2.28%,0.05%,0.01%,889,63.49
全市小宅,104/08,99.83,102.66,103.24,-2.96%,-1.64%,-0.36%,863,61.61
全市小宅,104/09,100.28,100.99,102.65,0.45%,-1.62%,-0.56%,866,61.89
全市小宅,104/10,100.12,100.08,102.22,-0.16%,-0.91%,-0.42%,865,61.79
全市小宅,104/11,101.00,100.47,101.56,0.88%,0.39%,-0.64%,873,62.33
全市小宅,104/12,99.32,100.15,100.57,-1.66%,-0.32%,-0.98%,858,61.29
全市小宅,105/01,99.35,99.89,99.98,0.03%,-0.26%,-0.58%,858,61.31
全市小宅,105/02,98.00,98.89,99.68,-1.36%,-1.00%,-0.31%,847,60.48
全市小宅,105/03,98.21,98.52,99.33,0.21%,-0.37%,-0.35%,849,60.61
全市小宅,105/04,97.34,97.85,98.87,-0.89%,-0.68%,-0.47%,841,60.08
全市小宅,105/05,99.63,98.39,98.64,2.35%,0.56%,-0.23%,861,61.49
全市小宅,105/06,100.73,99.23,98.88,1.1%,0.85%,0.24%,870,62.17
全市小宅,105/07,98.97,99.78,98.81,-1.75%,0.55%,-0.06%,855,61.08
全市小宅,105/08,99.52,99.74,99.07,0.56%,-0.04%,0.26%,860,61.42
全市小宅,105/09,98.69,99.06,99.15,-0.83%,-0.68%,0.08%,853,60.91
全市小宅,105/10,97.56,98.59,99.18,-1.14%,-0.47%,0.04%,843,60.21
全市小宅,105/11,96.41,97.55,98.65,-1.18%,-1.05%,-0.54%,833,59.50
全市小宅,105/12,99.00,97.66,98.36,2.69%,0.11%,-0.29%,855,61.10
全市小宅,106/01,95.76,97.06,97.82,-3.27%,-0.61%,-0.54%,827,59.10
全市小宅,106/02,96.40,97.05,97.30,0.67%,-,-0.53%,833,59.49
全市小宅,106/03,95.82,95.99,96.83,-0.6%,-1.09%,-0.49%,828,59.14
全市小宅,106/04,96.85,96.36,96.71,1.07%,0.38%,-0.12%,837,59.77
全市小宅,106/05,99.02,97.23,97.14,2.24%,0.91%,0.45%,856,61.11
全市小宅,106/06,100.16,98.68,97.34,1.15%,1.49%,0.20%,865,61.81
全市小宅,106/07,98.91,99.36,97.86,-1.25%,0.70%,0.54%,855,61.04
全市小宅,106/08,96.82,98.63,97.93,-2.11%,-0.74%,0.07%,837,59.75
全市小宅,106/09,98.95,98.23,98.45,2.2%,-0.41%,0.53%,855,61.07
全市小宅,106/10,96.66,97.48,98.42,-2.31%,-0.76%,-0.03%,835,59.66
全市小宅,106/11,98.69,98.10,98.37,2.1%,0.64%,-0.06%,853,60.91
全市小宅,106/12,98.96,98.10,98.17,0.27%,-,-0.20%,855,61.07
全市小宅,107/01,101.23,99.63,98.55,2.29%,1.55%,0.39%,875,62.48
全市小宅,107/02,99.08,99.76,98.93,-2.12%,0.13%,0.38%,856,61.14
全市小宅,107/03,97.35,99.22,98.66,-1.75%,-0.54%,-0.27%,841,60.08
全市小宅,107/04,99.31,98.58,99.10,2.01%,-0.65%,0.45%,858,61.29
全市小宅,107/05,100.24,98.97,99.36,0.94%,0.39%,0.26%,866,61.86
全市小宅,107/06,101.63,100.39,99.81,1.39%,1.44%,0.45%,878,62.72
全市小宅,107/07,101.82,101.23,99.91,0.19%,0.83%,0.10%,880,62.84
全市小宅,107/08,99.21,100.89,99.93,-2.56%,-0.34%,0.02%,857,61.23
全市小宅,107/09,97.20,99.41,99.90,-2.03%,-1.46%,-0.03%,840,59.99
全市小宅,107/10,99.04,98.48,99.86,1.89%,-0.93%,-0.05%,856,61.12
全市小宅,107/11,100.12,98.79,99.84,1.09%,0.31%,-0.02%,865,61.79
全市小宅,107/12,102.81,100.66,100.03,2.69%,1.89%,0.20%,888,63.45
全市小宅,108/01,101.47,101.47,99.98,-1.3%,0.80%,-0.06%,877,62.62
全市小宅,108/02,99.62,101.30,100.04,-1.82%,-0.16%,0.07%,861,61.48
全市小宅,108/03,98.41,99.83,100.25,-1.21%,-1.45%,0.20%,850,60.73
全市小宅,108/04,100.07,99.37,100.42,1.69%,-0.47%,0.17%,865,61.76
全市小宅,108/05,100.62,99.70,100.50,0.55%,0.34%,0.08%,869,62.10
全市小宅,108/06,100.33,100.34,100.09,-0.29%,0.64%,-0.41%,867,61.92
全市小宅,108/07,99.19,100.05,99.71,-1.14%,-0.29%,-0.38%,857,61.21
全市小宅,108/08,100.78,100.10,99.90,1.6%,0.05%,0.19%,871,62.19
全市小宅,108/09,100.86,100.28,100.31,0.08%,0.18%,0.41%,871,62.25
全市小宅,108/10,100.47,100.70,100.38,-0.39%,0.43%,0.07%,868,62.00
全市小宅,108/11,99.93,100.42,100.26,-0.54%,-0.28%,-0.11%,863,61.67
全市小宅,108/12,99.66,100.02,100.15,-0.27%,-0.40%,-0.11%,861,61.51
全市小宅,109/01,100.75,100.11,100.41,1.09%,0.09%,0.26%,870,62.18
全市小宅,109/02,101.59,100.67,100.54,0.83%,0.55%,0.13%,878,62.70
全市小宅,109/03,102.12,101.49,100.75,0.52%,0.81%,0.21%,882,63.02
全市小宅,109/04,101.31,101.67,100.89,-0.79%,0.18%,0.14%,875,62.53
全市小宅,109/05,100.27,101.23,100.95,-1.03%,-0.43%,0.06%,866,61.88
全市小宅,109/06,100.58,100.72,101.10,0.31%,-0.51%,0.15%,869,62.07
全市小宅,109/07,102.70,101.18,101.43,2.11%,0.46%,0.32%,887,63.38
全市小宅,109/08,104.15,102.48,101.86,1.41%,1.28%,0.42%,900,64.28
全市小宅,109/09,103.64,103.50,102.11,-0.49%,1.00%,0.25%,895,63.96
全市小宅,109/10,103.25,103.68,102.43,-0.38%,0.18%,0.32%,892,63.72
全市小宅,109/11,104.07,103.65,103.07,0.79%,-0.03%,0.62%,899,64.23
全市小宅,109/12,103.65,103.66,103.58,-0.4%,-,0.50%,896,63.97
全市小宅,110/01,103.49,103.74,103.71,-0.15%,0.08%,0.13%,894,63.87
全市小宅,110/02,105.12,104.09,103.87,1.58%,0.34%,0.16%,908,64.87
全市小宅,110/03,106.39,105.00,104.33,1.21%,0.88%,0.44%,919,65.66
全市小宅,110/04,105.84,105.78,104.76,-0.52%,0.75%,0.41%,914,65.32
全市小宅,110/05,105.43,105.89,104.99,-0.39%,0.10%,0.22%,911,65.07
全市小宅,110/06,105.47,105.58,105.29,0.04%,-0.29%,0.29%,911,65.09
全市小宅,110/07,104.46,105.12,105.45,-0.96%,-0.44%,0.15%,903,64.47
全市小宅,110/08,105.72,105.22,105.55,1.21%,0.09%,0.09%,913,65.25
全市小宅,110/09,107.65,105.94,105.76,1.83%,0.69%,0.20%,930,66.44
全市小宅,110/10,109.31,107.56,106.34,1.54%,1.53%,0.55%,944,67.46
全市小宅,110/11,110.22,109.06,107.14,0.83%,1.39%,0.75%,952,68.02
全市小宅,110/12,111.52,110.35,108.15,1.18%,1.18%,0.94%,964,68.82
全市小宅,111/01,111.90,111.21,109.39,0.34%,0.78%,1.15%,967,69.06
全市小宅,111/02,112.22,111.88,110.47,0.29%,0.60%,0.99%,970,69.25
全市小宅,111/03,112.70,112.27,111.31,0.43%,0.35%,0.76%,974,69.55
全市小宅,111/04,113.25,112.72,111.97,0.49%,0.40%,0.59%,978,69.89
全市小宅,111/05,112.89,112.95,112.41,-0.32%,0.20%,0.40%,975,69.67
全市小宅,111/06,111.85,112.66,112.47,-0.92%,-0.25%,0.05%,966,69.03
全市小宅,111/07,112.00,112.25,112.49,0.13%,-0.37%,0.01%,968,69.12
全市小宅,111/08,113.07,112.31,112.63,0.96%,0.05%,0.13%,977,69.78
全市小宅,111/09,113.04,112.70,112.68,-0.03%,0.35%,0.05%,977,69.76
全市小宅,111/10,112.83,112.98,112.61,-0.19%,0.60%,-0.01%,975,69.63
全市小宅,111/11,112.81,112.89,112.60,-0.02%,-0.08%,-0.01%,975,69.62
全市小宅,111/12,111.48,112.37,112.54,-1.18%,-0.46%,-0.05%,963,68.80
全市小宅,112/01,110.48,111.59,112.29,-0.9%,-0.70%,-0.23%,955,68.18
全市小宅,112/02,110.24,110.73,111.81,-0.22%,-0.77%,-0.42%,952,68.03
全市小宅,112/03,109.84,110.19,111.28,-0.36%,-0.49%,-0.48%,949,67.79
全市小宅,112/04,109.60,109.89,110.74,-0.22%,-0.27%,-0.48%,947,67.64
全市小宅,112/05,109.29,109.58,110.16,-0.28%,-0.29%,-0.53%,944,67.45
全市小宅,112/06,109.10,109.33,109.76,-0.17%,-0.23%,-0.36%,943,67.33
全市小宅,112/07,109.94,109.44,109.67,0.77%,0.10%,-0.08%,950,67.85
全市小宅,112/08,110.07,109.70,109.64,0.12%,0.24%,-0.03%,951,67.93
全市小宅,112/09,110.81,110.27,109.80,0.67%,0.52%,0.15%,957,68.39
全市小宅,112/10,111.60,110.83,110.14,0.71%,0.50%,0.30%,964,68.87
全市小宅,112/11,112.98,111.80,110.75,1.24%,0.88%,0.55%,976,69.73
