分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小   計,67695,2731246950,110607232,42248880,26440868,5009922,10798090
總計,黃   金,62667,2580846400,105300327,39629652,25417510,4817650,9394492
總計,鑽   飾,3951,103083200,3999476,2048348,847258,160878,1040212
總計,裸   鑽,132,5931500,248979,9000,3000,458,5542
總計,其   他,945,41385850,1058450,561880,173100,30936,357844
松隆分處,小   計,10665,450842600,17787484,7896501,4911880,936558,2048063
松隆分處,黃   金,9971,430110300,17106580,7459794,4773380,910198,1776216
松隆分處,鑽   飾,484,12308700,497168,382037,113500,21959,246578
松隆分處,裸   鑽,15,716000,31597,9000,3000,458,5542
松隆分處,其   他,195,7707600,152139,45670,22000,3943,19727
古亭分處,小   計,5495,234372500,10506892,2943357,1892358,351843,699156
古亭分處,黃   金,4928,209451900,9408478,2558833,1663500,309054,586279
古亭分處,鑽   飾,468,20542500,944332,379894,226758,42659,110477
古亭分處,裸   鑽,13,603000,24249,0,0,0,0
古亭分處,其   他,86,3775100,129833,4630,2100,130,2400
雙園分處,小   計,10225,385677600,15917845,5731456,3656000,698581,1376875
雙園分處,黃   金,9753,376430600,15491074,5680285,3641500,695911,1342874
雙園分處,鑽   飾,413,6969000,323528,48811,13500,2592,32719
雙園分處,裸   鑽,14,837500,43443,0,0,0,0
雙園分處,其   他,45,1440500,59800,2360,1000,78,1282
龍山分處,小   計,6828,229713100,8932723,4841757,3069500,587174,1185083
龍山分處,黃   金,6403,220088800,8671267,4683989,3021500,577097,1085392
龍山分處,鑽   飾,320,6824500,166982,157768,48000,10077,99691
龍山分處,裸   鑽,29,741000,32126,0,0,0,0
龍山分處,其   他,76,2058800,62348,0,0,0,0
大同分處,小   計,8070,305839100,13032144,4053323,2436330,446936,1170057
大同分處,黃   金,7584,292599400,12483075,3704769,2313630,424581,966558
大同分處,鑽   飾,398,9786500,386382,108894,49000,9822,50072
大同分處,裸   鑽,8,230000,15163,0,0,0,0
大同分處,其   他,80,3223200,147524,239660,73700,12533,153427
中山分處,小   計,10969,501869350,18806618,8553851,5392800,1025938,2135113
中山分處,黃   金,9832,464298400,17820031,8249405,5299000,1008363,1942042
中山分處,鑽   飾,835,19797500,664155,302466,93500,17514,191452
中山分處,裸   鑽,29,744000,32510,0,0,0,0
中山分處,其   他,273,17029450,289922,1980,300,61,1619
景美分處,小   計,6105,231439000,9700388,2517150,1548500,298097,670553
景美分處,黃   金,5571,216193500,9078427,2015719,1311500,254232,449987
景美分處,鑽   飾,445,12237000,501324,501431,237000,43865,220566
景美分處,裸   鑽,8,530000,24820,0,0,0,0
景美分處,其   他,81,2478500,95817,0,0,0,0
士林分處,小   計,9338,391493700,15923138,5711485,3533500,664795,1513190
士林分處,黃   金,8625,371673500,15241395,5276858,3393500,638214,1245144
士林分處,鑽   飾,588,14617500,515605,167047,66000,12390,88657
士林分處,裸   鑽,16,1530000,45071,0,0,0,0
士林分處,其   他,109,3672700,121067,267580,74000,14191,179389
