分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小計,54848,2776242600,103733916,41589077,24101986,3364916,14122175
總計,黃金,49996,2571813100,97612984,32794419,20046100,2766172,9982147
總計,鑽飾,3287,88854200,3421384,6096297,2761786,412794,2921717
總計,裸鑽,131,7280500,309390,585364,435000,57932,92432
總計,其他,1434,108294800,2390158,2112997,859100,128018,1125879
松隆分處,小計,9154,513985900,18106068,6498292,3654500,515689,2328103
松隆分處,黃金,8075,429081200,16087859,4237272,2626500,360194,1250578
松隆分處,鑽飾,477,13806400,563679,599702,268500,43572,287630
松隆分處,裸鑽,18,662000,33124,66999,50000,6804,10195
松隆分處,其他,584,70436300,1421406,1594319,709500,105119,779700
古亭分處,小計,4744,236878600,9343040,5579242,3356286,470617,1752339
古亭分處,黃金,4230,212605600,8526154,3760439,2338500,324282,1097657
古亭分處,鑽飾,412,18349500,583448,1725582,968786,138053,618743
古亭分處,裸鑽,10,451000,24184,61222,30000,5002,26220
古亭分處,其他,92,5472500,209254,31999,19000,3280,9719
雙園分處,小計,0,0,2957,458681,202000,33227,223454
雙園分處,黃金,0,0,0,428562,189000,31121,208441
雙園分處,鑽飾,0,0,0,17000,8000,1306,7694
雙園分處,裸鑽,0,0,0,0,0,0,0
雙園分處,其他,0,0,2957,13119,5000,800,7319
龍山分處,小計,10824,505721200,19838098,8920566,5554200,777668,2588698
龍山分處,黃金,10172,491009300,19261881,8537364,5408200,756477,2372687
龍山分處,鑽飾,464,9554100,392400,383202,146000,21191,216011
龍山分處,裸鑽,46,848000,52813,0,0,0,0
龍山分處,其他,142,4309800,131004,0,0,0,0
大同分處,小計,6186,289626400,11351608,1719016,1033200,133528,552288
大同分處,黃金,5833,280084700,10986249,1434140,959700,123848,350592
大同分處,鑽飾,273,7117200,284984,284876,73500,9680,201696
大同分處,裸鑽,9,156500,8689,0,0,0,0
大同分處,其他,71,2268000,71686,0,0,0,0
中山分處,小計,10488,557450700,19660382,7488728,4279400,601925,2607403
中山分處,黃金,9221,513364000,18414600,5354425,3254800,455009,1644616
中山分處,鑽飾,875,21433500,797349,1466189,619000,93173,754016
中山分處,裸鑽,30,3511000,104405,457143,355000,46126,56017
中山分處,其他,362,19142200,344028,210971,50600,7617,152754
景美分處,小計,5318,266924000,9843392,3119611,1662000,248073,1209538
景美分處,黃金,4881,253976200,9315473,2497066,1351000,197565,948501
景美分處,鑽飾,356,8993000,373158,622545,311000,50508,261037
景美分處,裸鑽,7,1073000,48516,0,0,0,0
景美分處,其他,74,2881800,106245,0,0,0,0
士林分處,小計,8134,405655800,15588371,7804941,4360400,584189,2860352
士林分處,黃金,7584,391692100,15017811,6545151,3918400,517676,2109075
士林分處,鑽飾,430,9600500,426366,997201,367000,55311,574890
士林分處,裸鑽,11,579000,37659,0,0,0,0
士林分處,其他,109,3784200,106535,262589,75000,11202,176387
