分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小計,56316,2734557100,107331025,36579660,18313041,2749112,15517507
總計,黃金,51656,2577008800,101183960,24808286,12612900,1813008,10382378
總計,鑽飾,3405,89991400,3994357,8263328,4486141,763724,3013463
總計,裸鑽,131,5397500,267191,768089,556000,77254,134835
總計,其他,1124,62159400,1885517,2739957,658000,95126,1986831
松隆分處,小計,9470,475441000,17806128,10845845,5072100,724515,5049230
松隆分處,黃金,8495,430288800,16211477,8865490,4412600,619717,3833173
松隆分處,鑽飾,550,17034500,719016,1037432,488500,77667,471265
松隆分處,裸鑽,19,826500,65396,0,0,0,0
松隆分處,其他,406,27291200,810239,942923,171000,27131,744792
古亭分處,小計,4908,235613300,9702233,3622287,1975541,306243,1340503
古亭分處,黃金,4422,215937300,8845261,1034730,532500,73922,428308
古亭分處,鑽飾,388,14220500,636286,1915158,1249541,203951,461666
古亭分處,裸鑽,11,504000,18292,111849,90000,11324,10525
古亭分處,其他,87,4951500,202394,560550,103500,17046,440004
雙園分處,小計,0,0,639091,2655053,1298800,199381,1156872
雙園分處,黃金,0,0,587255,2230106,1088300,159820,981986
雙園分處,鑽飾,0,0,26277,314947,191500,36524,86923
雙園分處,裸鑽,0,0,22650,0,0,0,0
雙園分處,其他,0,0,2909,110000,19000,3037,87963
龍山分處,小計,11257,494168700,20371532,1608262,748500,121037,738725
龍山分處,黃金,10594,480433600,19787447,969847,481500,72653,415694
龍山分處,鑽飾,484,9046100,409992,287716,165000,33483,89233
龍山分處,裸鑽,59,1057000,31998,3600,2000,427,1173
龍山分處,其他,120,3632000,142095,347099,100000,14474,232625
大同分處,小計,6400,298515500,12357246,4309732,2354600,353144,1601988
大同分處,黃金,6045,289433100,11931851,3165673,1701000,245953,1218720
大同分處,鑽飾,278,6930000,325902,1026186,569600,95117,361469
大同分處,裸鑽,5,110000,7506,117873,84000,12074,21799
大同分處,其他,72,2042400,91987,0,0,0,0
中山分處,小計,10498,557055500,20516214,5800449,2906500,442833,2451116
中山分處,黃金,9352,516252200,19189948,3202993,1668500,250552,1283941
中山分處,鑽飾,854,21983500,920305,1597139,771500,134139,691500
中山分處,裸鑽,22,1501000,63217,303931,232000,30350,41581
中山分處,其他,270,17318800,342744,696386,234500,27792,434094
景美分處,小計,5646,272240400,9816321,3142528,1649500,262185,1230843
景美分處,黃金,5193,258547200,9214940,1885342,949000,138232,798110
景美分處,鑽飾,372,9702500,455663,1059059,602500,105292,351267
景美分處,裸鑽,8,1145000,44322,115128,68000,13015,34113
景美分處,其他,73,2845700,101396,82999,30000,5646,47353
士林分處,小計,8137,401522700,16122260,4595504,2307500,339774,1948230
士林分處,黃金,7555,386116600,15415781,3454105,1779500,252159,1422446
士林分處,鑽飾,479,11074300,500916,1025691,448000,77551,500140
士林分處,裸鑽,7,254000,13810,115708,80000,10064,25644
士林分處,其他,96,4077800,191753,0,0,0,0
