分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小   計,68389,2790433000,110398766,59517639,36493570,6596216,16427853
總計,黃   金,63550,2646949400,105399860,55122216,35152070,6380511,13589635
總計,鑽   石,135,4725500,243323,171873,41200,7172,123501
總計,其   他,4704,138758100,4755583,4223550,1300300,208533,2714717
松隆分處,小   計,10801,463931100,17440873,10304455,5870000,1075403,3359052
松隆分處,黃   金,10129,446421100,16811169,8950271,5563000,1026850,2360421
松隆分處,鑽   石,10,344000,14559,0,0,0,0
松隆分處,其   他,662,17166000,615145,1354184,307000,48553,998631
大安分處,小   計,0,0,2563,772121,322000,56715,393406
大安分處,黃   金,0,0,2563,299726,198000,34079,67647
大安分處,鑽   石,0,0,0,0,0,0,0
大安分處,其   他,0,0,0,472395,124000,22636,325759
古亭分處,小   計,5724,259362100,10983660,5269762,3260700,600894,1408168
古亭分處,黃   金,5200,228664500,10078403,5018171,3191500,589317,1237354
古亭分處,鑽   石,14,480000,27193,3873,1200,236,2437
古亭分處,其   他,510,30217600,878064,247718,68000,11341,168377
古亭分處,小   計,5724,259362100,10986223,6041883,3582700,657609,1801574
古亭分處,黃   金,5200,228664500,10080966,5317897,3389500,623396,1305001
古亭分處,鑽   石,14,480000,27193,3873,1200,236,2437
古亭分處,其   他,510,30217600,878064,720113,192000,33977,494136
雙園分處,小   計,10452,405048700,16018055,6911412,4365800,777722,1767890
雙園分處,黃   金,9876,393783900,15618676,6773161,4328500,771432,1673229
雙園分處,鑽   石,19,970000,39036,0,0,0,0
雙園分處,其   他,557,10294800,360343,138251,37300,6290,94661
龍山分處,小   計,6645,225214300,8797796,5435555,3330000,604613,1500942
龍山分處,黃   金,6236,217806200,8538391,4997070,3185000,579506,1232564
龍山分處,鑽   石,38,842500,42261,0,0,0,0
龍山分處,其   他,371,6565600,217144,438485,145000,25107,268378
大同分處,小   計,8182,309695700,12771124,5986788,3734870,665199,1586719
大同分處,黃   金,7725,295475000,12182204,5626731,3624370,652215,1350146
大同分處,鑽   石,6,134000,4442,0,0,0,0
大同分處,其   他,451,14086700,584478,360057,110500,12984,236573
中山分處,小   計,11026,509352100,18288137,7377316,4645100,832693,1899523
中山分處,黃   金,9969,478166300,17339380,6966111,4485100,813471,1667540
中山分處,鑽   石,19,466000,22035,0,0,0,0
中山分處,其   他,1038,30719800,926722,411205,160000,19222,231983
景美分處,小   計,6141,229879800,10009638,4901055,2986500,540127,1374428
景美分處,黃   金,5644,216281200,9450059,4167754,2703500,487903,976351
景美分處,鑽   石,16,494000,37211,168000,40000,6936,121064
景美分處,其   他,481,13104600,522368,565301,243000,45288,277013
士林分處,小   計,9418,387949200,16086920,12559175,7978600,1442850,3137725
士林分處,黃   金,8771,370351200,15379015,12323221,7873100,1425738,3024383
士林分處,鑽   石,13,995000,56586,0,0,0,0
士林分處,其   他,634,16603000,651319,235954,105500,17112,113342
