分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小   計,80236,3712068696,136436881,12910186,5338340,722282,6849564
總計,黃   金,75432,3575714896,131591377,10230661,4558098,593800,5078763
總計,鑽   石,206,7994000,335925,0,0,0,0
總計,其   他,4598,128359800,4509579,2679525,780242,128482,1770801
松隆分處,小   計,13437,648851700,22609629,2081059,864942,119706,1096411
松隆分處,黃   金,12721,629532200,21795256,1533843,700500,94237,739106
松隆分處,鑽   石,27,849000,37611,0,0,0,0
松隆分處,其   他,689,18470500,776762,547216,164442,25469,357305
大安分處,小   計,3307,184485900,7370736,528771,263600,34490,230681
大安分處,黃   金,3077,166467200,6735102,382519,217500,26775,138244
大安分處,鑽   石,8,1918000,76020,0,0,0,0
大安分處,其   他,222,16100700,559614,146252,46100,7715,92437
古亭分處,小   計,4056,210693100,7644803,647260,262000,36121,349139
古亭分處,黃   金,3754,201381900,7293642,552030,228000,30326,293704
古亭分處,鑽   石,11,881000,40502,0,0,0,0
古亭分處,其   他,291,8430200,310659,95230,34000,5795,55435
雙園分處,小   計,12241,493095100,18761048,1879542,731500,105342,1042700
雙園分處,黃   金,11749,484130400,18381625,1428791,597500,80930,750361
雙園分處,鑽   石,24,350500,12689,0,0,0,0
雙園分處,其   他,468,8614200,366734,450751,134000,24412,292339
龍山分處,小   計,6996,277755000,10425931,761353,339000,43714,378639
龍山分處,黃   金,6758,271934000,10210216,732388,333000,42328,357060
龍山分處,鑽   石,50,664000,33899,0,0,0,0
龍山分處,其   他,188,5157000,181816,28965,6000,1386,21579
大同分處,小   計,10129,440838000,16788783,2169775,944500,118500,1106775
大同分處,黃   金,9810,434271500,16546758,1926074,866500,110829,948745
大同分處,鑽   石,3,68000,4158,0,0,0,0
大同分處,其   他,316,6498500,237867,243701,78000,7671,158030
中山分處,小   計,11493,616272800,20958697,1912961,715100,105764,1092097
中山分處,黃   金,10206,575115500,19848861,1092172,501600,65869,524703
中山分處,鑽   石,50,1556000,54802,0,0,0,0
中山分處,其   他,1237,39601300,1055034,820789,213500,39895,567394
景美分處,小   計,6661,280404096,11081585,538106,196795,25720,315591
景美分處,黃   金,6200,269759796,10708986,355957,146795,19714,189448
景美分處,鑽   石,19,1053000,28332,0,0,0,0
景美分處,其   他,442,9591300,344267,182149,50000,6006,126143
士林分處,小   計,7297,348919800,13074328,1262542,554700,75045,632797
士林分處,黃   金,6771,337065700,12552678,1158641,523200,69666,565775
士林分處,鑽   石,9,544500,44832,0,0,0,0
士林分處,其   他,517,11309600,476818,103901,31500,5379,67022
北投分處,小   計,4619,210753200,7721341,1128817,466203,57880,604734
北投分處,黃   金,4386,206056700,7518253,1068246,443503,53126,571617
北投分處,鑽   石,5,110000,3080,0,0,0,0
北投分處,其   他,228,4586500,200008,60571,22700,4754,33117
