分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小   計,70342,2919042500,112095912,60574420,41456800,6518741,12598879
總計,黃   金,65721,2776737300,107081278,59802750,41234200,6487718,12080832
總計,鑽   石,139,6064500,281306,93810,28000,5555,60255
總計,其   他,4482,136240700,4733328,677860,194600,25468,457792
松隆分處,小   計,11208,516242600,18548468,10633398,7420500,1167640,2045258
松隆分處,黃   金,10590,500208100,17929755,10594908,7409500,1165268,2020140
松隆分處,鑽   石,12,354000,29600,0,0,0,0
松隆分處,其   他,606,15680500,589113,38490,11000,2372,25118
古亭分處,小   計,6543,290881700,11773522,7608255,5218200,799711,1590344
古亭分處,黃   金,5998,261381800,10693712,7483715,5189700,795069,1498946
古亭分處,鑽   石,21,1367000,32953,0,0,0,0
古亭分處,其   他,524,28132900,1046857,124540,28500,4642,91398
雙園分處,小   計,10518,400463200,15612593,6024942,4060200,655326,1309416
雙園分處,黃   金,10033,391754200,15253706,5985322,4051700,653628,1279994
雙園分處,鑽   石,21,913500,41241,0,0,0,0
雙園分處,其   他,464,7795500,317646,39620,8500,1698,29422
龍山分處,小   計,6576,240994100,9170544,5506831,3841800,601126,1063905
龍山分處,黃   金,6267,234349000,8909774,5493601,3840300,600952,1052349
龍山分處,鑽   石,24,472000,25246,0,0,0,0
龍山分處,其   他,285,6173100,235524,13230,1500,174,11556
大同分處,小   計,8489,327316000,13032363,7724886,5223900,810633,1690353
大同分處,黃   金,8017,311158500,12581206,7664356,5211300,808852,1644204
大同分處,鑽   石,12,198000,7078,0,0,0,0
大同分處,其   他,460,15959500,444079,60530,12600,1781,46149
中山分處,小   計,11245,507781800,17872273,9158559,6178000,968518,2012041
中山分處,黃   金,10133,471904300,16884207,8910859,6097200,959195,1854464
中山分處,鑽   石,21,1066000,50055,3910,1000,231,2679
中山分處,其   他,1091,34811500,938011,243790,79800,9092,154898
景美分處,小   計,5893,227497500,9704263,3951983,2694900,434641,822442
景美分處,黃   金,5450,214621800,9150004,3889953,2676000,430959,782994
景美分處,鑽   石,11,419000,19704,40000,16000,3319,20681
景美分處,其   他,432,12456700,534555,22030,2900,363,18767
士林分處,小   計,9870,407865600,16381886,9965566,6819300,1081146,2065120
士林分處,黃   金,9233,391359600,15678914,9780036,6758500,1073795,1947741
士林分處,鑽   石,17,1275000,75429,49900,11000,2005,36895
士林分處,其   他,620,15231000,627543,135630,49800,5346,80484
