分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小   計,70483,2903595900,113445420,91824442,64411932,11057135,16355375
總計,黃   金,65954,2770212300,108682116,88245211,63350090,10868339,14026782
總計,鑽   石,164,6290500,243797,28460,19000,3267,6193
總計,其   他,4365,127093100,4519507,3550771,1042842,185529,2322400
松隆分處,小   計,11085,494379700,18040261,14919174,10488900,1817745,2612529
松隆分處,黃   金,10477,479561300,17414080,14699417,10425900,1807509,2466008
松隆分處,鑽   石,14,458000,27988,0,0,0,0
松隆分處,其   他,594,14360400,598193,219757,63000,10236,146521
古亭分處,小   計,6566,290970400,12473767,10188411,7078142,1246163,1864106
古亭分處,黃   金,6071,264921300,11408137,9057942,6675900,1166720,1215322
古亭分處,鑽   石,12,500000,17134,0,0,0,0
古亭分處,其   他,483,25549100,1048496,1130469,402242,79443,648784
雙園分處,小   計,10510,402131100,15793387,10395541,7173500,1204826,2017215
雙園分處,黃   金,10061,394038100,15536743,10007572,7105500,1194465,1707607
雙園分處,鑽   石,29,1173000,20524,0,0,0,0
雙園分處,其   他,420,6920000,236120,387969,68000,10361,309608
龍山分處,小   計,6292,223272100,8948571,8616738,6250000,1073608,1293130
龍山分處,黃   金,5950,216349400,8670128,8495558,6210000,1065908,1219650
龍山分處,鑽   石,54,645000,37167,0,0,0,0
龍山分處,其   他,288,6277700,241276,121180,40000,7700,73480
大同分處,小   計,8503,313431700,13004512,11440654,8022000,1379418,2039236
大同分處,黃   金,8119,302548400,12643968,11420014,8018500,1378828,2022686
大同分處,鑽   石,10,204000,9496,0,0,0,0
大同分處,其   他,374,10679300,351048,20640,3500,590,16550
中山分處,小   計,10976,503741900,18180406,18389591,12683900,2154224,3551467
中山分處,黃   金,9826,467289700,17176219,17257160,12360900,2101421,2794839
中山分處,鑽   石,20,1425500,46114,0,0,0,0
中山分處,其   他,1130,35026700,958073,1132431,323000,52803,756628
景美分處,小   計,5698,225607500,9704243,5542251,3995890,687210,859151
景美分處,黃   金,5255,212647900,9201384,5390203,3933590,676958,779655
景美分處,鑽   石,9,805000,23800,28460,19000,3267,6193
景美分處,其   他,434,12154600,479059,123588,43300,6985,73303
士林分處,小   計,6617,273940200,10573560,8105615,5771700,984648,1349267
士林分處,黃   金,6147,261684500,10081111,7946438,5736400,979188,1230850
士林分處,鑽   石,11,955000,58004,0,0,0,0
士林分處,其   他,459,11300700,434445,159177,35300,5460,118417
北投分處,小   計,4236,176121300,6726713,4226467,2947900,509293,769274
北投分處,黃   金,4048,171171700,6550346,3970907,2883400,497342,590165
北投分處,鑽   石,5,125000,3570,0,0,0,0
北投分處,其   他,183,4824600,172797,255560,64500,11951,179109
