分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小計,65416,2990333500,110565030,59869577,26646876,4481556,28741145
總計,黃金,60138,2827799600,104560322,56848762,25637876,4292528,26918358
總計,鑽飾,4017,100032500,4195439,1625958,586500,114118,925340
總計,裸鑽,160,7170000,379116,11189,4000,846,6343
總計,其他,1101,55331400,1430153,1383668,418500,74064,891104
松隆分處,小計,10666,497650000,17989074,14435624,6375976,1050957,7008691
松隆分處,黃金,9700,460105400,16754090,13888407,6242276,1027546,6618585
松隆分處,鑽飾,584,16514100,686397,211394,57700,11702,141992
松隆分處,裸鑽,24,1157000,54113,0,0,0,0
松隆分處,其他,358,19873500,494474,335869,76000,11755,248114
古亭分處,小計,5779,270585900,10594266,5951892,2745500,462097,2744295
古亭分處,黃金,5277,249387400,9711953,5833743,2705500,455215,2673028
古亭分處,鑽飾,410,15945500,659653,19399,10000,1571,7828
古亭分處,裸鑽,16,1184000,43901,0,0,0,0
古亭分處,其他,76,4069000,178759,98750,30000,5311,63439
雙園分處,小計,2996,120602800,13288170,7539905,3381800,590847,3567258
雙園分處,黃金,2825,116975400,12916461,7292299,3312500,577951,3401848
雙園分處,鑽飾,142,2505400,265717,85107,23300,4270,57537
雙園分處,裸鑽,11,436500,54924,0,0,0,0
雙園分處,其他,18,685500,51068,162499,46000,8626,107873
龍山分處,小計,11711,491554900,10331797,4199767,1897900,334520,1967347
龍山分處,黃金,10966,476317400,9949568,3728103,1709900,295776,1722427
龍山分處,鑽飾,558,10368100,240816,258364,102000,22411,133953
龍山分處,裸鑽,55,908500,42225,0,0,0,0
龍山分處,其他,132,3960900,99188,213300,86000,16333,110967
大同分處,小計,7540,324974300,12489968,6705942,3000500,507913,3197529
大同分處,黃金,7083,313853300,11980533,6342880,2828000,475909,3038971
大同分處,鑽飾,360,8630200,392222,314262,158500,28753,127009
大同分處,裸鑽,6,140000,8224,0,0,0,0
大同分處,其他,91,2350800,108989,48800,14000,3251,31549
中山分處,小計,11459,573173600,19614030,9132953,3983500,665471,4483982
中山分處,黃金,10226,532054500,18357788,8560670,3792000,632457,4136213
中山分處,鑽飾,961,22288400,914796,260833,84000,16562,160271
中山分處,裸鑽,22,1942000,78066,0,0,0,0
中山分處,其他,250,16888700,263380,311450,107500,16452,187498
景美分處,小計,6032,275475700,9971309,6004569,2674500,447142,2882927
景美分處,黃金,5555,260779600,9341319,5724741,2587500,430455,2706786
景美分處,鑽飾,409,10728100,474998,157639,58000,10798,88841
景美分處,裸鑽,7,730000,58316,11189,4000,846,6343
景美分處,其他,61,3238000,96676,111000,25000,5043,80957
士林分處,小計,9233,436316300,16286416,5898925,2587200,422609,2889116
士林分處,黃金,8506,418326600,15548610,5477919,2460200,397219,2620500
士林分處,鑽飾,593,13052700,560840,319006,93000,18097,207909
士林分處,裸鑽,19,672000,39347,0,0,0,0
士林分處,其他,115,4265000,137619,102000,34000,7293,60707
