分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小計,67747,2812708050,112402083,43723436,25553844,4596341,13573251
總計,黃金,62603,2652873050,106547835,41168262,24664444,4434704,12069114
總計,鑽飾,3975,105001400,4272257,1740306,626000,119950,994356
總計,裸鑽,147,8612500,341039,0,0,0,0
總計,其他,1022,46221100,1240952,814868,263400,41687,509781
松隆分處,小計,10700,454585400,18577528,7608490,4406244,788920,2413326
松隆分處,黃金,9891,426555100,17718919,7270230,4285244,768087,2216899
松隆分處,鑽飾,531,15100400,549410,158260,47000,9163,102097
松隆分處,裸鑽,18,1030000,33944,0,0,0,0
松隆分處,其他,260,11899900,275255,180000,74000,11670,94330
古亭分處,小計,5824,245447700,10585449,3669632,2201000,399859,1068773
古亭分處,黃金,5275,221875100,9578637,3664742,2198500,399400,1066842
古亭分處,鑽飾,450,18196700,788465,4890,2500,459,1931
古亭分處,裸鑽,15,696000,22983,0,0,0,0
古亭分處,其他,84,4679900,195364,0,0,0,0
雙園分處,小計,9757,379983500,15128031,4634166,2533500,455101,1645565
雙園分處,黃金,9313,371144000,14786800,4195378,2404500,434375,1356503
雙園分處,鑽飾,393,7358500,278317,68900,19000,3046,46854
雙園分處,裸鑽,14,450500,16091,0,0,0,0
雙園分處,其他,37,1030500,46823,369888,110000,17680,242208
龍山分處,小計,6797,246509500,8932548,5449174,3003400,564608,1881166
龍山分處,黃金,6366,236919300,8646169,4749125,2736900,508183,1504042
龍山分處,鑽飾,307,5829000,188410,512649,213500,46136,253013
龍山分處,裸鑽,34,980000,43418,0,0,0,0
龍山分處,其他,90,2781200,54551,187400,53000,10289,124111
大同分處,小計,7926,308783000,12914514,5925515,3626000,639905,1659610
大同分處,黃金,7465,296629400,12367524,5459003,3461500,612003,1385500
大同分處,鑽飾,369,9385000,422274,466512,164500,27902,274110
大同分處,裸鑽,10,265000,10912,0,0,0,0
大同分處,其他,82,2503600,113804,0,0,0,0
中山分處,小計,11314,530330500,19712123,7163509,4178000,737735,2247774
中山分處,黃金,10097,488765000,18472499,7051876,4140000,732988,2178888
中山分處,鑽飾,898,21391200,834573,58503,15000,2896,40607
中山分處,裸鑽,31,3414000,98438,0,0,0,0
中山分處,其他,288,16760300,306613,53130,23000,1851,28279
景美分處,小計,5938,233006950,9565802,3944198,2349300,426606,1168292
景美分處,黃金,5456,217600550,8960802,3886739,2326300,422117,1138322
景美分處,鑽飾,412,12294500,498751,57459,23000,4489,29970
景美分處,裸鑽,9,931000,21898,0,0,0,0
景美分處,其他,61,2180900,84351,0,0,0,0
士林分處,小計,9491,414061500,16986088,5218878,3214400,574431,1430047
士林分處,黃金,8740,393384600,16016485,4891169,3111500,557551,1222118
士林分處,鑽飾,615,15446100,712057,303259,99500,16683,187076
士林分處,裸鑽,16,846000,93355,0,0,0,0
士林分處,其他,120,4384800,164191,24450,3400,197,20853
北投分處,小計,0,0,0,109874,42000,9176,58698
北投分處,黃金,0,0,0,0,0,0,0
北投分處,鑽飾,0,0,0,109874,42000,9176,58698
北投分處,裸鑽,0,0,0,0,0,0,0
北投分處,其他,0,0,0,0,0,0,0
