分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小   計,77135,3444867246,137476598,14373597,7570044,1305533,5498020
總計,黃   金,72265,3299165696,132435167,9567240,5979744,1054789,2532707
總計,鑽   石,173,6489000,391334,40500,7000,1214,32286
總計,其   他,4697,139212550,4650097,4765857,1583300,249530,2933027
松隆分處,小   計,12468,583158600,22134172,1915379,1051500,181704,682175
松隆分處,黃   金,11828,567154500,21422797,1403282,909000,160399,333883
松隆分處,鑽   石,19,635000,28942,0,0,0,0
松隆分處,其   他,621,15369100,682433,512097,142500,21305,348292
大安分處,小   計,3049,173544300,7530498,2302866,1377300,238460,687106
大安分處,黃   金,2774,145146800,6561916,1366280,876500,154282,335498
大安分處,鑽   石,8,1364000,181646,33500,5000,857,27643
大安分處,其   他,267,27033500,786936,903086,495800,83321,323965
古亭分處,小   計,3893,186728400,7447446,621461,307200,52339,261922
古亭分處,黃   金,3582,177419800,7073545,354266,220200,40073,93993
古亭分處,鑽   石,10,581000,29792,0,0,0,0
古亭分處,其   他,301,8727600,344109,267195,87000,12266,167929
雙園分處,小   計,11835,457973700,19036233,1066459,620000,106446,340013
雙園分處,黃   金,11380,450366200,18720523,892704,577000,100098,215606
雙園分處,鑽   石,25,254000,16088,0,0,0,0
雙園分處,其   他,430,7353500,299622,173755,43000,6348,124407
龍山分處,小   計,6768,258602500,10523957,1340364,763500,133066,443798
龍山分處,黃   金,6468,251045800,10268172,1107259,695500,123223,288536
龍山分處,鑽   石,56,770000,38937,0,0,0,0
龍山分處,其   他,244,6786700,216848,233105,68000,9843,155262
大同分處,小   計,9630,392783200,17145706,1661205,1004500,186238,470467
大同分處,黃   金,9264,384285700,16855407,1524295,967000,179696,377599
大同分處,鑽   石,4,92000,3587,0,0,0,0
大同分處,其   他,362,8405500,286712,136910,37500,6542,92868
中 山 分處,小   計,11826,613888300,21288240,2110275,1009700,164884,935691
中 山 分處,黃   金,10475,571681600,20205892,1214311,748200,122527,343584
中 山 分處,鑽   石,26,1658000,43312,0,0,0,0
中 山 分處,其   他,1325,40548700,1039036,895964,261500,42357,592107
景美分處,小   計,6229,253025446,11419628,1459943,542410,85442,832091
景美分處,黃   金,5760,242440296,11020483,503608,280910,46804,175894
景美分處,鑽   石,12,576000,24012,0,0,0,0
景美分處,其   他,457,10009150,375133,956335,261500,38638,656197
士林分處,小   計,7205,340801800,13407566,1159201,563100,103166,492935
士林分處,黃   金,6680,328968000,12924509,712781,427600,81460,203721
士林分處,鑽   石,6,469000,20153,7000,2000,357,4643
士林分處,其   他,519,11364800,462904,439420,133500,21349,284571
北投分處,小   計,4232,184361000,7543152,736444,330834,53788,351822
北投分處,黃   金,4054,180657000,7381923,488454,277834,46227,164393
北投分處,鑽   石,7,90000,4865,0,0,0,0
北投分處,其   他,171,3614000,156364,247990,53000,7561,187429
