分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小   計,71624,2964810463,119762413,54782412,36977800,6236523,11568089
總計,黃   金,66913,2828978898,114831754,48342239,34420100,5800137,8122002
總計,鑽   石,178,5056700,190653,428478,130500,23647,274331
總計,其   他,4533,130774865,4740006,6011695,2427200,412739,3171756
松隆分處,小   計,11383,505779900,19255186,4438212,3045500,496666,0
松隆分處,黃   金,10732,488987600,18628707,4117094,2942000,480668,694426
松隆分處,鑽   石,19,523000,18630,0,0,0,0
松隆分處,其   他,632,16269300,607849,321118,103500,15998,201620
大安分處,小   計,2452,137511100,6947192,7964842,5102200,866495,1996147
大安分處,黃   金,2233,117643600,5985479,5421182,3882300,644330,894552
大安分處,鑽   石,3,164000,8924,220000,60000,11130,148870
大安分處,其   他,216,19703500,952789,2323660,1159900,211035,952725
古亭分處,小   計,4117,171750400,6435855,4601636,3313500,568177,719959
古亭分處,黃   金,3812,162007300,6108085,4374208,3200000,550534,623674
古亭分處,鑽   石,10,297200,5956,0,0,0,0
古亭分處,其   他,295,9445900,321814,227428,113500,17643,96285
雙園分處,小   計,10694,401671100,16580948,5891010,3888700,657754,1344556
雙園分處,黃   金,10277,395692100,16305098,5731631,3852200,651254,1228177
雙園分處,鑽   石,19,172500,7651,9888,4500,945,4443
雙園分處,其   他,398,5806500,268199,149491,32000,5555,111936
龍山分處,小   計,6314,221198665,9286829,3630410,2532500,434090,663820
龍山分處,黃   金,5969,213588000,9011470,3432370,2475000,425312,532058
龍山分處,鑽   石,70,837000,35153,23600,4000,603,18997
龍山分處,其   他,275,6773665,240206,174440,53500,8175,112765
大同分處,小   計,8906,323441800,14371571,3747954,2599000,445758,703196
大同分處,黃   金,8560,314779800,14073848,3727955,2592000,444582,691373
大同分處,鑽   石,10,243000,5152,0,0,0,0
大同分處,其   他,336,8419000,292571,19999,7000,1176,11823
中山分處,小   計,11203,516552100,18903204,9146932,6020200,1040659,2086073
中山分處,黃   金,9889,476259600,17778730,8168319,5731500,992649,1444170
中山分處,鑽   石,23,1617000,53182,174990,62000,10969,102021
中山分處,其   他,1291,38675500,1071292,803623,226700,37041,539882
景美分處,小   計,5553,219212998,9876092,6010354,3969500,635656,1405198
景美分處,黃   金,5115,208356198,9415688,4789437,3455500,556646,777291
景美分處,鑽   石,7,303000,12280,0,0,0,0
景美分處,其   他,431,10553800,448124,1220917,514000,79010,627907
士林分處,小   計,6750,288289000,11427159,5185194,3645100,625828,914266
士林分處,黃   金,6277,276961800,11001724,4785196,3533000,606541,645655
士林分處,鑽   石,12,810000,41107,0,0,0,0
士林分處,其   他,461,10517200,384328,399998,112100,19287,268611
北投分處,小   計,4252,179403400,6678377,4165868,2861600,465440,838828
北投分處,黃   金,4049,174702900,6522925,3794847,2756600,447621,590626
北投分處,鑽   石,5,90000,2618,0,0,0,0
北投分處,其   他,198,4610500,152834,371021,105000,17819,248202
