行政區,筆數總計,面積總計_公頃,公告土地現值總額總計_千元,都市土地公有筆數,都市土地公有面積_公頃,都市土地公有公告土地現值總額_千元,都市土地私有筆數,都市土地私有面積_公頃,都市土地私有公告土地現值總額_千元,都市土地公私共有筆數,都市土地公私共有面積_公頃,都市土地公私共有公告土地現值總額_千元
松山區,17578,822.414604,2581215552,5130,501.83493,1171885894,11521,275.48804,1168616149,927,45.091634,240713509
信義區,27543,1119.25851,3518294056,7531,542.792115,1873996356,18429,516.002268,1442362199,1583,60.464127,201935501
大安區,31741,1135.069955,5451490127,10345,655.610066,2657547874,19748,400.306814,2177559609,1648,79.153075,616382644
中山區,26983,1334.469846,4032378703,7989,814.197045,1896845134,18055,457.812667,1881802256,939,62.460134,253731313
中正區,25594,716.640891,3079541415,9579,463.454693,1778881310,15451,215.142945,1108934979,564,38.043253,191725126
大同區,27033,410.059146,1232442432,5929,212.841531,634769908,20642,184.417238,558094583,462,12.800377,39577941
萬華區,29203,578.703535,1213587418,6351,335.654394,597314865,22153,203.009877,521405485,699,40.039264,94867068
文山區,47569,3073.606457,1827073645,16832,1433.521156,815668155,28643,1485.773896,910858588,2094,154.311405,100546902
南港區,24852,2161.546625,1549441854,9180,939.235323,841914059,14437,1065.725366,628211404,1235,156.585936,79316391
內湖區,28278,3155.973236,2626039547,9451,939.121858,994627683,17148,1970.564595,1494236794,1679,246.286783,137175070
士林區,71994,5889.556615,3034108146,21446,2679.718314,1336429600,48218,3039.74862,1579433227,2330,170.089681,118245319
北投區,59542,5624.593916,2105337008,20646,3231.660041,926528079,37394,2297.007572,1091010481,1502,95.926303,87798448
