行政區,筆數總計,面積總計_公頃,公告土地現值總額總計_千元,都市土地公有筆數,都市土地公有面積_公頃,都市土地公有公告土地現值總額_千元,都市土地私有筆數,都市土地私有面積_公頃,都市土地私有公告土地現值總額_千元,都市土地公私共有筆數,都市土地公私共有面積_公頃,都市土地公私共有公告土地現值總額_千元
松山區,17551,822.414804,2481620549,5113,501.81733,1126514493,11534,275.594384,1123854511,904,45.00309,231251545
信義區,27493,1118.53231,3386538224,7479,541.789276,1804064386,18486,516.539785,1389236692,1528,60.203249,193237146
大安區,31685,1134.794655,5250114117,10289,654.567618,2558862471,19793,400.939907,2099453287,1603,79.28713,591798359
中山區,26910,1334.150646,3895502292,7895,813.623708,1842822630,18086,458.533895,1810093197,929,61.993043,242586465
中正區,25614,716.640991,2975712382,9559,462.747322,1715777338,15493,215.372467,1072335178,562,38.521202,187599866
大同區,27118,410.058746,1192512670,5899,212.469104,614658590,20761,184.69461,539513742,458,12.895032,38340338
萬華區,29196,578.671535,1177279962,6312,335.555659,580106589,22200,203.389412,506757328,684,39.726464,90416045
文山區,47308,3071.366312,1761991980,16582,1429.666833,794992672,28708,1488.166057,871347931,2018,153.533422,95651377
南港區,24856,2161.425779,1483995665,9139,938.12138,808020266,14530,1072.779026,600987590,1187,150.525373,74987809
內湖區,28214,3155.354129,2520566415,9385,932.771528,960259249,17161,1977.644746,1430895298,1668,244.937855,129411868
士林區,71157,5879.360842,2943600191,20864,2669.951174,1294054044,48016,3038.6592,1530521271,2277,170.750468,119024876
北投區,58992,5612.849852,2029898212,20163,3216.495822,893357270,37351,2300.966472,1053354551,1478,95.387558,83186391
