行政區,筆數總計,面積總計_公頃,公告土地現值總額總計_千元,都市土地公有筆數,都市土地公有面積_公頃,都市土地公有公告土地現值總額_千元,都市土地私有筆數,都市土地私有面積_公頃,都市土地私有公告土地現值總額_千元,都市土地公私共有筆數,都市土地公私共有面積_公頃,都市土地公私共有公告土地現值總額_千元
松山區,17625 ,822.72,2709375127,5175 ,499.76,1222450973,11466 ,277.58,1233859005,984 ,45.39,253065149
信義區,27812 ,1120.04,3708307038,7565 ,521.66,1908510233,18406 ,519.79,1537814530,1841 ,78.58,261982275
大安區,31882 ,1135.12,5692160402,10361 ,649.41,2743602795,19480 ,402.02,2284040129,2041 ,83.69,664517478
中山區,27020 ,1334.76,4256374108,8146 ,812.25,1977163993,17782 ,460.97,2003412427,1092 ,61.53,275797688
中正區,25616 ,717.37,3237499123,9368 ,442.22,1734576738,15542 ,230.05,1263062175,706 ,45.1,239860210
大同區,26864 ,411,1305730918,5865 ,207.59,638560795,20502 ,188.63,612157801,497 ,14.77,55012322
萬華區,29009 ,579.66,1278248610,6229 ,324.96,587328150,21950 ,209.89,570213228,830 ,44.81,120707232
文山區,47930 ,3078.21,1937950228,17286 ,1442.16,867269374,28374 ,1478.6,960477592,2270 ,157.45,110203262
南港區,25046 ,2164.19,1652817514,8772 ,917.81,811269760,14954 ,1082.37,750472835,1320 ,164.01,91074919
內湖區,28846 ,3157.52,2775359392,9935 ,956.54,1066712606,17031 ,1931.96,1553892195,1880 ,269.02,154754591
士林區,73028 ,5917.19,3161873929,22046 ,2700.39,1387963686,48546 ,3045.47,1650906485,2436 ,171.33,123003758
北投區,60357 ,5643.87,2217017730,21165 ,3245.01,973738463,37606 ,2301.07,1147368379,1586 ,97.79,95910888
