行政區,筆數總計,面積總計_公頃,公告土地現值總額總計_千元,都市土地公有筆數,都市土地公有面積_公頃,都市土地公有公告土地現值總額_千元,都市土地私有筆數,都市土地私有面積_公頃,都市土地私有公告土地現值總額_千元,都市土地公私共有筆數,都市土地公私共有面積_公頃,都市土地公私共有公告土地現值總額_千元
松山區,17584,822.721158,2727749913,5151,499.931477,1230792097,11473,277.338391,1242764974,960,45.45129,254192842
信義區,27725,1119.958341,3726825578,7521,523.124075,1923234510,18401,518.877147,1540497382,1803,77.957119,263093686
大安區,31911,1135.107755,5723870737,10333,649.598547,2763596924,19620,402.837745,2300585672,1958,82.671463,659688141
中山區,26977,1334.750907,4268960149,8104,811.428286,1984033065,17866,457.72657,1997179053,1007,65.596051,287748031
中正區,25625,717.263057,3258521490,9355,442.160816,1749675874,15582,230.433,1270586228,688,44.669241,238259388
大同區,26890,410.992296,1305428941,5860,207.635538,639389024,20536,188.666202,611398775,494,14.690556,54641142
萬華區,29067,579.664735,1282991004,6202,324.890374,589526664,22060,209.828812,571886146,805,44.945549,121578194
文山區,47897,3078.152461,1933986241,17204,1440.956488,867890470,28503,1480.00055,955982149,2190,157.195423,110113622
南港區,24983,2164.09439,1645042694,8752,917.110125,808178399,14939,1087.460144,745944161,1292,159.524121,90920134
內湖區,28714,3157.501585,2779035876,9843,946.935665,1061907618,17064,1944.594035,1564478771,1807,265.971885,152649487
士林區,72829,5917.020976,3177970227,21959,2699.334702,1393131583,48477,3046.188855,1660744896,2393,171.497419,124093748
北投區,60280,5643.711388,2214306380,21057,3243.717947,970304318,37663,2302.964027,1150693893,1560,97.029414,93308169
