縣市別代碼,年月別,商品性質別分類,原始值[統計數值],年增率[%]
63000,95年1月,服務類(不含食物),91.86,3.32
63000,95年1月,服務類-外食費,74.23,1.99
63000,95年1月,服務類-衣著,75.59,1.64
63000,95年1月,服務類-居住,91.32,0.4
63000,95年1月,服務類-交通及通訊,98.36,0.32
63000,95年1月,服務類-醫藥保健,86.74,7.14
63000,95年1月,服務類-教養娛樂,84.17,2.32
63000,95年1月,服務類-教養,93.69,0.5
63000,95年1月,服務類-娛樂,75.88,4.2
63000,95年1月,服務類-雜項,115.9,29.92
63000,95年2月,總指數(含食物),84.65,0.1
63000,95年2月,商品類(含食物),80.96,1.84
63000,95年2月,商品類(不含食物),96.75,-1.02
63000,95年2月,商品類-非耐久性消費品(含食物),71.34,5.21
63000,95年2月,商品類-非耐久性消費品(不含食物),87.05,3.82
63000,95年2月,商品類-半耐久性消費品,84.12,-7.35
63000,95年2月,商品類-耐久性消費品,132.66,-2.3
63000,95年2月,服務類,87.36,-1.01
63000,95年2月,服務類(不含食物),90.29,-1.44
63000,95年2月,服務類-外食費,74.27,1.38
63000,95年2月,服務類-衣著,76.2,2.46
63000,95年2月,服務類-居住,91.29,-0.53
63000,95年2月,服務類-交通及通訊,98.55,-0.58
63000,95年2月,服務類-醫藥保健,86.74,7.14
63000,95年2月,服務類-教養娛樂,85.69,3.47
63000,95年2月,服務類-教養,95.36,2.3
63000,95年2月,服務類-娛樂,77.27,4.66
63000,95年2月,服務類-雜項,89.33,-23.12
63000,95年3月,總指數(含食物),84.55,0.64
63000,95年3月,商品類(含食物),81.18,-0.66
63000,95年3月,商品類(不含食物),96.57,-1.24
63000,95年3月,商品類-非耐久性消費品(含食物),71.77,1.43
63000,95年3月,商品類-非耐久性消費品(不含食物),87.17,3.64
63000,95年3月,商品類-半耐久性消費品,83.76,-8.22
63000,95年3月,商品類-耐久性消費品,132.09,-1.98
63000,95年3月,服務類,87,1.55
63000,95年3月,服務類(不含食物),89.88,1.64
63000,95年3月,服務類-外食費,74.16,1.12
63000,95年3月,服務類-衣著,76.2,2.46
63000,95年3月,服務類-居住,91.29,0.36
63000,95年3月,服務類-交通及通訊,97.64,-0.03
63000,95年3月,服務類-醫藥保健,86.74,7.14
63000,95年3月,服務類-教養娛樂,84.59,4.87
63000,95年3月,服務類-教養,95.36,2.3
63000,95年3月,服務類-娛樂,75.29,7.65
63000,95年3月,服務類-雜項,89.27,0.09
63000,95年4月,總指數(含食物),85.77,1.37
63000,95年4月,商品類(含食物),84.2,1.4
63000,95年4月,商品類(不含食物),100.06,-0.96
63000,95年4月,商品類-非耐久性消費品(含食物),73.7,4.48
63000,95年4月,商品類-非耐久性消費品(不含食物),87.84,3.88
63000,95年4月,商品類-半耐久性消費品,95.07,-6.92
63000,95年4月,商品類-耐久性消費品,131.9,-1.98
63000,95年4月,服務類,86.95,1.36
63000,95年4月,服務類(不含食物),89.96,1.52
63000,95年4月,服務類-外食費,73.51,0.52
63000,95年4月,服務類-衣著,76.2,2.46
63000,95年4月,服務類-居住,91.3,0.36
63000,95年4月,服務類-交通及通訊,97.67,-0.03
63000,95年4月,服務類-醫藥保健,86.74,7.14
63000,95年4月,服務類-教養娛樂,84.78,4.29
63000,95年4月,服務類-教養,95.36,2.3
63000,95年4月,服務類-娛樂,75.64,6.42
63000,95年4月,服務類-雜項,89.44,0.28
63000,95年5月,總指數(含食物),86.25,1.53
63000,95年5月,商品類(含食物),85.09,1.55
63000,95年5月,商品類(不含食物),99.84,-0.89
63000,95年5月,商品類-非耐久性消費品(含食物),75.26,4.89
63000,95年5月,商品類-非耐久性消費品(不含食物),88.67,4.69
63000,95年5月,商品類-半耐久性消費品,92.91,-8.26
63000,95年5月,商品類-耐久性消費品,131.8,-1.66
63000,95年5月,服務類,87.14,1.53
63000,95年5月,服務類(不含食物),90.24,1.77
63000,95年5月,服務類-外食費,73.29,0.19
63000,95年5月,服務類-衣著,76.2,2.46
63000,95年5月,服務類-居住,91.31,0.3
63000,95年5月,服務類-交通及通訊,97.88,0.17
63000,95年5月,服務類-醫藥保健,86.74,7.14
63000,95年5月,服務類-教養娛樂,84.95,4.39
63000,95年5月,服務類-教養,95.15,2.07
63000,95年5月,服務類-娛樂,76.1,6.84
63000,95年5月,服務類-雜項,92.28,3.42
63000,95年6月,總指數(含食物),86.33,1.53
63000,95年6月,商品類(含食物),84.73,2.04
63000,95年6月,商品類(不含食物),99.61,-0.94
63000,95年6月,商品類-非耐久性消費品(含食物),75.33,5.71
63000,95年6月,商品類-非耐久性消費品(不含食物),89.95,4.73
63000,95年6月,商品類-半耐久性消費品,90.42,-8.15
63000,95年6月,商品類-耐久性消費品,131.14,-2.26
63000,95年6月,服務類,87.53,1.21
63000,95年6月,服務類(不含食物),90.58,1.32
63000,95年6月,服務類-外食費,73.92,0.64
63000,95年6月,服務類-衣著,76.2,2.46
63000,95年6月,服務類-居住,91.3,0.22
63000,95年6月,服務類-交通及通訊,98.14,-0.5
63000,95年6月,服務類-醫藥保健,86.74,4.38
63000,95年6月,服務類-教養娛樂,86.89,5.77
63000,95年6月,服務類-教養,95.05,1.96
63000,95年6月,服務類-娛樂,79.67,9.71
63000,95年6月,服務類-雜項,89.51,-4.05
63000,95年7月,總指數(含食物),86.98,1.44
63000,95年7月,商品類(含食物),85.56,1.22
63000,95年7月,商品類(不含食物),99.55,0.94
63000,95年7月,商品類-非耐久性消費品(含食物),76.78,3.34
63000,95年7月,商品類-非耐久性消費品(不含食物),91.01,6.47
63000,95年7月,商品類-半耐久性消費品,87.25,-5.34
63000,95年7月,商品類-耐久性消費品,132.52,-1.35
63000,95年7月,服務類,88.05,1.6
63000,95年7月,服務類(不含食物),91.27,1.89
63000,95年7月,服務類-外食費,73.69,0.07
63000,95年7月,服務類-衣著,76.2,2.46
63000,95年7月,服務類-居住,91.31,0.29
63000,95年7月,服務類-交通及通訊,98.97,0.04
63000,95年7月,服務類-醫藥保健,86.74,2.13
63000,95年7月,服務類-教養娛樂,89.15,6.54
63000,95年7月,服務類-教養,93.94,2.09
63000,95年7月,服務類-娛樂,84.65,10.87
63000,95年7月,服務類-雜項,89.29,0.19
63000,95年8月,總指數(含食物),86.48,0.09
63000,95年8月,商品類(含食物),84.04,-2.6
63000,95年8月,商品類(不含食物),98.7,0.3
63000,95年8月,商品類-非耐久性消費品(含食物),75.59,-2.07
63000,95年8月,商品類-非耐久性消費品(不含食物),91.76,5.53
63000,95年8月,商品類-半耐久性消費品,83.57,-6.78
63000,95年8月,商品類-耐久性消費品,131.68,-1.19
63000,95年8月,服務類,88.27,2.02
63000,95年8月,服務類(不含食物),91.54,2.33
63000,95年8月,服務類-外食費,73.69,0.38
63000,95年8月,服務類-衣著,76.2,2.46
63000,95年8月,服務類-居住,91.32,0.3
63000,95年8月,服務類-交通及通訊,98.82,-0.14
63000,95年8月,服務類-醫藥保健,86.74,1.04
63000,95年8月,服務類-教養娛樂,90.25,8.66
63000,95年8月,服務類-教養,93.94,1.91
63000,95年8月,服務類-娛樂,86.63,15.35
63000,95年8月,服務類-雜項,89.1,-0.02
63000,95年9月,總指數(含食物),85.96,-0.42
63000,95年9月,商品類(含食物),83.68,-2.96
63000,95年9月,商品類(不含食物),98.55,0.02
63000,95年9月,商品類-非耐久性消費品(含食物),75.24,-2.54
63000,95年9月,商品類-非耐久性消費品(不含食物),91.87,5.03
63000,95年9月,商品類-半耐久性消費品,83.11,-6.99
63000,95年9月,商品類-耐久性消費品,131.35,-1.3
63000,95年9月,服務類,87.64,1.4
63000,95年9月,服務類(不含食物),90.77,1.49
63000,95年9月,服務類-外食費,73.67,0.92
63000,95年9月,服務類-衣著,76.2,2.46
63000,95年9月,服務類-居住,91.32,0.37
63000,95年9月,服務類-交通及通訊,98.21,-0.66
63000,95年9月,服務類-醫藥保健,86.74,1.04
63000,95年9月,服務類-教養娛樂,87.66,6.89
63000,95年9月,服務類-教養,94.2,1.52
63000,95年9月,服務類-娛樂,81.75,12.42
63000,95年9月,服務類-雜項,89.1,-4.53
63000,95年10月,總指數(含食物),86.14,-0.8
63000,95年10月,商品類(含食物),83.62,-4.42
63000,95年10月,商品類(不含食物),100.16,-0.26
63000,95年10月,商品類-非耐久性消費品(含食物),73.22,-5.23
63000,95年10月,商品類-非耐久性消費品(不含食物),88.89,3.07
63000,95年10月,商品類-半耐久性消費品,93.92,-4.44
63000,95年10月,商品類-耐久性消費品,131.5,-1.13
63000,95年10月,服務類,87.97,1.84
63000,95年10月,服務類(不含食物),91.08,2.04
63000,95年10月,服務類-外食費,74.13,0.83
63000,95年10月,服務類-衣著,76.2,2.46
63000,95年10月,服務類-居住,91.34,0.38
63000,95年10月,服務類-交通及通訊,98.33,1.13
63000,95年10月,服務類-醫藥保健,86.74,1.04
63000,95年10月,服務類-教養娛樂,87.94,5.68
63000,95年10月,服務類-教養,94.2,0.69
63000,95年10月,服務類-娛樂,82.27,10.76
63000,95年10月,服務類-雜項,91.85,3.06
63000,95年11月,總指數(含食物),85.55,-0.05
63000,95年11月,商品類(含食物),83.47,-1.5
63000,95年11月,商品類(不含食物),100.17,0.56
63000,95年11月,商品類-非耐久性消費品(含食物),73.11,-1.18
63000,95年11月,商品類-非耐久性消費品(不含食物),89.19,4.22
63000,95年11月,商品類-半耐久性消費品,93.74,-2.92
63000,95年11月,商品類-耐久性消費品,131.12,-1.41
63000,95年11月,服務類,87.08,0.99
63000,95年11月,服務類(不含食物),90.25,1.2
63000,95年11月,服務類-外食費,72.93,-0.15
63000,95年11月,服務類-衣著,76.2,2.46
63000,95年11月,服務類-居住,91.31,0.35
63000,95年11月,服務類-交通及通訊,98.21,0.9
63000,95年11月,服務類-醫藥保健,86.65,0.93
63000,95年11月,服務類-教養娛樂,85.73,3.41
63000,95年11月,服務類-教養,94.2,0.69
63000,95年11月,服務類-娛樂,78.29,6.2
63000,95年11月,服務類-雜項,89.1,0.12
63000,95年12月,總指數(含食物),85.5,0.19
63000,95年12月,商品類(含食物),83.48,-0.42
63000,95年12月,商品類(不含食物),100.15,1.33
63000,95年12月,商品類-非耐久性消費品(含食物),73.39,0.01
63000,95年12月,商品類-非耐久性消費品(不含食物),90.01,4.77
63000,95年12月,商品類-半耐久性消費品,91.33,-2.8
63000,95年12月,商品類-耐久性消費品,132.22,0.07
63000,95年12月,服務類,87,0.61
63000,95年12月,服務類(不含食物),90.06,0.77
63000,95年12月,服務類-外食費,73.35,-0.23
63000,95年12月,服務類-衣著,76.2,2.46
63000,95年12月,服務類-居住,91.31,0.35
63000,95年12月,服務類-交通及通訊,98.14,0.78
63000,95年12月,服務類-醫藥保健,86.65,0.93
63000,95年12月,服務類-教養娛樂,85.07,1.79
63000,95年12月,服務類-教養,94.2,0.66
63000,95年12月,服務類-娛樂,77.09,2.94
63000,95年12月,服務類-雜項,89.1,0.12
63000,96年1月,總指數(含食物),85.43,-0.19
63000,96年1月,商品類(含食物),83.09,2.03
63000,96年1月,商品類(不含食物),98.83,2.04
63000,96年1月,商品類-非耐久性消費品(含食物),73.49,2.64
63000,96年1月,商品類-非耐久性消費品(不含食物),89.28,3.72
63000,96年1月,商品類-半耐久性消費品,87.78,0.31
63000,96年1月,商品類-耐久性消費品,132.43,1.08
63000,96年1月,服務類,87.16,-1.66
63000,96年1月,服務類(不含食物),90.02,-2
63000,96年1月,服務類-外食費,74.4,0.23
63000,96年1月,服務類-衣著,77.22,2.16
63000,96年1月,服務類-居住,91.31,-0.01
63000,96年1月,服務類-交通及通訊,98.16,-0.2
63000,96年1月,服務類-醫藥保健,86.65,-0.1
63000,96年1月,服務類-教養娛樂,84.82,0.77
63000,96年1月,服務類-教養,94.88,1.27
63000,96年1月,服務類-娛樂,76.09,0.28
63000,96年1月,服務類-雜項,89.25,-22.99
63000,96年2月,總指數(含食物),86.75,2.48
63000,96年2月,商品類(含食物),81.98,1.26
63000,96年2月,商品類(不含食物),98.27,1.57
63000,96年2月,商品類-非耐久性消費品(含食物),72.54,1.68
63000,96年2月,商品類-非耐久性消費品(不含食物),89.74,3.09
63000,96年2月,商品類-半耐久性消費品,85.24,1.33
63000,96年2月,商品類-耐久性消費品,132.15,-0.38
63000,96年2月,服務類,90.21,3.26
63000,96年2月,服務類(不含食物),93.73,3.81
63000,96年2月,服務類-外食費,74.56,0.39
63000,96年2月,服務類-衣著,77.22,1.34
63000,96年2月,服務類-居住,91.54,0.27
63000,96年2月,服務類-交通及通訊,99.91,1.38
63000,96年2月,服務類-醫藥保健,86.65,-0.1
63000,96年2月,服務類-教養娛樂,89.88,4.89
63000,96年2月,服務類-教養,95.37,0.01
63000,96年2月,服務類-娛樂,84.81,9.76
63000,96年2月,服務類-雜項,116.47,30.38
63000,96年3月,總指數(含食物),85.14,0.71
63000,96年3月,商品類(含食物),81.94,0.94
63000,96年3月,商品類(不含食物),98.09,1.57
63000,96年3月,商品類-非耐久性消費品(含食物),72.72,1.32
63000,96年3月,商品類-非耐久性消費品(不含食物),90.12,3.38
63000,96年3月,商品類-半耐久性消費品,83.24,-0.62
63000,96年3月,商品類-耐久性消費品,133,0.69
63000,96年3月,服務類,87.49,0.56
63000,96年3月,服務類(不含食物),90.34,0.51
63000,96年3月,服務類-外食費,74.74,0.78
63000,96年3月,服務類-衣著,77.22,1.34
63000,96年3月,服務類-居住,91.3,0.01
63000,96年3月,服務類-交通及通訊,98.75,1.14
63000,96年3月,服務類-醫藥保健,86.65,-0.1
63000,96年3月,服務類-教養娛樂,85.79,1.42
63000,96年3月,服務類-教養,95.37,0.01
63000,96年3月,服務類-娛樂,77.44,2.86
63000,96年3月,服務類-雜項,89.33,0.07
63000,96年4月,總指數(含食物),86.37,0.7
63000,96年4月,商品類(含食物),84.75,0.65
63000,96年4月,商品類(不含食物),102.36,2.3
63000,96年4月,商品類-非耐久性消費品(含食物),73.91,0.28
63000,96年4月,商品類-非耐久性消費品(不含食物),90.88,3.46
63000,96年4月,商品類-半耐久性消費品,96.97,2
63000,96年4月,商品類-耐久性消費品,133.07,0.89
63000,96年4月,服務類,87.57,0.71
63000,96年4月,服務類(不含食物),90.63,0.74
63000,96年4月,服務類-外食費,73.93,0.57
63000,96年4月,服務類-衣著,77.22,1.34
63000,96年4月,服務類-居住,91.3,0
63000,96年4月,服務類-交通及通訊,98.7,1.05
63000,96年4月,服務類-醫藥保健,86.65,-0.1
63000,96年4月,服務類-教養娛樂,86.84,2.43
63000,96年4月,服務類-教養,95.37,0.01
63000,96年4月,服務類-娛樂,79.34,4.89
63000,96年4月,服務類-雜項,89.46,0.02
63000,96年5月,總指數(含食物),86.66,0.47
63000,96年5月,商品類(含食物),85.11,0.02
63000,96年5月,商品類(不含食物),102.06,2.22
63000,96年5月,商品類-非耐久性消費品(含食物),74.71,-0.73
63000,96年5月,商品類-非耐久性消費品(不含食物),91.31,2.98
63000,96年5月,商品類-半耐久性消費品,95.9,3.22
63000,96年5月,商品類-耐久性消費品,132.14,0.26
63000,96年5月,服務類,87.8,0.76
63000,96年5月,服務類(不含食物),90.85,0.68
63000,96年5月,服務類-外食費,74.18,1.21
63000,96年5月,服務類-衣著,77.22,1.34
63000,96年5月,服務類-居住,91.33,0.02
63000,96年5月,服務類-交通及通訊,98.65,0.79
63000,96年5月,服務類-醫藥保健,86.65,-0.1
63000,96年5月,服務類-教養娛樂,87.63,3.15
63000,96年5月,服務類-教養,95.37,0.23
63000,96年5月,服務類-娛樂,80.76,6.12
63000,96年5月,服務類-雜項,89.46,-3.06
63000,96年6月,總指數(含食物),87,0.78
63000,96年6月,商品類(含食物),85.28,0.65
63000,96年6月,商品類(不含食物),102.16,2.56
63000,96年6月,商品類-非耐久性消費品(含食物),75.5,0.23
63000,96年6月,商品類-非耐久性消費品(不含食物),93.33,3.76
63000,96年6月,商品類-半耐久性消費品,93.94,3.89
63000,96年6月,商品類-耐久性消費品,130.61,-0.4
63000,96年6月,服務類,88.28,0.86
63000,96年6月,服務類(不含食物),91.6,1.13
63000,96年6月,服務類-外食費,73.47,-0.61
63000,96年6月,服務類-衣著,77.22,1.34
63000,96年6月,服務類-居住,91.35,0.05
63000,96年6月,服務類-交通及通訊,98.78,0.65
63000,96年6月,服務類-醫藥保健,86.65,-0.1
63000,96年6月,服務類-教養娛樂,89.67,3.2
63000,96年6月,服務類-教養,95.37,0.34
63000,96年6月,服務類-娛樂,84.43,5.97
63000,96年6月,服務類-雜項,91.87,2.64
63000,96年7月,總指數(含食物),87.15,0.19
63000,96年7月,商品類(含食物),84.26,-1.52
63000,96年7月,商品類(不含食物),101.36,1.82
63000,96年7月,商品類-非耐久性消費品(含食物),75.01,-2.31
63000,96年7月,商品類-非耐久性消費品(不含食物),94.38,3.7
63000,96年7月,商品類-半耐久性消費品,89.29,2.34
63000,96年7月,商品類-耐久性消費品,130.59,-1.46
63000,96年7月,服務類,89.26,1.37
63000,96年7月,服務類(不含食物),92.39,1.23
63000,96年7月,服務類-外食費,75.31,2.2
63000,96年7月,服務類-衣著,77.22,1.34
63000,96年7月,服務類-居住,91.36,0.05
63000,96年7月,服務類-交通及通訊,99.22,0.25
63000,96年7月,服務類-醫藥保健,86.65,-0.1
63000,96年7月,服務類-教養娛樂,93,4.32
63000,96年7月,服務類-教養,96.86,3.11
63000,96年7月,服務類-娛樂,89.22,5.4
63000,96年7月,服務類-雜項,89.65,0.4
63000,96年8月,總指數(含食物),88.1,1.87
63000,96年8月,商品類(含食物),86.41,2.82
63000,96年8月,商品類(不含食物),101.14,2.47
63000,96年8月,商品類-非耐久性消費品(含食物),78.12,3.35
63000,96年8月,商品類-非耐久性消費品(不含食物),94.94,3.47
63000,96年8月,商品類-半耐久性消費品,87.34,4.51
63000,96年8月,商品類-耐久性消費品,130.84,-0.64
63000,96年8月,服務類,89.36,1.23
63000,96年8月,服務類(不含食物),92.39,0.93
63000,96年8月,服務類-外食費,75.83,2.9
63000,96年8月,服務類-衣著,77.22,1.34
63000,96年8月,服務類-居住,91.36,0.04
63000,96年8月,服務類-交通及通訊,99.44,0.63
63000,96年8月,服務類-醫藥保健,86.65,-0.1
63000,96年8月,服務類-教養娛樂,92.94,2.98
63000,96年8月,服務類-教養,96.86,3.11
63000,96年8月,服務類-娛樂,89.11,2.86
63000,96年8月,服務類-雜項,89.6,0.56
63000,96年9月,總指數(含食物),88.53,2.98
63000,96年9月,商品類(含食物),87.72,4.83
63000,96年9月,商品類(不含食物),100.73,2.21
63000,96年9月,商品類-非耐久性消費品(含食物),79.84,6.11
63000,96年9月,商品類-非耐久性消費品(不含食物),94.19,2.53
63000,96年9月,商品類-半耐久性消費品,86.71,4.33
63000,96年9月,商品類-耐久性消費品,131.46,0.08
63000,96年9月,服務類,89.14,1.71
63000,96年9月,服務類(不含食物),91.8,1.13
63000,96年9月,服務類-外食費,77.22,4.82
63000,96年9月,服務類-衣著,80.88,6.14
63000,96年9月,服務類-居住,91.49,0.19
63000,96年9月,服務類-交通及通訊,98.95,0.75
63000,96年9月,服務類-醫藥保健,86.62,-0.14
63000,96年9月,服務類-教養娛樂,89.91,2.57
63000,96年9月,服務類-教養,96.96,2.93
63000,96年9月,服務類-娛樂,83.57,2.23
63000,96年9月,服務類-雜項,92.35,3.65
63000,96年10月,總指數(含食物),90.17,4.68
63000,96年10月,商品類(含食物),91.58,9.52
63000,96年10月,商品類(不含食物),103.92,3.75
63000,96年10月,商品類-非耐久性消費品(含食物),82.73,12.99
63000,96年10月,商品類-非耐久性消費品(不含食物),93.81,5.53
63000,96年10月,商品類-半耐久性消費品,98.48,4.86
63000,96年10月,商品類-耐久性消費品,131.69,0.14
63000,96年10月,服務類,89.19,1.39
63000,96年10月,服務類(不含食物),91.7,0.68
63000,96年10月,服務類-外食費,77.95,5.15
63000,96年10月,服務類-衣著,80.88,6.14
63000,96年10月,服務類-居住,91.81,0.51
63000,96年10月,服務類-交通及通訊,98.97,0.65
63000,96年10月,服務類-醫藥保健,86.95,0.24
63000,96年10月,服務類-教養娛樂,89.66,1.96
63000,96年10月,服務類-教養,96.96,2.93
63000,96年10月,服務類-娛樂,83.13,1.05
63000,96年10月,服務類-雜項,89.52,-2.54
63000,96年11月,總指數(含食物),89.46,4.57
63000,96年11月,商品類(含食物),89.9,7.7
63000,96年11月,商品類(不含食物),103.9,3.72
63000,96年11月,商品類-非耐久性消費品(含食物),80.77,10.48
63000,96年11月,商品類-非耐久性消費品(不含食物),94.45,5.9
63000,96年11月,商品類-半耐久性消費品,97.26,3.76
63000,96年11月,商品類-耐久性消費品,131.71,0.45
63000,96年11月,服務類,89.15,2.38
63000,96年11月,服務類(不含食物),91.45,1.33
63000,96年11月,服務類-外食費,78.84,8.1
63000,96年11月,服務類-衣著,80.88,6.14
63000,96年11月,服務類-居住,92.03,0.79
63000,96年11月,服務類-交通及通訊,100.08,1.9
63000,96年11月,服務類-醫藥保健,87.11,0.53
63000,96年11月,服務類-教養娛樂,87.83,2.45
63000,96年11月,服務類-教養,96.96,2.93
63000,96年11月,服務類-娛樂,79.84,1.98
63000,96年11月,服務類-雜項,89.52,0.47
63000,96年12月,總指數(含食物),88.7,3.74
63000,96年12月,商品類(含食物),87.91,5.31
63000,96年12月,商品類(不含食物),103.82,3.66
63000,96年12月,商品類-非耐久性消費品(含食物),78.17,6.51
63000,96年12月,商品類-非耐久性消費品(不含食物),94.29,4.76
63000,96年12月,商品類-半耐久性消費品,97.49,6.74
63000,96年12月,商品類-耐久性消費品,131.41,-0.61
63000,96年12月,服務類,89.3,2.64
63000,96年12月,服務類(不含食物),91.57,1.68
63000,96年12月,服務類-外食費,79.09,7.83
63000,96年12月,服務類-衣著,80.88,6.14
63000,96年12月,服務類-居住,92.03,0.79
63000,96年12月,服務類-交通及通訊,100.18,2.08
63000,96年12月,服務類-醫藥保健,87.11,0.53
63000,96年12月,服務類-教養娛樂,88.23,3.71
63000,96年12月,服務類-教養,96.96,2.93
63000,96年12月,服務類-娛樂,80.56,4.5
63000,96年12月,服務類-雜項,89.52,0.47
63000,97年1月,總指數(含食物),88.31,3.37
63000,97年1月,商品類(含食物),86.34,3.91
63000,97年1月,商品類(不含食物),102,3.21
63000,97年1月,商品類-非耐久性消費品(含食物),77.5,5.46
63000,97年1月,商品類-非耐久性消費品(不含食物),94.84,6.23
63000,97年1月,商品類-半耐久性消費品,90.94,3.6
63000,97年1月,商品類-耐久性消費品,130.28,-1.62
63000,97年1月,服務類,89.72,2.94
63000,97年1月,服務類(不含食物),92.03,2.23
63000,97年1月,服務類-外食費,79.34,6.64
63000,97年1月,服務類-衣著,81.54,5.59
63000,97年1月,服務類-居住,92.36,1.15
63000,97年1月,服務類-交通及通訊,99.97,1.84
63000,97年1月,服務類-醫藥保健,88.41,2.03
63000,97年1月,服務類-教養娛樂,89.47,5.48
63000,97年1月,服務類-教養,96.96,2.19
63000,97年1月,服務類-娛樂,82.93,8.99
63000,97年1月,服務類-雜項,88.59,-0.74
63000,97年2月,總指數(含食物),89.77,3.47
63000,97年2月,商品類(含食物),87.17,6.33
63000,97年2月,商品類(不含食物),101.03,2.81
63000,97年2月,商品類-非耐久性消費品(含食物),79.32,9.35
63000,97年2月,商品類-非耐久性消費品(不含食物),94.98,5.84
63000,97年2月,商品類-半耐久性消費品,86.99,2.05
63000,97年2月,商品類-耐久性消費品,130.54,-1.22
63000,97年2月,服務類,91.58,1.52
63000,97年2月,服務類(不含食物),94.22,0.52
63000,97年2月,服務類-外食費,79.76,6.97
63000,97年2月,服務類-衣著,81.54,5.59
63000,97年2月,服務類-居住,93.53,2.17
63000,97年2月,服務類-交通及通訊,101.46,1.55
63000,97年2月,服務類-醫藥保健,88.41,2.03
63000,97年2月,服務類-教養娛樂,89.96,0.09
63000,97年2月,服務類-教養,96.96,1.67
63000,97年2月,服務類-娛樂,83.87,-1.11
63000,97年2月,服務類-雜項,105.21,-9.67
63000,97年3月,總指數(含食物),88.5,3.94
63000,97年3月,商品類(含食物),86.72,5.83
63000,97年3月,商品類(不含食物),100.98,2.95
63000,97年3月,商品類-非耐久性消費品(含食物),78.9,8.5
63000,97年3月,商品類-非耐久性消費品(不含食物),95.42,5.88
63000,97年3月,商品類-半耐久性消費品,86.13,3.47
63000,97年3月,商品類-耐久性消費品,130.45,-1.92
63000,97年3月,服務類,89.77,2.61
63000,97年3月,服務類(不含食物),91.93,1.76
63000,97年3月,服務類-外食費,80.03,7.08
63000,97年3月,服務類-衣著,81.54,5.59
63000,97年3月,服務類-居住,92.49,1.3
63000,97年3月,服務類-交通及通訊,100.43,1.7
63000,97年3月,服務類-醫藥保健,88.7,2.37
63000,97年3月,服務類-教養娛樂,88.32,2.95
63000,97年3月,服務類-教養,96.96,1.67
63000,97年3月,服務類-娛樂,80.72,4.24
63000,97年3月,服務類-雜項,89.59,0.29
63000,97年4月,總指數(含食物),89.64,3.79
63000,97年4月,商品類(含食物),89.22,5.27
63000,97年4月,商品類(不含食物),104.29,1.89
63000,97年4月,商品類-非耐久性消費品(含食物),80.43,8.82
63000,97年4月,商品類-非耐久性消費品(不含食物),96.76,6.47
63000,97年4月,商品類-半耐久性消費品,97.26,0.3
63000,97年4月,商品類-耐久性消費品,128.45,-3.47
63000,97年4月,服務類,90.01,2.79
63000,97年4月,服務類(不含食物),92.19,1.72
63000,97年4月,服務類-外食費,80.22,8.51
63000,97年4月,服務類-衣著,81.54,5.59
63000,97年4月,服務類-居住,92.5,1.31
63000,97年4月,服務類-交通及通訊,100.36,1.68
63000,97年4月,服務類-醫藥保健,88.7,2.37
63000,97年4月,服務類-教養娛樂,89.28,2.81
63000,97年4月,服務類-教養,97.02,1.73
63000,97年4月,服務類-娛樂,82.52,4.01
63000,97年4月,服務類-雜項,89.59,0.15
63000,97年5月,總指數(含食物),89.75,3.57
63000,97年5月,商品類(含食物),89.1,4.69
63000,97年5月,商品類(不含食物),103.83,1.73
63000,97年5月,商品類-非耐久性消費品(含食物),80.71,8.03
63000,97年5月,商品類-非耐久性消費品(不含食物),97.14,6.38
63000,97年5月,商品類-半耐久性消費品,95.39,-0.53
63000,97年5月,商品類-耐久性消費品,127.93,-3.19
63000,97年5月,服務類,90.26,2.8
63000,97年5月,服務類(不含食物),92.25,1.54
63000,97年5月,服務類-外食費,81.28,9.57
63000,97年5月,服務類-衣著,81.54,5.59
63000,97年5月,服務類-居住,92.5,1.28
63000,97年5月,服務類-交通及通訊,100.54,1.92
63000,97年5月,服務類-醫藥保健,88.84,2.53
63000,97年5月,服務類-教養娛樂,89.84,2.52
63000,97年5月,服務類-教養,97.02,1.73
63000,97年5月,服務類-娛樂,83.59,3.5
63000,97年5月,服務類-雜項,88.2,-1.41
63000,97年6月,總指數(含食物),90.88,4.46
63000,97年6月,商品類(含食物),91.17,6.91
63000,97年6月,商品類(不含食物),105.53,3.3
63000,97年6月,商品類-非耐久性消費品(含食物),83.91,11.14
63000,97年6月,商品類-非耐久性消費品(不含食物),101.9,9.18
63000,97年6月,商品類-半耐久性消費品,93.73,-0.22
63000,97年6月,商品類-耐久性消費品,127.17,-2.63
63000,97年6月,服務類,90.77,2.82
63000,97年6月,服務類(不含食物),92.78,1.29
63000,97年6月,服務類-外食費,81.74,11.26
63000,97年6月,服務類-衣著,81.54,5.59
63000,97年6月,服務類-居住,92.5,1.26
63000,97年6月,服務類-交通及通訊,100.74,1.98
63000,97年6月,服務類-醫藥保健,89.17,2.91
63000,97年6月,服務類-教養娛樂,90.89,1.36
63000,97年6月,服務類-教養,97.02,1.73
63000,97年6月,服務類-娛樂,85.6,1.39
63000,97年6月,服務類-雜項,90.72,-1.25
63000,97年7月,總指數(含食物),91.55,5.05
63000,97年7月,商品類(含食物),91.88,9.04
63000,97年7月,商品類(不含食物),105.97,4.55
63000,97年7月,商品類-非耐久性消費品(含食物),85.41,13.86
