縣市別代碼,年月別,商品性質別分類,原始值[統計數值],年增率[%]
63000,87年7月,服務類,80.8,--
63000,87年7月,服務類(不含食物),83.06,--
63000,87年7月,服務類-外食費,70.79,--
63000,87年7月,服務類-衣著,73.34,--
63000,87年7月,服務類-居住,95.06,--
63000,87年7月,服務類-交通及通訊,82.9,--
63000,87年7月,服務類-醫藥保健,65.6,--
63000,87年7月,服務類-教養娛樂,65.3,--
63000,87年7月,服務類-教養,79.78,--
63000,87年7月,服務類-娛樂,53,--
63000,87年7月,服務類-雜項,82.01,--
63000,87年8月,總指數(含食物),79.47,--
63000,87年8月,商品類(含食物),77.49,--
63000,87年8月,商品類(不含食物),96.72,--
63000,87年8月,商品類-非耐久性消費品(含食物),65.23,--
63000,87年8月,商品類-非耐久性消費品(不含食物),82.06,--
63000,87年8月,商品類-半耐久性消費品,85.5,--
63000,87年8月,商品類-耐久性消費品,145.31,--
63000,87年8月,服務類,80.82,--
63000,87年8月,服務類(不含食物),83.13,--
63000,87年8月,服務類-外食費,70.57,--
63000,87年8月,服務類-衣著,73.34,--
63000,87年8月,服務類-居住,95.05,--
63000,87年8月,服務類-交通及通訊,85.2,--
63000,87年8月,服務類-醫藥保健,61.8,--
63000,87年8月,服務類-教養娛樂,65.21,--
63000,87年8月,服務類-教養,79.78,--
63000,87年8月,服務類-娛樂,52.86,--
63000,87年8月,服務類-雜項,82.07,--
63000,87年9月,總指數(含食物),79.64,--
63000,87年9月,商品類(含食物),77.45,--
63000,87年9月,商品類(不含食物),96.53,--
63000,87年9月,商品類-非耐久性消費品(含食物),65.2,--
63000,87年9月,商品類-非耐久性消費品(不含食物),81.69,--
63000,87年9月,商品類-半耐久性消費品,85.75,--
63000,87年9月,商品類-耐久性消費品,144.81,--
63000,87年9月,服務類,81.15,--
63000,87年9月,服務類(不含食物),83.28,--
63000,87年9月,服務類-外食費,71.77,--
63000,87年9月,服務類-衣著,71.93,--
63000,87年9月,服務類-居住,95.32,--
63000,87年9月,服務類-交通及通訊,84.96,--
63000,87年9月,服務類-醫藥保健,61.8,--
63000,87年9月,服務類-教養娛樂,65.43,--
63000,87年9月,服務類-教養,81.9,--
63000,87年9月,服務類-娛樂,51.64,--
63000,87年9月,服務類-雜項,82.07,--
63000,87年10月,總指數(含食物),80.02,--
63000,87年10月,商品類(含食物),78.16,--
63000,87年10月,商品類(不含食物),97.73,--
63000,87年10月,商品類-非耐久性消費品(含食物),64.87,--
63000,87年10月,商品類-非耐久性消費品(不含食物),79.81,--
63000,87年10月,商品類-半耐久性消費品,91.75,--
63000,87年10月,商品類-耐久性消費品,144.77,--
63000,87年10月,服務類,81.26,--
63000,87年10月,服務類(不含食物),83.35,--
63000,87年10月,服務類-外食費,72.06,--
63000,87年10月,服務類-衣著,69.11,--
63000,87年10月,服務類-居住,95.49,--
63000,87年10月,服務類-交通及通訊,85.28,--
63000,87年10月,服務類-醫藥保健,61.8,--
63000,87年10月,服務類-教養娛樂,64.1,--
63000,87年10月,服務類-教養,81.89,--
63000,87年10月,服務類-娛樂,49.36,--
63000,87年10月,服務類-雜項,85.81,--
63000,87年11月,總指數(含食物),80.62,--
63000,87年11月,商品類(含食物),80.34,--
63000,87年11月,商品類(不含食物),100.92,--
63000,87年11月,商品類-非耐久性消費品(含食物),65.68,--
63000,87年11月,商品類-非耐久性消費品(不含食物),79.46,--
63000,87年11月,商品類-半耐久性消費品,101.28,--
63000,87年11月,商品類-耐久性消費品,145.27,--
63000,87年11月,服務類,80.63,--
63000,87年11月,服務類(不含食物),82.85,--
