管理機關,土地標示名稱,宗地面積（平方公尺）,持分面積（平方公尺）,列帳金額（元）
財政局,臺北市士林區百齡段六小段0772-0000,2,2,486000
財政局,臺北市大同區迪化段一小段0500-0000,67,67,17219000
財政局,臺北市大同區迪化段一小段0519-0003,3,3,771000
財政局,臺北市大同區迪化段一小段0553-0000,14,14,3598000
財政局,臺北市中山區大佳段二小段0832-0002,50,50,9350000
財政局,臺北市中山區大佳段二小段0832-0004,6,6,1122000
財政局,臺北市中山區大佳段二小段0833-0005,54,54,10098000
財政局,臺北市北投區振興段四小段0081-0003,3,0.85,487050
財政局,臺北市北投區奇岩段五小段0589-0001,20,6.67,1067200
財政局,臺北市北投區奇岩段五小段0590-0003,26,8.67,1387200
財政局,臺北市北投區湖山段三小段0001-0002,115.64,115.64,265972
財政局,臺北市北投區湖山段三小段0017-0000,578.35,578.35,1330205
財政局,臺北市北投區湖山段三小段0022-0000,543.13,543.13,1249199
財政局,臺北市大同區文昌段一小段0692-0007,66,66,10956000
財政局,臺北市大同區文昌段一小段0692-0008,32,32,5312000
財政局,臺北市松山區延吉段一小段0476-0009,1,0.94,327120
財政局,臺北市松山區敦化段一小段0495-0001,2,0.25,158500
財政局,臺北市松山區敦化段一小段0619-0001,3,0.37,176860
財政局,臺北市松山區敦化段一小段0619-0002,3,0.37,176860
財政局,臺北市大安區龍泉段一小段0493-0001,1,1,395000
財政局,臺北市中正區南海段四小段0655-0001,4,4,1800000
財政局,臺北市中正區公園段二小段0100-0001,127,127,96873949
財政局,臺北市中正區城中段一小段0412-0001,5,4.99,4840300
財政局,臺北市中正區城中段二小段0536-0001,4,4,4744668
財政局,臺北市中正區城中段二小段0536-0002,3,3,3561159
財政局,臺北市中正區城中段二小段0536-0003,8,8,11070384
財政局,臺北市萬華區雙園段一小段0645-0001,20,20,3695000
財政局,臺北市萬華區雙園段一小段0645-0002,2,2,326000
財政局,臺北市萬華區雙園段一小段0689-0003,6,6,978000
財政局,臺北市萬華區莒光段一小段0311-0003,3,1.86,611940
財政局,臺北市萬華區莒光段一小段0311-0004,2,1.24,407960
財政局,臺北市萬華區莒光段四小段0223-0003,3,3,585000
財政局,臺北市萬華區直興段一小段0266-0004,16,16,2896000
財政局,臺北市萬華區直興段三小段0405-0007,1,1,233000
財政局,臺北市萬華區漢中段一小段0694-0000,6,6,1536000
財政局,臺北市萬華區龍山段一小段0348-0001,2,2,676000
財政局,臺北市萬華區龍山段一小段0444-0003,4,4,1563000
財政局,臺北市萬華區龍山段一小段0444-0004,6,6,1212000
財政局,臺北市萬華區龍山段一小段0560-0006,2,2,810000
財政局,臺北市萬華區龍山段一小段0562-0002,5,5,1655000
財政局,臺北市萬華區龍山段一小段0620-0001,2,2,676000
財政局,臺北市大同區延平段二小段0268-0003,1,1,329000
財政局,臺北市大同區橋北段三小段0233-0010,1,1,213000
財政局,臺北市大同區雙連段一小段0644-0004,23,23,15246010
財政局,臺北市大同區雙連段一小段0645-0001,4,4,2995600
財政局,臺北市大同區雙連段三小段0293-0001,1,1,209000
財政局,臺北市中山區北安段二小段0712-0003,6,6,2178000
財政局,臺北市中山區吉林段四小段0349-0003,10,10,3650000
財政局,臺北市中山區大佳段一小段0321-0002,1189,1064.93,58861876
財政局,臺北市文山區實踐段一小段0456-0004,4,4,760000
財政局,臺北市文山區政大段三小段0061-0000,37,0.66,37817
財政局,臺北市南港區中南段四小段0415-0001,2,2,350000
財政局,臺北市內湖區康寧段一小段0001-0002,2536,2536,71008000
財政局,臺北市內湖區康寧段一小段0351-0006,391,391,64906000
財政局,臺北市內湖區碧湖段一小段0223-0001,223,223,30997000
財政局,臺北市內湖區東湖段七小段0042-0002,42,42,1222200
財政局,臺北市內湖區東湖段七小段0044-0000,11,11,320100
財政局,臺北市內湖區東湖段七小段0132-0000,9,9,261900
財政局,臺北市內湖區東湖段七小段0134-0000,27,27,785700
財政局,臺北市內湖區東湖段七小段0136-0000,1,1,29100
財政局,臺北市內湖區東湖段七小段0137-0000,8,8,232800
財政局,臺北市內湖區東湖段七小段0138-0000,7,7,203700
財政局,臺北市內湖區東湖段七小段0140-0000,9,9,261900
財政局,臺北市內湖區東湖段七小段0142-0000,5,5,145500
財政局,臺北市內湖區東湖段七小段0146-0000,8,8,232800
財政局,臺北市內湖區東湖段七小段0164-0001,14,14,407400
財政局,臺北市內湖區東湖段七小段0181-0000,44,44,1280400
財政局,臺北市內湖區東湖段七小段0182-0001,56,56,1629600
財政局,臺北市內湖區東湖段七小段0197-0000,12,12,349200
財政局,臺北市內湖區東湖段七小段0198-0000,17,16.32,3247680
財政局,臺北市內湖區東湖段七小段0199-0000,17,17,3383000
財政局,臺北市內湖區東湖段七小段0201-0000,17,9.44,1878560
財政局,臺北市內湖區東湖段七小段0203-0000,31,31,6169000
財政局,臺北市士林區陽明段三小段0940-0001,9,9,3987000
財政局,臺北市士林區福林段二小段0339-0006,300,300,14460000
財政局,臺北市士林區福林段二小段0339-0007,16,16,771200
財政局,臺北市士林區福林段二小段0339-0013,197,197,9495400
財政局,臺北市士林區芝山段一小段0720-0001,10,10,2520000
財政局,臺北市士林區芝山段一小段0723-0001,60,60,15120000
財政局,臺北市士林區永新段四小段0458-0001,4,4,620000
財政局,臺北市士林區天山段二小段0038-0000,110,110,22990000
財政局,臺北市士林區天山段二小段0040-0001,1,0.33,68970
財政局,臺北市士林區天山段二小段0042-0005,161,161,33649000
財政局,臺北市士林區至善段三小段0270-0000,219,219,6241500
財政局,臺北市士林區至善段六小段0438-0001,30,30,4830000
財政局,臺北市士林區華岡段一小段0078-0003,4.09,4.09,572600
財政局,臺北市士林區華岡段一小段0079-0002,67.88,67.88,9503200
財政局,臺北市士林區華岡段一小段0083-0004,16.46,16.46,2304400
財政局,臺北市士林區華岡段一小段0090-0001,97.73,97.73,13682200
財政局,臺北市士林區百齡段六小段0687-0005,2269,2269,187192500
財政局,臺北市北投區振興段三小段0590-0001,22,22,12342000
財政局,臺北市北投區文林段五小段0401-0002,2,2,470000
財政局,臺北市北投區文林段五小段0403-0001,4,4,940000
財政局,臺北市北投區立農段一小段0310-0001,118,118,27022000
財政局,臺北市北投區立農段一小段0310-0002,72,72,22473000
財政局,臺北市北投區新民段一小段0211-0004,58,58,3822200
財政局,臺北市北投區新民段一小段0234-0001,1,1,90600
財政局,臺北市北投區新民段一小段0360-0001,10,10,1320000
財政局,臺北市北投區新民段二小段0001-0004,1,1,90600
財政局,臺北市北投區新民段四小段0213-0003,17,17,1229100
財政局,臺北市北投區開明段一小段0636-0009,55,55,5445000
財政局,臺北市北投區溫泉段一小段0028-0001,57,57,6384000
財政局,臺北市北投區溫泉段四小段0110-0001,32,32,8128000
財政局,臺北市北投區崇仰段一小段0088-0001,2.98,2.98,6854
財政局,臺北市信義區祥和段三小段0444-0007,2,2,1036000
財政局,臺北市南港區南港段二小段0390-0000,33.81,33.81,9771090
財政局,臺北市大安區大安段三小段0410-0001,11,11,4840000
財政局,臺北市內湖區文德段一小段0286-0009,8.81,8.81,2475610
財政局,臺北市信義區?和段一小段0145-0015,6,6,1656000
財政局,臺北市萬華區華江段二小段0039-0001,831,25.8,5552470
財政局,臺北市大同區雙連段二小段0498-0018,6.13,6.13,1176960
財政局,臺北市內湖區文德段一小段0286-0007,10.18,2.04,573240
財政局,臺北市文山區景美段四小段0211-0002,23,23,8096000
財政局,臺北市文山區萬隆段一小段0094-0000,2,2,633000
財政局,臺北市士林區百齡段五小段0366-0000,22,22,5698000
財政局,臺北市萬華區莒光段四小段0053-0011,1,1,192000
財政局,臺北市北投區新民段二小段0509-0015,13,13,1716000
財政局,臺北市北投區開明段一小段0924-0000,30,30,4500000
財政局,臺北市北投區大業段四小段0272-0001,242,242,43802000
財政局,臺北市北投區大業段四小段0271-0001,1,1,181000
財政局,臺北市士林區至善段五小段0441-0000,5,5,451500
財政局,臺北市南港區中南段四小段0208-0013,72.65,72.65,13077727
財政局,臺北市中正區河堤段四小段0263-0027,1,1,375000
財政局,臺北市中正區河堤段四小段0263-0038,3,3,1032000
財政局,臺北市文山區興隆段二小段0452-0003,1,1,196000
財政局,臺北市中正區永昌段四小段0092-0000,26.3,26.3,10362200
財政局,臺北市士林區百齡段四小段0346-0000,105,19.43,5051800
財政局,臺北市士林區百齡段四小段0349-0000,105,19.43,5051800
財政局,臺北市士林區百齡段四小段0355-0000,98,18.13,4325292
財政局,臺北市士林區百齡段四小段0357-0000,108,19.98,5194800
財政局,臺北市士林區百齡段四小段0360-0000,274,0.54,134537
財政局,臺北市士林區百齡段四小段0373-0000,106,6.54,1771660
財政局,臺北市士林區百齡段四小段0377-0000,352,15.88,4469855
財政局,臺北市士林區百齡段四小段0377-0001,4,0.74,214600
財政局,臺北市士林區百齡段四小段0378-0000,364,30.88,7984271
財政局,臺北市士林區百齡段四小段0385-0000,422,32.79,8411192
財政局,臺北市士林區百齡段四小段0386-0001,1,0.19,42750
財政局,臺北市士林區百齡段四小段0394-0000,94,17.39,3912750
財政局,臺北市北投區開明段三小段0001-0004,297,297,1395900
財政局,臺北市北投區湖山段二小段0224-0000,636.32,636.32,33597696
財政局,臺北市士林區百齡段四小段0347-0000,95,11.72,2801080
財政局,臺北市士林區百齡段四小段0363-0000,127,7.83,2035800
財政局,臺北市士林區百齡段四小段0368-0000,128,7.89,2051400
財政局,臺北市士林區百齡段四小段0369-0000,129,7.96,2069600
財政局,臺北市士林區百齡段四小段0377-0002,3,0.56,162400
財政局,臺北市士林區百齡段四小段0381-0000,142,26.27,5910750
財政局,臺北市士林區百齡段四小段0382-0000,487,30.42,6844500
財政局,臺北市士林區百齡段四小段0383-0000,398,25.41,6535096
財政局,臺北市士林區百齡段四小段0386-0000,574,98.79,22227750
財政局,臺北市士林區百齡段四小段0389-0000,120,14.8,3848000
財政局,臺北市士林區百齡段四小段0390-0000,157,29.05,7553000
財政局,臺北市士林區百齡段四小段0392-0000,169,20.84,5017022
財政局,臺北市士林區百齡段四小段0393-0000,96,11.84,2664000
財政局,臺北市士林區百齡段五小段0504-0000,159,9.81,2540790
財政局,臺北市士林區百齡段五小段0507-0000,137,8.45,2188550
財政局,臺北市士林區百齡段五小段0528-0000,131,1.42,367780
財政局,臺北市士林區百齡段五小段0529-0000,151,9.31,2411290
財政局,臺北市士林區百齡段五小段0544-0001,244,60.19,15589210
財政局,臺北市士林區百齡段五小段0544-0002,325,80.17,20764030
財政局,臺北市士林區百齡段五小段0512-0000,153,9.44,2444960
財政局,臺北市中正區公園段一小段0188-0016,6789,4388.71,6293410140
財政局,臺北市文山區政大段三小段0114-0000,939,31.3,1793459
財政局,臺北市文山區政大段三小段0122-0000,329,8.23,471571
財政局,臺北市士林區百齡段五小段0241-0000,14,1.73,501700
財政局,臺北市士林區百齡段五小段0249-0000,118,21.83,4911750
財政局,臺北市士林區百齡段五小段0251-0000,963,12.5,2961000
財政局,臺北市士林區百齡段五小段0265-0000,79,4.87,1412300
財政局,臺北市士林區百齡段五小段0266-0000,78,4.81,1394900
財政局,臺北市士林區百齡段五小段0267-0000,93,5.74,1664600
財政局,臺北市士林區百齡段五小段0243-0000,92,11.35,3291500
財政局,臺北市士林區百齡段五小段0256-0000,82,5.06,1138500
財政局,臺北市士林區百齡段五小段0461-0001,32,7.89,2043510
財政局,臺北市中山區長春段二小段0797-0003,16,16,6208000
財政局,臺北市文山區政大段二小段0425-0000,147,147,20727000
財政局,臺北市文山區政大段二小段0472-0000,142,142,2300400
財政局,臺北市文山區博嘉段四小段0458-0000,23.95,23.95,438285
財政局,臺北市士林區百齡段四小段0348-0000,98,24.17,5766261
財政局,臺北市士林區百齡段四小段0299-0000,117,7.22,1624500
財政局,臺北市士林區百齡段四小段0300-0000,117,14.43,3246750
財政局,臺北市士林區百齡段四小段0303-0000,119,7.34,1651500
財政局,臺北市士林區百齡段四小段0307-0000,106,6.54,1752230
財政局,臺北市中山區榮星段五小段0715-0004,22.33,22.33,10204810
財政局,臺北市士林區溪山段二小段0132-0009,26.37,26.37,63288
財政局,臺北市士林區溪山段二小段0132-0010,58.01,58.01,139224
財政局,臺北市士林區溪山段二小段0141-0005,23.35,23.35,56040
財政局,臺北市士林區溪山段二小段0144-0002,1.3,1.3,3120
財政局,臺北市士林區溪山段二小段0145-0002,47.16,47.16,113184
財政局,臺北市士林區溪山段二小段0146-0002,11.26,11.26,27024
財政局,臺北市士林區溪山段二小段0148-0003,431.1,431.1,1034640
財政局,臺北市士林區溪山段二小段0148-0004,50.09,50.09,120216
財政局,臺北市士林區溪山段二小段0155-0002,458.24,458.24,1099776
財政局,臺北市士林區溪山段二小段0167-0001,3.1,3.1,7440
財政局,臺北市士林區溪山段二小段0168-0000,17.72,17.72,42528
財政局,臺北市士林區溪山段二小段0169-0001,5.62,5.62,13488
財政局,臺北市士林區溪山段二小段0174-0002,129.35,129.35,310440
財政局,臺北市士林區溪山段二小段0174-0003,1.94,1.94,4656
財政局,臺北市士林區溪山段二小段0177-0000,40.27,40.27,96648
財政局,臺北市士林區溪山段二小段0179-0002,96.95,96.95,232680
財政局,臺北市士林區溪山段二小段0180-0002,34.15,34.15,81960
財政局,臺北市士林區溪山段二小段0182-0002,223.17,223.17,535608
財政局,臺北市士林區溪山段二小段0183-0000,69.89,69.89,167736
財政局,臺北市士林區溪山段二小段0185-0001,24.59,24.59,59016
財政局,臺北市士林區溪山段二小段0186-0002,89.52,89.52,214848
財政局,臺北市士林區溪山段二小段0188-0002,27.69,27.69,66456
財政局,臺北市士林區溪山段二小段0188-0003,8.68,8.68,20832
財政局,臺北市士林區溪山段二小段0192-0000,57.44,57.44,137856
財政局,臺北市士林區溪山段二小段0192-0003,59.09,59.09,141816
財政局,臺北市士林區溪山段二小段0193-0000,122.95,122.95,295080
財政局,臺北市士林區溪山段二小段0193-0002,18.51,18.51,44424
財政局,臺北市士林區溪山段二小段0201-0001,0.95,0.95,2280
財政局,臺北市士林區溪山段二小段0202-0003,85.06,85.06,204144
財政局,臺北市士林區溪山段二小段0202-0004,171.38,171.38,411312
財政局,臺北市士林區溪山段二小段0204-0001,82.1,82.1,197040
財政局,臺北市士林區溪山段二小段0205-0002,111.12,111.12,266688
財政局,臺北市士林區百齡段五小段0242-0000,75,9.25,2682500
財政局,臺北市大同區橋北段一小段0595-0000,1,1,176000
財政局,臺北市中正區公園段一小段0188-0006,4123,4123,5912382000
財政局,臺北市中正區公園段一小段0188-0011,1424,1424,2042016000
財政局,臺北市中正區公園段一小段0188-0029,5,5,7170000
財政局,臺北市大同區橋北段三小段0576-0000,2,0.5,195100
財政局,臺北市萬華區雙園段二小段0551-0001,38,38,7068000
財政局,臺北市士林區芝山段一小段0081-0004,114.64,114.64,43634621
財政局,臺北市文山區興隆段三小段0206-0001,2,2,612000
財政局,臺北市文山區興隆段三小段0369-0002,76,76,23256000
財政局,臺北市文山區興隆段三小段0415-0002,7,3.5,686000
財政局,臺北市文山區興隆段三小段0416-0003,1,1,196000
財政局,臺北市士林區三玉段一小段0023-0002,24.92,24.92,7052360
財政局,臺北市文山區萬隆段一小段0506-0000,6,6,1500000
財政局,臺北市文山區興隆段二小段0398-0001,4,4,1224000
財政局,臺北市文山區興隆段二小段0398-0002,1,1,306000
財政局,臺北市士林區百齡段四小段0396-0000,114,21.09,4745250
財政局,臺北市士林區百齡段四小段0401-0000,161,29.79,6702750
財政局,臺北市士林區百齡段四小段0402-0000,159,19.61,4658297
財政局,臺北市士林區百齡段四小段0405-0001,2,0.12,28050
財政局,臺北市士林區百齡段四小段0418-0000,189,34.97,8865559
財政局,臺北市士林區百齡段四小段0422-0000,190,35.15,8938258
財政局,臺北市士林區百齡段四小段0425-0000,217,13.38,3010500
財政局,臺北市士林區百齡段四小段0439-0000,129,7.96,1791000
財政局,臺北市士林區百齡段四小段0443-0000,186,11.47,2580750
財政局,臺北市士林區百齡段四小段0450-0000,131,8.08,1818000
財政局,臺北市士林區百齡段四小段0451-0001,1,0.06,13500
財政局,臺北市士林區百齡段四小段0457-0000,179,11.04,2484000
財政局,臺北市士林區百齡段四小段0405-0000,122,7.52,1782608
財政局,臺北市士林區百齡段四小段0412-0000,181,11.16,2901600
財政局,臺北市士林區百齡段四小段0413-0000,164,10.11,2404209
財政局,臺北市士林區百齡段四小段0423-0000,206,25.41,5717250
財政局,臺北市士林區百齡段四小段0446-0000,125,7.71,1734750
財政局,臺北市士林區百齡段四小段0449-0000,102,6.29,1415250
財政局,臺北市大同區雙連段二小段0498-0025,66,66,15378000
財政局,臺北市士林區華岡段三小段0573-0000,937.01,299.64,77906400
財政局,臺北市中山區長春段一小段0712-0001,112,112,43456000
財政局,臺北市中山區長春段一小段0712-0002,113,113,43844000
財政局,臺北市中山區長安段二小段0574-0002,153,153,47277000
財政局,臺北市中正區南海段一小段0377-0000,13,13,5941000
財政局,臺北市北投區桃源段五小段0271-0001,20.22,20.22,1890570
財政局,臺北市內湖區碧湖段二小段0752-0001,0.41,0.41,63140
財政局,臺北市內湖區碧湖段二小段0752-0002,18.67,18.67,2875180
財政局,臺北市內湖區東湖段七小段0168-0001,8,8,232800
財政局,臺北市北投區新民段四小段0020-0001,7,7,461300
財政局,臺北市士林區百齡段四小段0379-0001,11,1.36,338145
財政局,臺北市士林區百齡段四小段0420-0000,190,23.43,5910522
財政局,臺北市文山區萬隆段二小段0016-0001,1,0.01,2500
財政局,臺北市大同區大同段一小段0447-0007,2237,166.22,27924960
財政局,臺北市北投區桃源段一小段0156-0001,0.37,0.37,48100
財政局,臺北市北投區桃源段一小段0156-0002,2.6,2.6,338000
財政局,臺北市松山區寶清段七小段0199-0001,3,3,1026000
財政局,臺北市文山區景美段四小段0162-0003,4,4,105200
財政局,臺北市文山區景美段四小段0162-0004,1,1,26300
財政局,臺北市文山區景美段四小段0163-0004,0.14,0.14,3682
財政局,臺北市大安區懷生段一小段0235-0001,13,3.25,1205750
財政局,臺北市內湖區文德段二小段0602-0013,170,170,41650000
財政局,臺北市內湖區文德段二小段0613-0000,1,1,245000
財政局,臺北市信義區逸仙段三小段0284-0002,111,111,54723000
財政局,臺北市大同區橋北段三小段0729-0000,23,23,4048000
財政局,臺北市內湖區西湖段一小段0377-0015,51,51,7395000
財政局,臺北市內湖區西湖段一小段0377-0017,11,11,1595000
財政局,臺北市南港區南港段二小段0390-0003,0.05,0.05,14450
財政局,臺北市中正區河堤段四小段0052-0002,75,75,27900000
財政局,臺北市士林區永新段四小段0396-0000,1,1,155000
財政局,臺北市中正區河堤段二小段0315-0002,1,1,344000
財政局,臺北市中正區南海段二小段0245-0000,116,116,58696000
財政局,臺北市大同區迪化段二小段0430-0001,1,1,503000
財政局,臺北市中正區公園段一小段0188-0014,5,5,2545000
財政局,臺北市信義區雅祥段四小段0364-0001,64,64,24192000
財政局,臺北市士林區永新段三小段0624-0000,278,1.89,540540
財政局,臺北市士林區陽明段四小段0517-0000,5,5,1990000
財政局,臺北市南港區南港段一小段1240-0000,240,240,123600000
財政局,臺北市南港區南港段一小段1240-0001,32,32,16480000
財政局,臺北市南港區南港段一小段1240-0002,35,35,18025000
財政局,臺北市士林區福林段二小段0015-0003,919,228.92,19687120
財政局,臺北市士林區福林段二小段0015-0004,26,13,1118000
財政局,臺北市士林區福林段二小段0017-0010,27,13.5,1161000
財政局,臺北市士林區福林段二小段0094-0005,451,121.26,23384385
財政局,臺北市中山區大佳段二小段0375-0000,57,57,10659000
財政局,臺北市中山區大佳段二小段0380-0000,87,87,16269000
財政局,臺北市中正區永昌段五小段0507-0010,8,8,2696000
財政局,臺北市信義區永春段三小段0156-0008,16159,16159,119576600
財政局,臺北市大同區大同段二小段0689-0000,47,23.5,5099500
財政局,臺北市松山區濱江段一小段0400-0001,3,3,282897
財政局,臺北市松山區濱江段一小段0424-0001,20,20,1885980
財政局,臺北市松山區濱江段一小段0425-0001,1,1,94299
財政局,臺北市松山區濱江段一小段0432-0001,17,17,1603083
財政局,臺北市松山區濱江段一小段0435-0000,86,86,8109714
財政局,臺北市松山區濱江段一小段0436-0000,493,493,46489407
財政局,臺北市松山區濱江段一小段0442-0000,421,421,39699879
財政局,臺北市松山區濱江段一小段0443-0001,7,7,660093
財政局,臺北市松山區濱江段一小段0443-0004,2,2,188598
財政局,臺北市中正區永昌段五小段0507-0014,20,20,6740000
財政局,臺北市中正區永昌段五小段0507-0015,24,24,8088000
財政局,臺北市士林區天山段二小段0059-0004,34,8.5,1776500
財政局,臺北市士林區華岡段二小段0434-0000,161.7,161.7,12741960
財政局,臺北市士林區芝蘭段二小段0325-0000,13.63,13.63,502947
財政局,臺北市士林區芝蘭段二小段0326-0000,2.82,2.82,104058
財政局,臺北市中山區大佳段一小段0318-0000,40515,716.57,51621703
財政局,臺北市南港區玉成段三小段0404-0001,335,335,57955000
財政局,臺北市文山區政大段五小段0069-0000,1,1,300000
財政局,臺北市內湖區潭美段三小段0812-0000,47,47,11186000
財政局,臺北市士林區永新段四小段0514-0000,7,7,1535002
財政局,臺北市北投區泉源段三小段0384-0001,1387.19,1387.19,3745413
財政局,臺北市中正區南海段二小段0395-0001,6,3.2,1299200
財政局,臺北市萬華區雙園段二小段0476-0001,32,16,2656000
財政局,臺北市萬華區莒光段二小段0832-0001,3,2.97,926640
財政局,臺北市萬華區莒光段二小段0832-0002,4,3.96,1235520
財政局,臺北市大同區大龍段二小段0155-0001,1,0.83,147740
財政局,臺北市大同區大龍段二小段0155-0002,12,10,1780000
財政局,臺北市大安區復興段二小段0029-0002,15,1.08,629640
財政局,臺北市大安區復興段二小段0029-0003,3,0.22,128260
財政局,臺北市大安區復興段二小段0029-0004,2,0.14,81620
財政局,臺北市大安區復興段二小段0029-0005,2,0.14,81620
財政局,臺北市大安區復興段二小段0029-0006,3,0.22,128260
財政局,臺北市松山區濱江段四小段0019-0000,60,60,5657940
財政局,臺北市松山區濱江段四小段0249-0001,2,2,188598
財政局,臺北市松山區濱江段四小段0250-0001,7,7,660093
財政局,臺北市南港區玉成段二小段0585-0001,4,1.33,250040
財政局,臺北市南港區玉成段四小段0527-0001,1,0.33,96690
財政局,臺北市南港區玉成段四小段0528-0000,2,2,586000
財政局,臺北市大同區圓環段一小段0183-0003,1,0.22,64020
財政局,臺北市文山區博嘉段四小段0099-0000,15.28,15.28,279624
財政局,臺北市大同區橋北段三小段0728-0000,13,13,2288000
財政局,臺北市大同區橋北段三小段0730-0000,6,6,1056000
財政局,臺北市南港區玉成段四小段0527-0000,4.64,1.51,442430
財政局,臺北市北投區溫泉段二小段0007-0001,54.07,54.07,8597130
財政局,臺北市大安區龍泉段二小段0557-0000,11.3,11.3,4915500
財政局,臺北市大同區大龍段一小段0395-0001,158,158,54044058
財政局,臺北市文山區博嘉段四小段0090-0000,20.74,2.59,47397
財政局,臺北市文山區木柵段一小段0179-0000,57,57,9120000
財政局,臺北市南港區玉成段四小段0474-0002,5,0.83,243190
財政局,臺北市文山區政大段二小段0608-0000,116,2.81,50861
財政局,臺北市文山區政大段二小段0659-0000,35,11.67,211227
財政局,臺北市士林區福順段二小段0453-0000,29,29,5162000
財政局,臺北市內湖區石潭段三小段0148-0000,38.33,2.16,177768
財政局,臺北市文山區興安段一小段0046-0000,306,306,87463980
財政局,臺北市文山區興泰段三小段0198-0001,4,4,732000
財政局,臺北市信義區永吉段一小段0312-0000,39.85,0.78,208260
財政局,臺北市信義區永吉段一小段0310-0000,16.75,0.45,120150
財政局,臺北市信義區永吉段一小段0310-0001,50.45,1.35,622350
財政局,臺北市文山區興泰段三小段0198-0003,22,11,2548502
財政局,臺北市信義區永吉段一小段0310-0002,10.21,0.27,72090
財政局,臺北市信義區永吉段一小段0310-0003,39.65,1.06,283020
財政局,臺北市信義區永吉段一小段0310-0004,38.89,1.04,277680
財政局,臺北市信義區永吉段一小段0310-0005,0.21,0.01,2670
財政局,臺北市信義區永吉段一小段0310-0006,4.61,0.12,32040
財政局,臺北市信義區永吉段一小段0310-0007,0.68,0.02,5340
財政局,臺北市信義區永吉段一小段0310-0008,57.09,1.53,705330
財政局,臺北市信義區永吉段一小段0310-0009,48.63,1.3,599300
財政局,臺北市信義區永吉段一小段0310-0010,48.38,1.29,594690
財政局,臺北市信義區永吉段一小段0310-0011,51.14,1.37,631570
財政局,臺北市信義區永吉段一小段0310-0012,55.82,1.49,686890
財政局,臺北市信義區永吉段一小段0310-0013,72.07,1.93,889730
財政局,臺北市信義區永吉段一小段0310-0014,86.07,2.3,977613
財政局,臺北市信義區永吉段一小段0310-0015,108.03,2.89,1281949
財政局,臺北市信義區永吉段一小段0310-0016,37.72,1.01,451845
財政局,臺北市信義區永吉段一小段0310-0017,60.14,1.61,717540
財政局,臺北市信義區永吉段一小段0310-0018,69.83,1.87,787831
財政局,臺北市信義區永吉段一小段0310-0019,63.42,1.7,702836
財政局,臺北市信義區永吉段一小段0310-0020,63.48,1.7,453900
財政局,臺北市信義區永吉段一小段0310-0021,14.53,0.39,104130
財政局,臺北市信義區永吉段一小段0310-0022,38.45,1.03,275010
財政局,臺北市信義區永吉段一小段0310-0023,37.83,1.01,269670
財政局,臺北市信義區永吉段一小段0310-0024,36.79,0.98,261660
財政局,臺北市信義區永吉段一小段0310-0025,32.84,0.88,234960
財政局,臺北市信義區永吉段一小段0310-0026,54.29,1.45,387150
財政局,臺北市信義區永吉段一小段0312-0004,66.65,1.3,347100
財政局,臺北市信義區永吉段一小段0312-0005,23.33,0.46,122820
財政局,臺北市信義區永吉段一小段0312-0006,23.28,0.46,122820
財政局,臺北市信義區永吉段一小段0312-0007,46.91,0.92,245640
財政局,臺北市信義區永吉段一小段0312-0008,74.01,1.45,387150
財政局,臺北市信義區永吉段一小段0312-0009,77.54,1.52,405840
財政局,臺北市信義區永吉段一小段0312-0010,36.51,0.71,189570
財政局,臺北市信義區永吉段一小段0312-0011,34.66,0.68,181560
財政局,臺北市信義區永吉段一小段0312-0012,34.74,0.68,181560
財政局,臺北市信義區永吉段一小段0312-0013,35.08,0.69,184230
財政局,臺北市信義區永吉段一小段0312-0014,33.37,0.65,173550
財政局,臺北市信義區永吉段一小段0312-0015,30.7,0.6,160200
財政局,臺北市信義區永吉段一小段0312-0016,30.23,0.59,157530
財政局,臺北市信義區永吉段一小段0312-0017,28.62,0.56,149520
財政局,臺北市信義區永吉段一小段0312-0018,0.08,0,0
財政局,臺北市信義區永吉段一小段0312-0019,26.54,0.52,138840
財政局,臺北市信義區永吉段一小段0312-0020,1.9,0.04,10680
財政局,臺北市信義區永吉段一小段0312-0003,100.66,1.97,835576
財政局,臺北市北投區新民段四小段0129-0000,143,143,10338900
財政局,臺北市信義區永吉段一小段0312-0021,42.83,0.84,387240
財政局,臺北市信義區永吉段一小段0312-0022,124.21,2.43,1075141
財政局,臺北市信義區永吉段一小段0312-0023,7.23,0.14,37380
財政局,臺北市信義區永吉段一小段0312-0024,17.15,0.34,90780
財政局,臺北市信義區永吉段一小段0312-0025,133.34,2.61,1203210
財政局,臺北市信義區永吉段一小段0312-0026,110.91,2.17,822163
財政局,臺北市信義區永吉段一小段0312-0027,83.37,1.63,435210
財政局,臺北市信義區永吉段一小段0312-0028,4.42,0.09,24030
財政局,臺北市信義區永吉段一小段0312-0029,3.86,0.08,21360
財政局,臺北市信義區永吉段一小段0312-0030,53.56,1.05,280350
財政局,臺北市信義區永吉段一小段0312-0031,29.12,0.57,152190
財政局,臺北市信義區永吉段一小段0312-0032,2.32,0.05,13350
財政局,臺北市信義區永吉段一小段0312-0033,26.67,0.52,138840
財政局,臺北市信義區永吉段一小段0312-0034,25.1,0.49,130830
財政局,臺北市信義區永吉段一小段0312-0035,25.74,0.5,133500
財政局,臺北市信義區永吉段一小段0312-0036,25.09,0.49,130830
財政局,臺北市信義區永吉段一小段0312-0037,7.2,0.14,37380
