管理機關,土地標示名稱,宗地面積（平方公尺）,持分面積（平方公尺）,列帳金額（元）
財政局,臺南市東區光明段0424-0006,17,0.32,32320
財政局,臺南市東區光明段0424-0007,4,0.08,8080
財政局,臺南市東區光明段0574-0048,1,0.17,17170
財政局,基隆市安樂區代天府段0653-0002,3.82,0.19,1520
財政局,新北市新店區建國段0695-0001,5.03,0.01,2090
財政局,臺北市文山區景美段四小段0162-0006,506,506,13307800
財政局,新北市三重區仁信段0028-0000,141.51,141.51,31981260
財政局,新北市五股區成蘆段0284-0000,2.04,0.05,3415
財政局,臺南市善化區南小新段0179-0001,0.02,0.01,270
財政局,新北市平溪區十分段0279-0000,3.07,0.1,75
財政局,新北市平溪區十分段0498-0000,3.4,0.11,396
財政局,新北市平溪區十分段0511-0000,5.23,0.17,612
財政局,臺中市新社區糖�v段0670-0000,6.18,3.09,59946
財政局,臺中市沙鹿區新竹林段0502-0000,46.01,7.67,55991
財政局,苗栗縣頭份市八德段1184-0001,33.69,16.85,589750
財政局,新北市板橋區江子翠段第二崁小段0189-0000,915,915,271905060
財政局,新北市板橋區江子翠段第二崁小段0189-0005,725,725,160702050
財政局,臺北市文山區興泰段二小段0118-0003,7716,7716,206102076
財政局,新北市八里區中山段0326-0001,0.21,0.01,531
財政局,新北市蘆洲區鷺江段0597-0002,0.2,0.01,1550
財政局,新北市三芝區埔坪段0466-0001,3.68,0.52,10192
財政局,新北市三芝區埔坪段0468-0000,9.53,1.33,26068
財政局,新北市三芝區埔坪段0469-0000,42.13,5.9,115640
財政局,新北市三芝區埔坪段0470-0000,34.98,3.87,75852
財政局,新北市三芝區埔坪段0475-0001,69.81,9.77,191492
財政局,臺北市文山區萬芳段二小段0645-0000,349,349,53048000
財政局,臺北市士林區光華段一小段0629-0000,7,7,2380000
財政局,臺北市中正區河堤段四小段0045-0005,0.96,0.41,141040
財政局,宜蘭縣宜蘭市凱旋二段1076-0000,98.66,49.33,1026064
財政局,臺北市中正區臨沂段三小段0345-0002,6,6,5652000
財政局,臺北市中正區永昌段三小段0327-0000,7,7,2513000
財政局,臺北市文山區公訓段二小段0008-0000,42,42,1260000
財政局,臺北市信義區?和段二小段0328-0000,286,286,41756000
財政局,臺北市大安區通化段五小段0446-0000,38.07,38.07,18159390
財政局,臺北市文山區興泰段二小段0118-0000,139,139,37285360
財政局,臺北市中正區成功段一小段0113-0003,5,4.54,4848720
財政局,臺北市大同區橋北段三小段0842-0001,5,5,1110000
財政局,臺北市大同區橋北段三小段0843-0001,1,1,222000
財政局,臺北市南港區經貿段0054-0000,2543.85,2543.85,1093855500
財政局,臺北市南港區經貿段0055-0000,11888.67,11888.67,5112128100
財政局,臺北市南港區經貿段0053-0001,2577.9,2577.9,1108497000
財政局,臺北市中正區成功段二小段0099-0002,3,3,645000
財政局,臺北市萬華區青年段一小段0469-0000,81,81,14742000
財政局,臺北市文山區興隆段一小段0318-0000,109,109,1526000
財政局,臺北市文山區興隆段一小段0318-0001,103,103,1442000
財政局,臺北市文山區興安段二小段0711-0000,371,371,75147905
財政局,臺北市文山區興安段三小段0325-0001,184,184,37168000
財政局,臺北市文山區華興段三小段0025-0000,674,674,137405010
財政局,臺北市文山區興泰段一小段0569-0000,166,61.21,10222070
財政局,臺北市文山區興泰段二小段0080-0000,22,22,556600
財政局,臺北市文山區興泰段二小段0094-0000,11,4.06,102718
財政局,臺北市文山區興泰段二小段0125-0000,250,92.19,24891300
財政局,臺北市士林區陽明段一小段0810-0001,7,2.58,882360
財政局,臺北市士林區天山段二小段0015-0002,45,45,8910000
財政局,臺北市北投區振興段一小段0058-0002,837,837,237708000
財政局,臺北市北投區振興段一小段0790-0005,1,1,240000
財政局,臺北市北投區文林段一小段0270-0002,1,0.37,86950
財政局,臺北市北投區新民段四小段0334-0000,20,20,1318000
財政局,臺北市北投區大業段二小段0365-0000,89,32.82,5743500
