行政區,分區,筆數,建蔽率/百分比,容積率上限/百分比,面積/平方公尺
士林區,兒童遊樂場用地,4,,,3313.2
士林區,市場用地,15,,,54893.6
士林區,廣場用地,7,,,13878.2
士林區,變電所用地,4,40,400,20912.1
士林區,自來水廠用地,7,,,65586.6
士林區,郵政用地,2,40,400,1191.3
士林區,自來水加壓站用地,1,,,860.97
士林區,高速公路用地,2,,,6271
士林區,人行步道用地,21,,,11944.4
士林區,堤防用地,12,,,469823.2
士林區,自來水設備用地,3,,,2200.1
士林區,電路鐵塔用地,1,,,882.38
士林區,自來水用地,6,,,31843.7
士林區,自來水事業用地,2,,,2214.2
士林區,抽水站用地,6,,,11651.2
士林區,電力設施用地,8,,,6723.1
士林區,交通用地,13,,,162050.3
士林區,道路護坡用地,9,,,4890.9
士林區,露營場專用區,1,,,12.24
士林區,人行步道(無遮簷),3,,,3236.5
士林區,捷運系統用地,1,,,818.86
士林區,擋土牆護坡用地,2,,,2801.3
士林區,商務產業專用區,1,55,391,13198.8
士林區,遊樂區,12,,,524753.8
士林區,娛樂區,1,,,360111.9
士林區,污水處理場用地,1,,,2705.2
士林區,停車場用地,10,,,27226.1
士林區,加油站用地,4,40,200,4547.4
士林區,車站用地,1,,,24894.14
士林區,防洪調節池用地,1,,,16792.21
士林區,河川區,61,,,4929748.8
士林區,電信及社會福利專用區,1,,,13019.38
士林區,瓦斯站用地,1,40,300,8157.04
士林區,電信用地,5,40,400,9248.9
